#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74813.1           -           2077 1013at5820           -           1120         0 1722.9 160.7   1  12  5.3e-142  3.3e-138  460.7  15.5     1   241     1   245     1   250 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74813.1           -           2077 1013at5820           -           1120         0 1722.9 160.7   2  12   3.1e-42   1.9e-38  130.3   4.4   229   317   282   378   279   386 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74813.1           -           2077 1013at5820           -           1120         0 1722.9 160.7   3  12   3.5e-10   2.2e-06   24.2   7.4   294   350   407   461   404   465 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74813.1           -           2077 1013at5820           -           1120         0 1722.9 160.7   4  12   1.4e-05     0.089    8.9   0.0   348   381   523   562   518   592 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74813.1           -           2077 1013at5820           -           1120         0 1722.9 160.7   5  12   9.2e-19   5.8e-15   52.6   0.7   379   430   613   667   600   671 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74813.1           -           2077 1013at5820           -           1120         0 1722.9 160.7   6  12   5.7e-24   3.6e-20   69.9   7.5   424   471   717   764   708   781 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74813.1           -           2077 1013at5820           -           1120         0 1722.9 160.7   7  12     5e-30   3.2e-26   89.9   1.1   470   529   816   875   812   878 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74813.1           -           2077 1013at5820           -           1120         0 1722.9 160.7   8  12   5.9e-74   3.7e-70  235.4  17.6   522   647  1054  1179  1046  1223 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74813.1           -           2077 1013at5820           -           1120         0 1722.9 160.7   9  12   0.00033       2.1    4.4   0.7   633   661  1217  1243  1191  1255 0.70 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74813.1           -           2077 1013at5820           -           1120         0 1722.9 160.7  10  12  1.7e-114  1.1e-110  369.6   6.4   675   888  1354  1584  1340  1592 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74813.1           -           2077 1013at5820           -           1120         0 1722.9 160.7  11  12   4.8e-63     3e-59  199.3  25.9   882  1039  1770  1950  1757  1977 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74813.1           -           2077 1013at5820           -           1120         0 1722.9 160.7  12  12   7.3e-43   4.6e-39  132.4   0.4  1026  1120  1979  2077  1957  2077 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1013at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1013at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1013at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:27:53 2026
# [ok]
