#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71700.1           -            512 5626at5820           -            398  3.4e-227  752.6  20.0   1   2  8.1e-212  5.1e-209  692.7  17.7     1   350    44   395    44   403 0.99 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71700.1           -            512 5626at5820           -            398  3.4e-227  752.6  20.0   2   2   9.1e-20   5.7e-17   60.3   0.0   348   397   460   510   449   511 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74482.1           -            596 5626at5820           -            398   1.8e-11   42.2  32.2   1   2   4.7e-05      0.03   11.8   4.9    44   179    34   169     2   184 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74482.1           -            596 5626at5820           -            398   1.8e-11   42.2  32.2   2   2   2.3e-12   1.4e-09   35.9  19.3    43   211   212   386   181   394 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70365.1           -            643 5626at5820           -            398     2e-11   42.0   6.6   1   2   2.8e-08   1.8e-05   22.4   0.3    48   141   245   338   233   346 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70365.1           -            643 5626at5820           -            398     2e-11   42.0   6.6   2   2     4e-08   2.5e-05   22.0   1.6    73   194   345   466   341   510 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75462.1           -            839 5626at5820           -            398   5.4e-10   37.3  36.6   1   3   8.8e-09   5.5e-06   24.1  18.0    67   290    94   313    77   345 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75462.1           -            839 5626at5820           -            398   5.4e-10   37.3  36.6   2   3   0.00087      0.55    7.7   9.9    37   185   252   412   248   414 0.74 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75462.1           -            839 5626at5820           -            398   5.4e-10   37.3  36.6   3   3   1.1e-06   0.00069   17.2  10.4    67   189   364   490   348   506 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75512.1           -           1244 5626at5820           -            398   2.9e-09   34.9  23.1   1   5       0.7   4.4e+02   -1.9   0.2   112   148   103   139    52   167 0.65 RAP protein, putative [Plasmodium vivax]
SCO75512.1           -           1244 5626at5820           -            398   2.9e-09   34.9  23.1   2   5     0.002       1.3    6.5   0.0    18    77   264   323   244   335 0.71 RAP protein, putative [Plasmodium vivax]
SCO75512.1           -           1244 5626at5820           -            398   2.9e-09   34.9  23.1   3   5   8.9e-09   5.6e-06   24.1   4.3    90   192   408   511   406   539 0.90 RAP protein, putative [Plasmodium vivax]
SCO75512.1           -           1244 5626at5820           -            398   2.9e-09   34.9  23.1   4   5      0.12        73    0.7   0.1    55    90   526   564   511   566 0.77 RAP protein, putative [Plasmodium vivax]
SCO75512.1           -           1244 5626at5820           -            398   2.9e-09   34.9  23.1   5   5   1.8e-05     0.011   13.2   2.5     6    96   631   721   627   786 0.83 RAP protein, putative [Plasmodium vivax]
SCO71559.1           -            719 5626at5820           -            398   4.6e-05   21.1   6.1   1   2    0.0022       1.4    6.4   0.1   139   183   242   286   225   314 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71559.1           -            719 5626at5820           -            398   4.6e-05   21.1   6.1   2   2     2e-06    0.0013   16.3   2.1    87   196   445   560   430   605 0.68 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73047.1           -            927 5626at5820           -            398   0.00017   19.2  20.6   1   2   8.6e-05     0.054   11.0   7.1    40   178   186   252   143   272 0.55 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73047.1           -            927 5626at5820           -            398   0.00017   19.2  20.6   2   2   2.3e-05     0.015   12.8   5.5    49   186   327   469   302   510 0.61 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75319.1           -            943 5626at5820           -            398    0.0005   17.7   9.5   1   2     8e-07    0.0005   17.7   9.5    18   218   280   479   265   497 0.74 RAP protein, putative [Plasmodium vivax]
SCO75319.1           -            943 5626at5820           -            398    0.0005   17.7   9.5   2   2       1.1     7e+02   -2.6   0.4   277   305   698   730   685   744 0.78 RAP protein, putative [Plasmodium vivax]
SCO72205.1           -            892 5626at5820           -            398    0.0019   15.8  11.9   1   3   2.9e-06    0.0019   15.8  11.9    65   179   123   237    93   250 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72205.1           -            892 5626at5820           -            398    0.0019   15.8  11.9   2   3    0.0014      0.86    7.0   0.5   118   190   213   285   204   319 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72205.1           -            892 5626at5820           -            398    0.0019   15.8  11.9   3   3      0.49   3.1e+02   -1.4   1.7   111   153   496   542   471   588 0.68 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74089.1           -           1043 5626at5820           -            398     0.066   10.7   4.9   1   3     0.022        14    3.0   0.0   128   192   113   177   100   182 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74089.1           -           1043 5626at5820           -            398     0.066   10.7   4.9   2   3       1.1     7e+02   -2.6   0.1    48   108   258   319   251   329 0.73 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74089.1           -           1043 5626at5820           -            398     0.066   10.7   4.9   3   3   0.00038      0.24    8.8   0.5   111   187   440   516   434   534 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5626at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5626at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5626at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:55:04 2026
# [ok]
