#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72249.1           -            381 10889at5820          -            305  9.9e-129  427.6  67.9   1   2   9.2e-50   2.1e-47  160.5  37.2     1   154     5   161     5   171 0.65 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72249.1           -            381 10889at5820          -            305  9.9e-129  427.6  67.9   2   2   4.7e-85   1.1e-82  276.4  33.2    89   295   138   355   134   362 0.73 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71682.1           -            369 10889at5820          -            305   1.6e-29  101.9  76.2   1   8   2.4e-08   5.5e-06   24.5   7.6   189   247    11    68     3    74 0.89 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 10889at5820          -            305   1.6e-29  101.9  76.2   2   8   1.8e-05    0.0042   15.1   3.4    41    83    59   101    56   104 0.93 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 10889at5820          -            305   1.6e-29  101.9  76.2   3   8   6.1e-08   1.4e-05   23.2   7.0    41    83   105   147   101   151 0.82 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 10889at5820          -            305   1.6e-29  101.9  76.2   4   8     4e-06   0.00092   17.2   7.3    34    83   149   198   142   201 0.89 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 10889at5820          -            305   1.6e-29  101.9  76.2   5   8     3e-06    0.0007   17.6   6.0    39    82   200   243   197   244 0.87 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 10889at5820          -            305   1.6e-29  101.9  76.2   6   8   4.7e-08   1.1e-05   23.5   3.6   201   243   235   276   233   278 0.87 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 10889at5820          -            305   1.6e-29  101.9  76.2   7   8   7.7e-05     0.018   13.0   1.8    39    80   269   310   266   314 0.88 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 10889at5820          -            305   1.6e-29  101.9  76.2   8   8   6.7e-05     0.016   13.2   0.1   209   249   313   352   310   361 0.87 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71141.1           -            191 10889at5820          -            305   7.2e-21   73.4  16.9   1   2   0.00011     0.025   12.5   0.6   201   230    35    64    25    69 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71141.1           -            191 10889at5820          -            305   7.2e-21   73.4  16.9   2   2   5.8e-21   1.3e-18   65.9  10.0   189   290    69   170    63   176 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74298.1           -            326 10889at5820          -            305   5.8e-12   44.1  36.5   1   4   1.8e-05    0.0042   15.1   3.0    41    79    49    87    42    91 0.83 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO74298.1           -            326 10889at5820          -            305   5.8e-12   44.1  36.5   2   4   1.5e-07   3.6e-05   21.9   3.4    36    95    90   149    86   157 0.85 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO74298.1           -            326 10889at5820          -            305   5.8e-12   44.1  36.5   3   4    0.0003     0.071   11.0   8.6    39    84   162   207   139   212 0.77 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO74298.1           -            326 10889at5820          -            305   5.8e-12   44.1  36.5   4   4   2.9e-06   0.00069   17.6  14.8   196   289   169   265   161   270 0.83 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO72016.1           -           1177 10889at5820          -            305   3.6e-09   35.0  17.6   1   3   4.3e-10     1e-07   30.2   8.1   183   271    13   103     1   105 0.78 protein kinase, putative [Plasmodium vivax]
SCO72016.1           -           1177 10889at5820          -            305   3.6e-09   35.0  17.6   2   3    0.0011      0.25    9.3   1.7   190   227    91   127    85   141 0.83 protein kinase, putative [Plasmodium vivax]
SCO72016.1           -           1177 10889at5820          -            305   3.6e-09   35.0  17.6   3   3      0.21        49    1.7   0.2   132   162   784   810   769   858 0.41 protein kinase, putative [Plasmodium vivax]
SCO74943.1           -            798 10889at5820          -            305   2.4e-08   32.3  20.6   1   3     1e-10   2.4e-08   32.3  20.6   128   276    54   205    29   223 0.74 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74943.1           -            798 10889at5820          -            305   2.4e-08   32.3  20.6   2   3       3.4   7.9e+02   -2.3   1.3   107   137   341   371   327   427 0.40 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74943.1           -            798 10889at5820          -            305   2.4e-08   32.3  20.6   3   3      0.52   1.2e+02    0.4  10.3    99   181   564   649   525   665 0.39 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74818.1           -            148 10889at5820          -            305   6.6e-06   24.3   0.4   1   2   2.8e-08   6.6e-06   24.3   0.4   248   281    12    45     5    48 0.91 MORN repeat protein, putative [Plasmodium vivax]
SCO74818.1           -            148 10889at5820          -            305   6.6e-06   24.3   0.4   2   2       0.2        47    1.8   0.9   240   262    49    71    47   107 0.75 MORN repeat protein, putative [Plasmodium vivax]
SCO75366.1           -            559 10889at5820          -            305   0.00018   19.6  25.5   1   2       3.1   7.1e+02   -2.1   8.0    96   167    24    95     2   122 0.48 protein phosphatase PPM5, putative [Plasmodium vivax]
SCO75366.1           -            559 10889at5820          -            305   0.00018   19.6  25.5   2   2   7.6e-07   0.00018   19.6  25.5    77   215   249   383   189   391 0.63 protein phosphatase PPM5, putative [Plasmodium vivax]
SCO74651.1           -            352 10889at5820          -            305   0.00035   18.6  20.7   1   2      0.31        73    1.1   3.7   112   143    62    93    52   117 0.31 conserved Plasmodium protein, unknown function [Plasmodium vivax]
