#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6   1  34     2e-15   1.3e-11   40.6   0.3     1    47     3    49     3    55 0.95 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6   2  34   5.9e-10   3.8e-06   22.4   0.0    48    84    80   117    74   121 0.90 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6   3  34   0.00023       1.5    3.8   0.0    84   104   155   175   150   178 0.91 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6   4  34   5.4e-32   3.5e-28   95.5   1.0   105   203   230   331   224   343 0.92 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6   5  34   3.1e-34     2e-30  103.0   0.0   200   299   358   463   349   474 0.91 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6   6  34     0.013        83   -1.9   0.0   303   323   537   557   532   563 0.88 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6   7  34   5.2e-15   3.4e-11   39.2   0.0   326   390   612   678   608   682 0.93 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6   8  34   3.3e-05      0.22    6.6   0.0   386   420   716   753   704   755 0.84 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6   9  34   3.6e-07    0.0023   13.2   0.4   418   453   805   840   803   864 0.85 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  10  34   2.2e-23   1.4e-19   67.0   0.1   450   516   875   945   870   969 0.85 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  11  34   6.1e-19     4e-15   52.2   1.4   511   578  1001  1075   995  1096 0.83 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  12  34   1.1e-12   7.1e-09   31.5   0.0   576   642  1114  1192  1110  1195 0.82 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  13  34   7.4e-13   4.9e-09   32.0   0.0   642   691  1230  1284  1227  1290 0.85 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  14  34   2.4e-12   1.6e-08   30.3   0.1   683   742  1323  1397  1321  1401 0.82 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  15  34   3.5e-22   2.3e-18   63.0   0.0   762   833  1580  1652  1576  1662 0.94 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  16  34   3.3e-09   2.1e-05   19.9   0.5   854   920  1789  1871  1772  1879 0.70 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  17  34   1.7e-09   1.1e-05   20.9   0.0   920   962  1977  2029  1972  2035 0.78 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  18  34   3.1e-28     2e-24   83.0   3.3   962  1051  2179  2287  2176  2293 0.87 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  19  34   1.5e-25   9.9e-22   74.1   0.1  1050  1144  2487  2605  2482  2627 0.83 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  20  34   9.6e-25   6.3e-21   71.5   0.0  1155  1262  2798  2940  2792  2949 0.78 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  21  34  6.1e-105    4e-101  337.6  12.1  1261  1532  3071  3389  3058  3395 0.89 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  22  34   5.6e-21   3.6e-17   59.0   0.4  1532  1577  3422  3467  3419  3473 0.95 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  23  34   5.2e-43   3.4e-39  132.1   8.3  1571  1666  3489  3585  3485  3590 0.94 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  24  34   3.9e-58   2.5e-54  182.3   4.0  1663  1767  3635  3739  3632  3741 0.97 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  25  34   7.4e-17   4.8e-13   45.3   0.2  1773  1830  3837  3894  3797  3904 0.82 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  26  34   1.9e-64   1.2e-60  203.2   0.3  1830  1990  3929  4128  3923  4133 0.85 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  27  34   6.5e-36   4.2e-32  108.5   0.6  1986  2078  4160  4260  4153  4267 0.87 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  28  34   2.1e-99   1.4e-95  319.2  13.6  2078  2289  4300  4521  4297  4528 0.95 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  29  34   1.2e-36     8e-33  110.9   0.0  2285  2374  4543  4635  4539  4649 0.87 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  30  34   1.9e-63   1.3e-59  199.9   8.2  2372  2506  4737  4881  4733  4900 0.91 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  31  34   6.9e-11   4.5e-07   25.5   0.3  2500  2533  4921  4954  4915  4958 0.89 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  32  34   1.8e-32   1.2e-28   97.1   0.0  2533  2609  4990  5068  4985  5073 0.90 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  33  34  2.8e-108  1.8e-104  348.6  24.9  2612  2823  5101  5330  5090  5339 0.92 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526800.1-p1   -           5446 86at5820             -           2862         0 2995.8 212.6  34  34   2.2e-11   1.4e-07   27.1   2.4  2829  2862  5413  5446  5408  5446 0.92 | transcript=PVP01_0526800.1 | gene=PVP01_0526800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1085714-1102054(+) | protein_length=5446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/86at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/86at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/86at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:11 2026
# [ok]
