#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0112800.1-p1   -           1403 3833at5820           -            544  8.3e-185  614.0  92.7   1   9   2.6e-27   5.6e-24   83.2   0.0     1    58    47   104    47   116 0.94 | transcript=PVP01_0112800.1 | gene=PVP01_0112800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:579367-584255(+) | protein_length=1403 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112800.1-p1   -           1403 3833at5820           -            544  8.3e-185  614.0  92.7   2   9   4.5e-63   9.8e-60  201.2   7.6    55   191   147   301   144   317 0.86 | transcript=PVP01_0112800.1 | gene=PVP01_0112800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:579367-584255(+) | protein_length=1403 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112800.1-p1   -           1403 3833at5820           -            544  8.3e-185  614.0  92.7   3   9      0.16   3.4e+02   -1.9   4.8   182   210   461   489   458   493 0.84 | transcript=PVP01_0112800.1 | gene=PVP01_0112800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:579367-584255(+) | protein_length=1403 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112800.1-p1   -           1403 3833at5820           -            544  8.3e-185  614.0  92.7   4   9   6.5e-09   1.4e-05   22.4   0.0   215   239   529   553   521   557 0.87 | transcript=PVP01_0112800.1 | gene=PVP01_0112800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:579367-584255(+) | protein_length=1403 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112800.1-p1   -           1403 3833at5820           -            544  8.3e-185  614.0  92.7   5   9   1.3e-46   2.8e-43  146.9   2.1   240   346   592   718   586   721 0.89 | transcript=PVP01_0112800.1 | gene=PVP01_0112800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:579367-584255(+) | protein_length=1403 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112800.1-p1   -           1403 3833at5820           -            544  8.3e-185  614.0  92.7   6   9   9.5e-15   2.1e-11   41.7   0.3   343   385   833   875   827   903 0.80 | transcript=PVP01_0112800.1 | gene=PVP01_0112800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:579367-584255(+) | protein_length=1403 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112800.1-p1   -           1403 3833at5820           -            544  8.3e-185  614.0  92.7   7   9   5.1e-06     0.011   12.9   0.5   383   408   911   936   892   946 0.86 | transcript=PVP01_0112800.1 | gene=PVP01_0112800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:579367-584255(+) | protein_length=1403 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112800.1-p1   -           1403 3833at5820           -            544  8.3e-185  614.0  92.7   8   9   2.6e-09   5.6e-06   23.8   5.4   406   445  1076  1120  1071  1125 0.85 | transcript=PVP01_0112800.1 | gene=PVP01_0112800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:579367-584255(+) | protein_length=1403 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112800.1-p1   -           1403 3833at5820           -            544  8.3e-185  614.0  92.7   9   9   9.2e-36     2e-32  111.1  24.8   411   544  1215  1370  1194  1370 0.80 | transcript=PVP01_0112800.1 | gene=PVP01_0112800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:579367-584255(+) | protein_length=1403 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426900.1-p1   -            699 3833at5820           -            544   2.3e-06   25.1   0.3   1   5   1.1e-09   2.3e-06   25.1   0.3     9   149     3   128     1   136 0.79 | transcript=PVP01_1426900.1 | gene=PVP01_1426900 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_14_v2:1146093-1149554(+) | protein_length=699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426900.1-p1   -            699 3833at5820           -            544   2.3e-06   25.1   0.3   2   5      0.18   3.9e+02   -2.1   0.0   238   268   226   258   216   263 0.76 | transcript=PVP01_1426900.1 | gene=PVP01_1426900 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_14_v2:1146093-1149554(+) | protein_length=699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
