#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1026800.1-p1   -            602 9065at5820           -            376  5.3e-175  580.2  11.0   1   3   8.3e-24   1.1e-20   72.4   0.0     8    77   128   203   123   207 0.90 | transcript=PVP01_1026800.1 | gene=PVP01_1026800 | organism=Plasmodium_vivax_P01 | gene_product=subtilisin-like protease 3, putative | transcript_product=subtilisin-like protease 3, putative | location=PvP01_10_v2:1163295-1165103(+) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1026800.1-p1   -            602 9065at5820           -            376  5.3e-175  580.2  11.0   2   3     3e-26   3.9e-23   80.4   0.1    76   145   240   313   235   330 0.82 | transcript=PVP01_1026800.1 | gene=PVP01_1026800 | organism=Plasmodium_vivax_P01 | gene_product=subtilisin-like protease 3, putative | transcript_product=subtilisin-like protease 3, putative | location=PvP01_10_v2:1163295-1165103(+) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1026800.1-p1   -            602 9065at5820           -            376  5.3e-175  580.2  11.0   3   3  1.8e-132  2.4e-129  430.0   4.7   141   376   346   589   341   589 0.97 | transcript=PVP01_1026800.1 | gene=PVP01_1026800 | organism=Plasmodium_vivax_P01 | gene_product=subtilisin-like protease 3, putative | transcript_product=subtilisin-like protease 3, putative | location=PvP01_10_v2:1163295-1165103(+) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1026500.1-p1   -            630 9065at5820           -            376   3.1e-64  215.7  12.6   1   3   0.00088       1.2    6.5   0.0    15    77   137   199   127   215 0.89 | transcript=PVP01_1026500.1 | gene=PVP01_1026500 | organism=Plasmodium_vivax_P01 | gene_product=subtilisin-like protease 1 | transcript_product=subtilisin-like protease 1 | location=PvP01_10_v2:1154504-1156396(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1026500.1-p1   -            630 9065at5820           -            376   3.1e-64  215.7  12.6   2   3   2.7e-08   3.5e-05   21.3   0.1   101   147   293   339   257   343 0.78 | transcript=PVP01_1026500.1 | gene=PVP01_1026500 | organism=Plasmodium_vivax_P01 | gene_product=subtilisin-like protease 1 | transcript_product=subtilisin-like protease 1 | location=PvP01_10_v2:1154504-1156396(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1026500.1-p1   -            630 9065at5820           -            376   3.1e-64  215.7  12.6   3   3     5e-60   6.6e-57  191.6   5.2   141   376   367   609   347   609 0.93 | transcript=PVP01_1026500.1 | gene=PVP01_1026500 | organism=Plasmodium_vivax_P01 | gene_product=subtilisin-like protease 1 | transcript_product=subtilisin-like protease 1 | location=PvP01_10_v2:1154504-1156396(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937800.1-p1   -           1410 9065at5820           -            376   1.7e-28   98.0   7.5   1   1   7.1e-30   9.2e-27   92.3   7.5   112   366   876  1148   867  1157 0.82 | transcript=PVP01_0937800.1 | gene=PVP01_0937800 | organism=Plasmodium_vivax_P01 | gene_product=subtilisin-like protease 2, putative | transcript_product=subtilisin-like protease 2, putative | location=PvP01_09_v2:1631017-1635390(+) | protein_length=1410 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1026700.1-p1   -            948 9065at5820           -            376   3.6e-17   60.8   0.0   1   2     0.033        43    1.3   0.0   118   131   162   175   153   189 0.80 | transcript=PVP01_1026700.1 | gene=PVP01_1026700 | organism=Plasmodium_vivax_P01 | gene_product=subtilisin-like ookinete protein SOPT, putative | transcript_product=subtilisin-like ookinete protein SOPT, putative | location=PvP01_10_v2:1158953-1161799(+) | protein_length=948 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1026700.1-p1   -            948 9065at5820           -            376   3.6e-17   60.8   0.0   2   2   1.7e-18   2.2e-15   54.9   0.0   141   374   226   486   205   488 0.74 | transcript=PVP01_1026700.1 | gene=PVP01_1026700 | organism=Plasmodium_vivax_P01 | gene_product=subtilisin-like ookinete protein SOPT, putative | transcript_product=subtilisin-like ookinete protein SOPT, putative | location=PvP01_10_v2:1158953-1161799(+) | protein_length=948 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315100.1-p1   -           1300 9065at5820           -            376    0.0081   13.5   0.3   1   1   1.1e-05     0.015   12.7   0.3   247   295   518   566   508   577 0.86 | transcript=PVP01_0315100.1 | gene=PVP01_0315100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:674100-678002(-) | protein_length=1300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
