#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0924200.1-p1   -            730 4434at5820           -            535  2.9e-289  958.5  23.8   1   3   1.9e-30     2e-27   94.4   0.8     1    61     1    61     1    73 0.91 | transcript=PVP01_0924200.1 | gene=PVP01_0924200 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_09_v2:1084084-1086276(+) | protein_length=730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924200.1-p1   -            730 4434at5820           -            535  2.9e-289  958.5  23.8   2   3  2.2e-208  2.4e-205  681.6  14.1    53   431    95   507    84   519 0.94 | transcript=PVP01_0924200.1 | gene=PVP01_0924200 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_09_v2:1084084-1086276(+) | protein_length=730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924200.1-p1   -            730 4434at5820           -            535  2.9e-289  958.5  23.8   3   3   9.1e-59   9.9e-56  187.8   0.0   426   530   552   658   548   666 0.93 | transcript=PVP01_0924200.1 | gene=PVP01_0924200 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_09_v2:1084084-1086276(+) | protein_length=730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1425300.1-p1   -            943 4434at5820           -            535   2.4e-10   38.0   9.2   1   3       1.5   1.6e+03   -4.3   0.1    19    56   180   217   176   226 0.71 | transcript=PVP01_1425300.1 | gene=PVP01_1425300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1089356-1092187(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1425300.1-p1   -            943 4434at5820           -            535   2.4e-10   38.0   9.2   2   3      0.66   7.2e+02   -3.1   4.0   218   322   295   400   267   424 0.75 | transcript=PVP01_1425300.1 | gene=PVP01_1425300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1089356-1092187(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1425300.1-p1   -            943 4434at5820           -            535   2.4e-10   38.0   9.2   3   3   2.2e-13   2.4e-10   38.0   9.2   358   526   657   824   645   829 0.85 | transcript=PVP01_1425300.1 | gene=PVP01_1425300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1089356-1092187(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1236200.1-p1   -            443 4434at5820           -            535   7.6e-10   36.4   0.2   1   1   1.2e-12   1.3e-09   35.6   0.2   467   530   338   402   335   405 0.87 | transcript=PVP01_1236200.1 | gene=PVP01_1236200 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein RAP21, putative | transcript_product=RAP protein RAP21, putative | location=PvP01_12_v2:1440485-1441985(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116700.1-p1   -            970 4434at5820           -            535   6.7e-09   33.3   0.2   1   2         6   6.5e+03   -7.2   5.5   352   423   150   217   131   252 0.70 | transcript=PVP01_1116700.1 | gene=PVP01_1116700 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:717063-719975(+) | protein_length=970 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116700.1-p1   -            970 4434at5820           -            535   6.7e-09   33.3   0.2   2   2   6.2e-12   6.7e-09   33.3   0.2   471   522   843   894   839   906 0.88 | transcript=PVP01_1116700.1 | gene=PVP01_1116700 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:717063-719975(+) | protein_length=970 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609800.1-p1   -            446 4434at5820           -            535   2.5e-07   28.1   0.6   1   2     0.035        38    1.1   0.2   238   296    56   114    46   169 0.89 | transcript=PVP01_0609800.1 | gene=PVP01_0609800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_06_v2:431528-433542(-) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609800.1-p1   -            446 4434at5820           -            535   2.5e-07   28.1   0.6   2   2   2.3e-10   2.5e-07   28.1   0.6   418   530   325   439   211   443 0.82 | transcript=PVP01_0609800.1 | gene=PVP01_0609800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_06_v2:431528-433542(-) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
