#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0823900.1-p1   -           2014 833at5820            -           1112         0 1407.6  65.0   1  10   1.6e-44   1.1e-40  138.1   0.0     1    95    36   132    36   138 0.95 | transcript=PVP01_0823900.1 | gene=PVP01_0823900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1064335-1070545(+) | protein_length=2014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0823900.1-p1   -           2014 833at5820            -           1112         0 1407.6  65.0   2  10   6.2e-32     4e-28   96.4   0.4    92   164   204   276   191   280 0.94 | transcript=PVP01_0823900.1 | gene=PVP01_0823900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1064335-1070545(+) | protein_length=2014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0823900.1-p1   -           2014 833at5820            -           1112         0 1407.6  65.0   3  10   2.3e-33   1.5e-29  101.2   0.1   162   250   306   395   299   402 0.93 | transcript=PVP01_0823900.1 | gene=PVP01_0823900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1064335-1070545(+) | protein_length=2014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0823900.1-p1   -           2014 833at5820            -           1112         0 1407.6  65.0   4  10     1e-36   6.6e-33  112.2   6.5   274   363   610   718   603   722 0.86 | transcript=PVP01_0823900.1 | gene=PVP01_0823900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1064335-1070545(+) | protein_length=2014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0823900.1-p1   -           2014 833at5820            -           1112         0 1407.6  65.0   5  10   1.1e-73     7e-70  234.7   0.3   361   533   743   955   738   961 0.85 | transcript=PVP01_0823900.1 | gene=PVP01_0823900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1064335-1070545(+) | protein_length=2014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0823900.1-p1   -           2014 833at5820            -           1112         0 1407.6  65.0   6  10   6.6e-70   4.3e-66  222.1   5.6   532   669   995  1135   992  1168 0.89 | transcript=PVP01_0823900.1 | gene=PVP01_0823900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1064335-1070545(+) | protein_length=2014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0823900.1-p1   -           2014 833at5820            -           1112         0 1407.6  65.0   7  10     1e-19   6.6e-16   56.0   0.1   661   731  1169  1240  1160  1245 0.91 | transcript=PVP01_0823900.1 | gene=PVP01_0823900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1064335-1070545(+) | protein_length=2014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0823900.1-p1   -           2014 833at5820            -           1112         0 1407.6  65.0   8  10   1.7e-32   1.1e-28   98.3   0.6   731   806  1540  1615  1536  1639 0.90 | transcript=PVP01_0823900.1 | gene=PVP01_0823900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1064335-1070545(+) | protein_length=2014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0823900.1-p1   -           2014 833at5820            -           1112         0 1407.6  65.0   9  10   6.8e-34   4.5e-30  102.9   0.5   792   890  1636  1734  1629  1737 0.93 | transcript=PVP01_0823900.1 | gene=PVP01_0823900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1064335-1070545(+) | protein_length=2014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0823900.1-p1   -           2014 833at5820            -           1112         0 1407.6  65.0  10  10   6.2e-87     4e-83  278.5   1.0   887  1111  1754  2010  1745  2011 0.90 | transcript=PVP01_0823900.1 | gene=PVP01_0823900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1064335-1070545(+) | protein_length=2014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/833at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/833at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/833at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:45 2026
# [ok]
