#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1325800.1-p1   -            456 11519at5820          -            319  2.8e-173  574.3  31.8   1   3  3.7e-129    3e-126  419.7   8.5     1   191     1   191     1   195 0.99 | transcript=PVP01_1325800.1 | gene=PVP01_1325800 | organism=Plasmodium_vivax_P01 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=PvP01_13_v2:1121936-1124357(-) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325800.1-p1   -            456 11519at5820          -            319  2.8e-173  574.3  31.8   2   3       1.1   8.7e+02   -2.4   0.0   186   199   213   226   209   230 0.84 | transcript=PVP01_1325800.1 | gene=PVP01_1325800 | organism=Plasmodium_vivax_P01 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=PvP01_13_v2:1121936-1124357(-) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325800.1-p1   -            456 11519at5820          -            319  2.8e-173  574.3  31.8   3   3   1.2e-50   9.5e-48  161.8  13.2   194   318   309   449   297   450 0.89 | transcript=PVP01_1325800.1 | gene=PVP01_1325800 | organism=Plasmodium_vivax_P01 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=PvP01_13_v2:1121936-1124357(-) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916900.1-p1   -            167 11519at5820          -            319   3.9e-31  107.2   0.3   1   1   6.2e-34     5e-31  106.8   0.3    16   174     4   159     2   162 0.92 | transcript=PVP01_0916900.1 | gene=PVP01_0916900 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_09_v2:757527-759141(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005100.1-p1   -            203 11519at5820          -            319   1.3e-30  105.5   1.4   1   1   1.9e-33   1.6e-30  105.2   1.4    12   165    45   195    18   201 0.93 | transcript=PVP01_1005100.1 | gene=PVP01_1005100 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_10_v2:242428-243039(+) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023800.1-p1   -            731 11519at5820          -            319     5e-29  100.3   0.5   1   2       1.1   9.3e+02   -2.5   2.1   139   226   430   520   414   567 0.61 | transcript=PVP01_1023800.1 | gene=PVP01_1023800 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_10_v2:1029851-1032046(-) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023800.1-p1   -            731 11519at5820          -            319     5e-29  100.3   0.5   2   2   6.1e-32     5e-29  100.3   0.5    10   164   574   725   564   730 0.93 | transcript=PVP01_1023800.1 | gene=PVP01_1023800 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_10_v2:1029851-1032046(-) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0115700.1-p1   -            262 11519at5820          -            319   4.8e-16   57.6   2.8   1   1   7.8e-19   6.3e-16   57.2   2.8    21   149   106   241    97   258 0.83 | transcript=PVP01_0115700.1 | gene=PVP01_0115700 | organism=Plasmodium_vivax_P01 | gene_product=cyclophilin, putative, peptidyl-prolyl cis-trans isomerase precursor, putative | transcript_product=peptidyl-prolyl cis-trans isomerase precursor, putative | location=PvP01_01_v2:702548-703336(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818200.1-p1   -            170 11519at5820          -            319   2.3e-15   55.4   0.1   1   1   3.6e-18     3e-15   55.0   0.1    19   136    15   139     5   151 0.85 | transcript=PVP01_0818200.1 | gene=PVP01_0818200 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_08_v2:789722-790234(+) | protein_length=170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916400.1-p1   -            193 11519at5820          -            319   1.2e-12   46.5   0.1   1   1   1.7e-15   1.4e-12   46.3   0.1     4   144    24   169    21   185 0.80 | transcript=PVP01_0916400.1 | gene=PVP01_0916400 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase 11, putative | transcript_product=peptidyl-prolyl cis-trans isomerase 11, putative | location=PvP01_09_v2:736280-737370(-) | protein_length=193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301700.1-p1   -            226 11519at5820          -            319   2.7e-10   38.7   2.8   1   2   7.3e-13   5.9e-10   37.6   1.3    21   135    19   142     5   145 0.80 | transcript=PVP01_1301700.1 | gene=PVP01_1301700 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_13_v2:84447-86136(-) | protein_length=226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
