#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0718500.1-p1   -            268 12224at5820          -            192   2.1e-91  303.8  16.7   1   2   0.00017      0.14   10.9   0.4     1    41     1    41     1    49 0.84 | transcript=PVP01_0718500.1 | gene=PVP01_0718500 | organism=Plasmodium_vivax_P01 | gene_product=chaperone, putative | transcript_product=chaperone, putative | location=PvP01_07_v2:818277-820447(-) | protein_length=268 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718500.1-p1   -            268 12224at5820          -            192   2.1e-91  303.8  16.7   2   2   3.4e-92   2.7e-89  297.0  10.6    13   192    73   268    63   268 0.95 | transcript=PVP01_0718500.1 | gene=PVP01_0718500 | organism=Plasmodium_vivax_P01 | gene_product=chaperone, putative | transcript_product=chaperone, putative | location=PvP01_07_v2:818277-820447(-) | protein_length=268 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335000.1-p1   -            381 12224at5820          -            192   0.00015   20.5   1.4   1   1   4.8e-07   0.00039   19.2   1.4    43   107    55   115    34   138 0.86 | transcript=PVP01_1335000.1 | gene=PVP01_1335000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_13_v2:1518534-1520048(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411800.1-p1   -            328 12224at5820          -            192   0.00067   18.4   0.5   1   1   1.4e-06    0.0012   17.7   0.5    45   110     6    71     3    75 0.90 | transcript=PVP01_0411800.1 | gene=PVP01_0411800 | organism=Plasmodium_vivax_P01 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=PvP01_04_v2:474978-476353(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837500.1-p1   -            152 12224at5820          -            192   0.00085   18.1   0.3   1   1   1.5e-06    0.0012   17.6   0.3    90   156    51   120    30   130 0.83 | transcript=PVP01_0837500.1 | gene=PVP01_0837500 | organism=Plasmodium_vivax_P01 | gene_product=CDGSH iron-sulfur domain-containing protein, putative | transcript_product=CDGSH iron-sulfur domain-containing protein, putative | location=PvP01_08_v2:1585693-1586551(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717500.1-p1   -            378 12224at5820          -            192    0.0012   17.7   1.1   1   1   4.2e-06    0.0034   16.1   1.1    46   113    56   120    47   132 0.76 | transcript=PVP01_0717500.1 | gene=PVP01_0717500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_07_v2:780474-782408(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310600.1-p1   -            245 12224at5820          -            192     0.009   14.8   1.5   1   1   1.7e-05     0.014   14.2   1.5    44   112     7    73     2   102 0.77 | transcript=PVP01_1310600.1 | gene=PVP01_1310600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=PvP01_13_v2:490903-492520(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224200.1-p1   -            334 12224at5820          -            192     0.012   14.4   1.1   1   2   3.9e-05     0.032   13.0   0.3    44   107    44   105    25   108 0.78 | transcript=PVP01_1224200.1 | gene=PVP01_1224200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:937749-939756(+) | protein_length=334 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224200.1-p1   -            334 12224at5820          -            192     0.012   14.4   1.1   2   2      0.66   5.4e+02   -0.8   0.0   152   184   251   283   224   288 0.75 | transcript=PVP01_1224200.1 | gene=PVP01_1224200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:937749-939756(+) | protein_length=334 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0217000.1-p1   -            420 12224at5820          -            192      0.22   10.2   8.1   1   1   0.00045      0.37    9.5   8.1    58   174   100   216    79   226 0.73 | transcript=PVP01_0217000.1 | gene=PVP01_0217000 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein, putative, DnaJ domain containing protein | transcript_product=heat shock protein, putative | location=PvP01_02_v2:734503-736528(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12224at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12224at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12224at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:13 2026
# [ok]
