#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1112200.1-p1   -           3265 186at5820            -           2019         0 2704.9 193.4   1  15   3.6e-24   2.3e-20   69.9   1.3     1    54     1    56     1    64 0.94 | transcript=PVP01_1112200.1 | gene=PVP01_1112200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:503354-513151(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112200.1-p1   -           3265 186at5820            -           2019         0 2704.9 193.4   2  15   5.9e-40   3.9e-36  122.2   0.2    55   206   111   300   104   321 0.80 | transcript=PVP01_1112200.1 | gene=PVP01_1112200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:503354-513151(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112200.1-p1   -           3265 186at5820            -           2019         0 2704.9 193.4   3  15   2.1e-83   1.4e-79  266.3   5.4   233   442   376   615   344   623 0.87 | transcript=PVP01_1112200.1 | gene=PVP01_1112200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:503354-513151(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112200.1-p1   -           3265 186at5820            -           2019         0 2704.9 193.4   4  15     6e-54   3.9e-50  168.6   3.1   433   548   658   773   654   782 0.95 | transcript=PVP01_1112200.1 | gene=PVP01_1112200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:503354-513151(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112200.1-p1   -           3265 186at5820            -           2019         0 2704.9 193.4   5  15   1.4e-41   9.4e-38  127.5   0.0   550   648   866   964   859   969 0.96 | transcript=PVP01_1112200.1 | gene=PVP01_1112200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:503354-513151(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112200.1-p1   -           3265 186at5820            -           2019         0 2704.9 193.4   6  15   4.5e-47   2.9e-43  145.8   8.4   648   755  1007  1137  1003  1143 0.79 | transcript=PVP01_1112200.1 | gene=PVP01_1112200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:503354-513151(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112200.1-p1   -           3265 186at5820            -           2019         0 2704.9 193.4   7  15   1.1e-26   7.3e-23   78.2   1.3   754   829  1170  1247  1160  1262 0.87 | transcript=PVP01_1112200.1 | gene=PVP01_1112200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:503354-513151(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112200.1-p1   -           3265 186at5820            -           2019         0 2704.9 193.4   8  15   7.5e-72   4.9e-68  228.0   5.0   809   981  1320  1497  1297  1514 0.84 | transcript=PVP01_1112200.1 | gene=PVP01_1112200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:503354-513151(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112200.1-p1   -           3265 186at5820            -           2019         0 2704.9 193.4   9  15   8.2e-08   0.00053   15.6   0.4   986  1019  1615  1648  1610  1670 0.80 | transcript=PVP01_1112200.1 | gene=PVP01_1112200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:503354-513151(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112200.1-p1   -           3265 186at5820            -           2019         0 2704.9 193.4  10  15  5.5e-115  3.6e-111  371.0  26.5  1026  1242  1712  1952  1696  1956 0.89 | transcript=PVP01_1112200.1 | gene=PVP01_1112200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:503354-513151(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112200.1-p1   -           3265 186at5820            -           2019         0 2704.9 193.4  11  15   6.9e-80   4.5e-76  254.6   8.4  1241  1364  2074  2197  2069  2211 0.96 | transcript=PVP01_1112200.1 | gene=PVP01_1112200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:503354-513151(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112200.1-p1   -           3265 186at5820            -           2019         0 2704.9 193.4  12  15   4.2e-42   2.7e-38  129.3   0.2  1362  1455  2236  2330  2231  2333 0.95 | transcript=PVP01_1112200.1 | gene=PVP01_1112200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:503354-513151(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112200.1-p1   -           3265 186at5820            -           2019         0 2704.9 193.4  13  15   3.5e-50   2.3e-46  156.1   4.4  1461  1561  2426  2526  2418  2532 0.94 | transcript=PVP01_1112200.1 | gene=PVP01_1112200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:503354-513151(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112200.1-p1   -           3265 186at5820            -           2019         0 2704.9 193.4  14  15   4.1e-83   2.7e-79  265.3  10.6  1558  1755  2567  2792  2557  2802 0.87 | transcript=PVP01_1112200.1 | gene=PVP01_1112200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:503354-513151(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112200.1-p1   -           3265 186at5820            -           2019         0 2704.9 193.4  15  15  5.4e-114  3.5e-110  367.7  22.5  1758  2019  2874  3161  2866  3161 0.89 | transcript=PVP01_1112200.1 | gene=PVP01_1112200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:503354-513151(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/186at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/186at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/186at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:06 2026
# [ok]
