#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0519600.1-p1   -            391 10051at5820          -            291  4.6e-134  445.0  22.0   1   2     0.052        49    1.8   0.0     1    18    16    33    16    35 0.91 | transcript=PVP01_0519600.1 | gene=PVP01_0519600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin, putative | transcript_product=ubiquitin, putative | location=PvP01_05_v2:805663-807021(+) | protein_length=391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519600.1-p1   -            391 10051at5820          -            291  4.6e-134  445.0  22.0   2   2  1.7e-136  1.6e-133  443.2  18.9    16   291    99   391    97   391 0.95 | transcript=PVP01_0519600.1 | gene=PVP01_0519600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin, putative | transcript_product=ubiquitin, putative | location=PvP01_05_v2:805663-807021(+) | protein_length=391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311000.1-p1   -            153 10051at5820          -            291   7.7e-12   43.8   0.6   1   2   5.1e-08   4.8e-05   21.5   0.1    33    89    11    69     3    83 0.84 | transcript=PVP01_1311000.1 | gene=PVP01_1311000 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=PvP01_13_v2:513368-514321(+) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311000.1-p1   -            153 10051at5820          -            291   7.7e-12   43.8   0.6   2   2   6.8e-08   6.4e-05   21.1   0.1    33    89    87   145    77   150 0.82 | transcript=PVP01_1311000.1 | gene=PVP01_1311000 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=PvP01_13_v2:513368-514321(+) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1106100.1-p1   -            128 10051at5820          -            291   1.8e-07   29.5   0.0   1   1   2.2e-10   2.1e-07   29.3   0.0    33   101    11    82     3   102 0.78 | transcript=PVP01_1106100.1 | gene=PVP01_1106100 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-60S ribosomal protein L40, putative | transcript_product=ubiquitin-60S ribosomal protein L40, putative | location=PvP01_11_v2:247411-248217(+) | protein_length=128 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1346200.1-p1   -            149 10051at5820          -            291   2.4e-05   22.5   2.1   1   1   4.2e-08   3.9e-05   21.8   2.0    40    79    18    57     6   109 0.78 | transcript=PVP01_1346200.1 | gene=PVP01_1346200 | organism=Plasmodium_vivax_P01 | gene_product=ribosomal protein S27a, putative | transcript_product=ribosomal protein S27a, putative | location=PvP01_13_v2:2013814-2015366(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1413900.1-p1   -             76 10051at5820          -            291    0.0035   15.4   0.1   1   1   3.8e-06    0.0035   15.4   0.1    38    88    16    68     6    74 0.81 | transcript=PVP01_1413900.1 | gene=PVP01_1413900 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like protein Nedd8, putative | transcript_product=ubiquitin-like protein Nedd8, putative | location=PvP01_14_v2:615074-615591(-) | protein_length=76 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914200.1-p1   -            394 10051at5820          -            291     0.011   13.7   0.0   1   1   1.9e-05     0.017   13.1   0.0    33    75    13    55     7    76 0.84 | transcript=PVP01_0914200.1 | gene=PVP01_0914200 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=PvP01_09_v2:656494-658175(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0811800.1-p1   -            406 10051at5820          -            291     0.024   12.6   1.2   1   1   4.1e-05     0.038   12.0   1.2    37    90    15    69     6    89 0.83 | transcript=PVP01_0811800.1 | gene=PVP01_0811800 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=PvP01_08_v2:500973-502193(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10051at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10051at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10051at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:29 2026
# [ok]
