#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1240700.1-p1   -            878 2237at5820           -            757         0 1680.2   7.4   1   2    2e-211  7.3e-209  694.1   2.1     1   325     4   363     4   386 0.91 | transcript=PVP01_1240700.1 | gene=PVP01_1240700 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=PvP01_12_v2:1642983-1645747(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1240700.1-p1   -            878 2237at5820           -            757         0 1680.2   7.4   2   2  1.9e-300  6.7e-298  988.5   0.3   327   757   438   878   416   878 0.97 | transcript=PVP01_1240700.1 | gene=PVP01_1240700 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=PvP01_12_v2:1642983-1645747(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334500.1-p1   -            304 2237at5820           -            757   9.9e-66  220.8   0.5   1   1   4.7e-67   1.7e-64  216.7   0.5   423   719    31   296    24   301 0.89 | transcript=PVP01_1334500.1 | gene=PVP01_1334500 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase PP1, putative | transcript_product=serine/threonine protein phosphatase PP1, putative | location=PvP01_13_v2:1491222-1493377(-) | protein_length=304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603400.1-p1   -           2056 2237at5820           -            757   1.4e-53  180.6   0.2   1   2   6.1e-08   2.2e-05   21.2   0.0   420   478  1127  1185  1091  1193 0.84 | transcript=PVP01_0603400.1 | gene=PVP01_0603400 | organism=Plasmodium_vivax_P01 | gene_product=pseudophosphatase PPP8, putative | transcript_product=pseudophosphatase PPP8, putative | location=PvP01_06_v2:126689-133008(-) | protein_length=2056 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603400.1-p1   -           2056 2237at5820           -            757   1.4e-53  180.6   0.2   2   2   5.4e-49     2e-46  157.0   0.1   482   709  1242  1503  1233  1522 0.76 | transcript=PVP01_0603400.1 | gene=PVP01_0603400 | organism=Plasmodium_vivax_P01 | gene_product=pseudophosphatase PPP8, putative | transcript_product=pseudophosphatase PPP8, putative | location=PvP01_06_v2:126689-133008(-) | protein_length=2056 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0723900.1-p1   -            516 2237at5820           -            757   3.9e-53  179.1   0.5   1   1   9.6e-55   3.5e-52  176.0   0.5   419   707   223   486   202   496 0.89 | transcript=PVP01_0723900.1 | gene=PVP01_0723900 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase-beta, putative | transcript_product=protein phosphatase-beta, putative | location=PvP01_07_v2:1022564-1024282(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0726200.1-p1   -            307 2237at5820           -            757   1.3e-50  170.8   1.2   1   1   3.5e-52   1.3e-49  167.5   1.2   419   706    18   274     7   280 0.89 | transcript=PVP01_0726200.1 | gene=PVP01_0726200 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 4, putative | transcript_product=serine/threonine protein phosphatase 4, putative | location=PvP01_07_v2:1125205-1126128(-) | protein_length=307 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0825700.1-p1   -            308 2237at5820           -            757   8.1e-50  168.2   0.5   1   1   1.3e-51   4.6e-49  165.7   0.5   424   710    25   281    18   296 0.91 | transcript=PVP01_0825700.1 | gene=PVP01_0825700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 6, putative | transcript_product=serine/threonine protein phosphatase 6, putative | location=PvP01_08_v2:1152073-1152999(+) | protein_length=308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117400.1-p1   -            564 2237at5820           -            757   6.4e-47  158.6   0.3   1   1   9.6e-49   3.5e-46  156.2   0.3   431   707    64   324    55   338 0.84 | transcript=PVP01_0117400.1 | gene=PVP01_0117400 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | transcript_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | location=PvP01_01_v2:781960-784201(-) | protein_length=564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116400.1-p1   -            682 2237at5820           -            757   1.3e-42  144.3   0.3   1   1   1.1e-44   3.9e-42  142.8   0.3   424   707   390   650   367   665 0.84 | transcript=PVP01_1116400.1 | gene=PVP01_1116400 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=PvP01_11_v2:707209-709257(-) | protein_length=682 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325700.1-p1   -            969 2237at5820           -            757   9.2e-36  121.7   1.5   1   1   6.9e-38   2.5e-35  120.3   1.5   447   726   255   514   239   528 0.86 | transcript=PVP01_1325700.1 | gene=PVP01_1325700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=PvP01_13_v2:1115890-1121168(-) | protein_length=969 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
