#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1262900.1-p1   -           6848 19at5820             -           4334         0 6677.0 610.9   1  26   0.00069       4.5    1.7   8.0   591   704   198   305   173   321 0.80 | transcript=PVP01_1262900.1 | gene=PVP01_1262900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2584052-2606717(+) | protein_length=6848 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262900.1-p1   -           6848 19at5820             -           4334         0 6677.0 610.9   2  26  2.6e-300  1.7e-296  985.6  53.1     1   584   440  1046   440  1053 0.97 | transcript=PVP01_1262900.1 | gene=PVP01_1262900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2584052-2606717(+) | protein_length=6848 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262900.1-p1   -           6848 19at5820             -           4334         0 6677.0 610.9   3  26  1.6e-182    1e-178  594.7  28.7   582   883  1083  1389  1076  1394 0.97 | transcript=PVP01_1262900.1 | gene=PVP01_1262900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2584052-2606717(+) | protein_length=6848 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262900.1-p1   -           6848 19at5820             -           4334         0 6677.0 610.9   4  26     3e-12   1.9e-08   29.5   0.0   883   934  1435  1495  1432  1505 0.82 | transcript=PVP01_1262900.1 | gene=PVP01_1262900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2584052-2606717(+) | protein_length=6848 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262900.1-p1   -           6848 19at5820             -           4334         0 6677.0 610.9   5  26  6.6e-196  4.3e-192  639.1  42.8   935  1311  1572  1968  1565  1977 0.95 | transcript=PVP01_1262900.1 | gene=PVP01_1262900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2584052-2606717(+) | protein_length=6848 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262900.1-p1   -           6848 19at5820             -           4334         0 6677.0 610.9   6  26   1.8e-48   1.1e-44  149.8  13.2  1319  1433  2101  2235  2061  2245 0.87 | transcript=PVP01_1262900.1 | gene=PVP01_1262900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2584052-2606717(+) | protein_length=6848 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262900.1-p1   -           6848 19at5820             -           4334         0 6677.0 610.9   7  26    0.0062        40   -1.4   0.0  1434  1456  2274  2296  2265  2302 0.81 | transcript=PVP01_1262900.1 | gene=PVP01_1262900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2584052-2606717(+) | protein_length=6848 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262900.1-p1   -           6848 19at5820             -           4334         0 6677.0 610.9   8  26   2.2e-70   1.4e-66  222.4  21.2  1443  1616  2334  2524  2329  2531 0.91 | transcript=PVP01_1262900.1 | gene=PVP01_1262900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2584052-2606717(+) | protein_length=6848 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262900.1-p1   -           6848 19at5820             -           4334         0 6677.0 610.9   9  26   3.4e-15   2.2e-11   39.3   1.9  1617  1652  2602  2637  2598  2647 0.95 | transcript=PVP01_1262900.1 | gene=PVP01_1262900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2584052-2606717(+) | protein_length=6848 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262900.1-p1   -           6848 19at5820             -           4334         0 6677.0 610.9  10  26   1.5e-26     1e-22   76.9   7.6  1649  1725  2728  2811  2713  2817 0.88 | transcript=PVP01_1262900.1 | gene=PVP01_1262900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2584052-2606717(+) | protein_length=6848 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262900.1-p1   -           6848 19at5820             -           4334         0 6677.0 610.9  11  26   2.7e-06     0.017    9.7   0.1  1724  1750  2854  2880  2850  2896 0.82 | transcript=PVP01_1262900.1 | gene=PVP01_1262900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2584052-2606717(+) | protein_length=6848 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
