#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1318000.1-p1   -            950 7873at5820           -            702  2.4e-255  847.7   0.0   1   1  7.4e-256    3e-253  840.7   0.0     2   690    11   923    10   945 0.75 | transcript=PVP01_1318000.1 | gene=PVP01_1318000 | organism=Plasmodium_vivax_P01 | gene_product=surface-related antigen SRA, putative | transcript_product=surface-related antigen SRA, putative | location=PvP01_13_v2:838243-841420(+) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1417900.1-p1   -            685 7873at5820           -            702   0.00015   18.6  13.3   1   3         3   1.2e+03   -4.2   2.5   157   191    12    46     2    63 0.37 | transcript=PVP01_1417900.1 | gene=PVP01_1417900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6.U5 tri-snRNP-associated protein 2, putative | transcript_product=U4/U6.U5 tri-snRNP-associated protein 2, putative | location=PvP01_14_v2:780013-782070(+) | protein_length=685 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1417900.1-p1   -            685 7873at5820           -            702   0.00015   18.6  13.3   2   3       5.6   2.3e+03   -5.1  11.6   463   542   327   403   308   417 0.25 | transcript=PVP01_1417900.1 | gene=PVP01_1417900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6.U5 tri-snRNP-associated protein 2, putative | transcript_product=U4/U6.U5 tri-snRNP-associated protein 2, putative | location=PvP01_14_v2:780013-782070(+) | protein_length=685 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1417900.1-p1   -            685 7873at5820           -            702   0.00015   18.6  13.3   3   3   3.8e-07   0.00015   18.6  13.3   125   276   423   613   416   623 0.64 | transcript=PVP01_1417900.1 | gene=PVP01_1417900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6.U5 tri-snRNP-associated protein 2, putative | transcript_product=U4/U6.U5 tri-snRNP-associated protein 2, putative | location=PvP01_14_v2:780013-782070(+) | protein_length=685 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 7873at5820           -            702   0.00017   18.5  20.0   1   2   4.1e-07   0.00017   18.5  20.0   163   222   101   155    92   195 0.39 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 7873at5820           -            702   0.00017   18.5  20.0   2   2       0.8   3.3e+02   -2.3   0.7   452   462   284   294   264   309 0.41 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466200.1-p1   -            400 7873at5820           -            702   0.00021   18.2  29.8   1   2   5.3e-06    0.0022   14.8   2.2   167   301    74   211    57   215 0.44 | transcript=PVP01_1466200.1 | gene=PVP01_1466200 | organism=Plasmodium_vivax_P01 | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=PvP01_14_v2:2820825-2822550(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466200.1-p1   -            400 7873at5820           -            702   0.00021   18.2  29.8   2   2    0.0003      0.12    9.1  20.0   135   221   240   314   219   362 0.39 | transcript=PVP01_1466200.1 | gene=PVP01_1466200 | organism=Plasmodium_vivax_P01 | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=PvP01_14_v2:2820825-2822550(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901800.1-p1   -            335 7873at5820           -            702    0.0008   16.3  10.2   1   2     2e-06    0.0008   16.3  10.2   162   238   120   196   110   229 0.33 | transcript=PVP01_0901800.1 | gene=PVP01_0901800 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:113304-114434(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901800.1-p1   -            335 7873at5820           -            702    0.0008   16.3  10.2   2   2       3.3   1.4e+03   -4.3   1.1   451   464   303   316   296   324 0.43 | transcript=PVP01_0901800.1 | gene=PVP01_0901800 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:113304-114434(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 7873at5820           -            702    0.0051   13.6  52.1   1   2   6.6e-05     0.027   11.2  22.6   464   555   204   295   196   307 0.60 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
