#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1111400.1-p1   -           3142 188at5820            -           2473         0 4593.6 200.5   1   4         0         0 2317.4 100.9     1  1182     1  1261     1  1273 0.97 | transcript=PVP01_1111400.1 | gene=PVP01_1111400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase beta, putative | transcript_product=guanylyl cyclase beta, putative | location=PvP01_11_v2:469108-481114(-) | protein_length=3142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111400.1-p1   -           3142 188at5820            -           2473         0 4593.6 200.5   2   4  2.9e-234  3.8e-231  769.0  39.5  1176  1582  1296  1709  1291  1714 0.97 | transcript=PVP01_1111400.1 | gene=PVP01_1111400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase beta, putative | transcript_product=guanylyl cyclase beta, putative | location=PvP01_11_v2:469108-481114(-) | protein_length=3142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111400.1-p1   -           3142 188at5820            -           2473         0 4593.6 200.5   3   4   1.6e-99     2e-96  322.1  10.1  1581  1882  1745  2223  1735  2263 0.85 | transcript=PVP01_1111400.1 | gene=PVP01_1111400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase beta, putative | transcript_product=guanylyl cyclase beta, putative | location=PvP01_11_v2:469108-481114(-) | protein_length=3142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111400.1-p1   -           3142 188at5820            -           2473         0 4593.6 200.5   4   4         0         0 1198.5  26.0  1875  2473  2408  3131  2374  3131 0.94 | transcript=PVP01_1111400.1 | gene=PVP01_1111400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase beta, putative | transcript_product=guanylyl cyclase beta, putative | location=PvP01_11_v2:469108-481114(-) | protein_length=3142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 188at5820            -           2473  2.4e-179  597.2 134.0   1   9   2.3e-34     3e-31  106.0  20.7    22   379    58   430    38   448 0.77 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 188at5820            -           2473  2.4e-179  597.2 134.0   2   9         5   6.5e+03   -8.5   9.0  1816  1919   463   565   444   573 0.48 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 188at5820            -           2473  2.4e-179  597.2 134.0   3   9     0.079     1e+02   -2.0   0.0   383   423   684   724   673   729 0.86 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 188at5820            -           2473  2.4e-179  597.2 134.0   4   9      0.38     5e+02   -4.2   1.7  1811  1931   746   872   719   885 0.50 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 188at5820            -           2473  2.4e-179  597.2 134.0   5   9     0.087   1.1e+02   -2.1  22.7  1798  1931  1163  1297  1040  1328 0.65 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 188at5820            -           2473  2.4e-179  597.2 134.0   6   9    0.0037       4.8    2.4   0.4   600   689  1407  1496  1378  1501 0.78 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 188at5820            -           2473  2.4e-179  597.2 134.0   7   9   1.7e-21   2.2e-18   63.3  39.1   695  1201  1636  2170  1629  2206 0.73 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
