#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1435700.1-p1   -           1079 4909at5820           -            586  7.5e-301  997.4  92.5   1   6   5.1e-23   3.3e-20   70.7   1.0     1    69    18   106    18   114 0.85 | transcript=PVP01_1435700.1 | gene=PVP01_1435700 | organism=Plasmodium_vivax_P01 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=PvP01_14_v2:1505395-1508634(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1435700.1-p1   -           1079 4909at5820           -            586  7.5e-301  997.4  92.5   2   6   1.5e-35     1e-32  112.1  16.0    54   139   135   224   127   228 0.86 | transcript=PVP01_1435700.1 | gene=PVP01_1435700 | organism=Plasmodium_vivax_P01 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=PvP01_14_v2:1505395-1508634(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1435700.1-p1   -           1079 4909at5820           -            586  7.5e-301  997.4  92.5   3   6  9.4e-156  6.1e-153  509.0  33.2   129   394   241   525   226   528 0.92 | transcript=PVP01_1435700.1 | gene=PVP01_1435700 | organism=Plasmodium_vivax_P01 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=PvP01_14_v2:1505395-1508634(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1435700.1-p1   -           1079 4909at5820           -            586  7.5e-301  997.4  92.5   4   6   8.2e-13   5.3e-10   37.0   0.0   393   429   779   819   776   881 0.77 | transcript=PVP01_1435700.1 | gene=PVP01_1435700 | organism=Plasmodium_vivax_P01 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=PvP01_14_v2:1505395-1508634(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1435700.1-p1   -           1079 4909at5820           -            586  7.5e-301  997.4  92.5   5   6     3e-55   1.9e-52  177.2   7.5   429   521   898   990   892   994 0.96 | transcript=PVP01_1435700.1 | gene=PVP01_1435700 | organism=Plasmodium_vivax_P01 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=PvP01_14_v2:1505395-1508634(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1435700.1-p1   -           1079 4909at5820           -            586  7.5e-301  997.4  92.5   6   6   6.2e-36     4e-33  113.4   2.0   501   586   993  1079   989  1079 0.94 | transcript=PVP01_1435700.1 | gene=PVP01_1435700 | organism=Plasmodium_vivax_P01 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=PvP01_14_v2:1505395-1508634(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805300.1-p1   -            755 4909at5820           -            586   1.6e-08   32.2  21.0   1   4   6.8e-10   4.5e-07   27.4   0.5    90   130     9    49     2    53 0.84 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805300.1-p1   -            755 4909at5820           -            586   1.6e-08   32.2  21.0   2   4     0.025        16    2.4   0.0   153   183    43    76    41    81 0.83 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805300.1-p1   -            755 4909at5820           -            586   1.6e-08   32.2  21.0   3   4   5.3e-07   0.00035   17.8  14.2   214   328   174   296   133   310 0.69 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805300.1-p1   -            755 4909at5820           -            586   1.6e-08   32.2  21.0   4   4        10   6.5e+03   -6.6   7.1   107   159   651   703   638   726 0.51 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310600.1-p1   -            245 4909at5820           -            586   2.5e-07   28.2   0.6   1   2   2.9e-08   1.9e-05   22.0   0.0    86   125     3    42     1    51 0.84 | transcript=PVP01_1310600.1 | gene=PVP01_1310600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=PvP01_13_v2:490903-492520(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
