#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0721800.1-p1   -            783 3000at5820           -            638         0 1325.7  25.8   1   1         0         0 1325.3  25.8    25   638   156   783   130   783 0.96 | transcript=PVP01_0721800.1 | gene=PVP01_0721800 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=PvP01_07_v2:943749-946100(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308000.1-p1   -            843 3000at5820           -            638   4.8e-85  284.8  11.1   1   2     0.091   1.2e+02   -0.7   0.1   100   135    50    85    37   101 0.77 | transcript=PVP01_0308000.1 | gene=PVP01_0308000 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=PvP01_03_v2:385950-389878(-) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308000.1-p1   -            843 3000at5820           -            638   4.8e-85  284.8  11.1   2   2   3.7e-88   4.8e-85  284.8  11.1    57   552   241   744   220   753 0.89 | transcript=PVP01_0308000.1 | gene=PVP01_0308000 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=PvP01_03_v2:385950-389878(-) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1435500.1-p1   -           1104 3000at5820           -            638   2.7e-61  206.3  22.7   1   2   1.3e-10   1.7e-07   28.6   0.4    61   112   466   516   447   525 0.79 | transcript=PVP01_1435500.1 | gene=PVP01_1435500 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=PvP01_14_v2:1497430-1500744(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1435500.1-p1   -           1104 3000at5820           -            638   2.7e-61  206.3  22.7   2   2     1e-56   1.3e-53  180.9  16.4   117   615   554  1067   547  1081 0.80 | transcript=PVP01_1435500.1 | gene=PVP01_1435500 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=PvP01_14_v2:1497430-1500744(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0515100.1-p1   -            662 3000at5820           -            638   3.3e-25   87.1  11.6   1   2   2.2e-27   2.8e-24   84.0  10.0    62   552    47   572    21   593 0.74 | transcript=PVP01_0515100.1 | gene=PVP01_0515100 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=PvP01_05_v2:630543-632531(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0515100.1-p1   -            662 3000at5820           -            638   3.3e-25   87.1  11.6   2   2      0.17   2.2e+02   -1.5   0.0   488   517   594   622   576   660 0.57 | transcript=PVP01_0515100.1 | gene=PVP01_0515100 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=PvP01_05_v2:630543-632531(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0514900.1-p1   -            705 3000at5820           -            638   1.8e-21   74.7  11.4   1   3   3.1e-14   4.1e-11   40.5   1.4    63   276    66   263    63   288 0.85 | transcript=PVP01_0514900.1 | gene=PVP01_0514900 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 4, putative | transcript_product=perforin-like protein 4, putative | location=PvP01_05_v2:624238-626355(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0514900.1-p1   -            705 3000at5820           -            638   1.8e-21   74.7  11.4   2   3   4.2e-11   5.5e-08   30.2   0.3   329   575   364   624   360   633 0.79 | transcript=PVP01_0514900.1 | gene=PVP01_0514900 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 4, putative | transcript_product=perforin-like protein 4, putative | location=PvP01_05_v2:624238-626355(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0514900.1-p1   -            705 3000at5820           -            638   1.8e-21   74.7  11.4   3   3    0.0026       3.3    4.5   0.1   426   478   638   690   632   698 0.73 | transcript=PVP01_0514900.1 | gene=PVP01_0514900 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 4, putative | transcript_product=perforin-like protein 4, putative | location=PvP01_05_v2:624238-626355(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
