#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1133200.1-p1   -           1385 2198at5820           -            663    4e-239  794.0  75.2   1  10   8.9e-10   1.9e-06   25.1   0.1     2    33   186   217   185   225 0.90 | transcript=PVP01_1133200.1 | gene=PVP01_1133200 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase, putative | transcript_product=protein phosphatase, putative | location=PvP01_11_v2:1416478-1420635(+) | protein_length=1385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133200.1-p1   -           1385 2198at5820           -            663    4e-239  794.0  75.2   2  10   4.6e-27     1e-23   82.2   2.6    39   104   257   325   251   329 0.91 | transcript=PVP01_1133200.1 | gene=PVP01_1133200 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase, putative | transcript_product=protein phosphatase, putative | location=PvP01_11_v2:1416478-1420635(+) | protein_length=1385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133200.1-p1   -           1385 2198at5820           -            663    4e-239  794.0  75.2   3  10     0.013        27    1.4   0.3   108   131   386   409   385   434 0.67 | transcript=PVP01_1133200.1 | gene=PVP01_1133200 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase, putative | transcript_product=protein phosphatase, putative | location=PvP01_11_v2:1416478-1420635(+) | protein_length=1385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133200.1-p1   -           1385 2198at5820           -            663    4e-239  794.0  75.2   4  10   9.1e-08    0.0002   18.4   1.2   121   169   443   498   410   508 0.70 | transcript=PVP01_1133200.1 | gene=PVP01_1133200 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase, putative | transcript_product=protein phosphatase, putative | location=PvP01_11_v2:1416478-1420635(+) | protein_length=1385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133200.1-p1   -           1385 2198at5820           -            663    4e-239  794.0  75.2   5  10   1.5e-13   3.3e-10   37.5   1.4   169   215   596   643   594   687 0.76 | transcript=PVP01_1133200.1 | gene=PVP01_1133200 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase, putative | transcript_product=protein phosphatase, putative | location=PvP01_11_v2:1416478-1420635(+) | protein_length=1385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133200.1-p1   -           1385 2198at5820           -            663    4e-239  794.0  75.2   6  10     0.034        73    0.0   0.1   220   243   683   708   661   727 0.78 | transcript=PVP01_1133200.1 | gene=PVP01_1133200 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase, putative | transcript_product=protein phosphatase, putative | location=PvP01_11_v2:1416478-1420635(+) | protein_length=1385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133200.1-p1   -           1385 2198at5820           -            663    4e-239  794.0  75.2   7  10   1.1e-65   2.4e-62  209.8   6.1   208   368   731   896   689   902 0.80 | transcript=PVP01_1133200.1 | gene=PVP01_1133200 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase, putative | transcript_product=protein phosphatase, putative | location=PvP01_11_v2:1416478-1420635(+) | protein_length=1385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133200.1-p1   -           1385 2198at5820           -            663    4e-239  794.0  75.2   8  10     1e-21   2.2e-18   64.5   3.3   363   408   942   987   936   997 0.88 | transcript=PVP01_1133200.1 | gene=PVP01_1133200 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase, putative | transcript_product=protein phosphatase, putative | location=PvP01_11_v2:1416478-1420635(+) | protein_length=1385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133200.1-p1   -           1385 2198at5820           -            663    4e-239  794.0  75.2   9  10   2.6e-58   5.6e-55  185.5   3.6   406   530  1041  1173  1029  1190 0.90 | transcript=PVP01_1133200.1 | gene=PVP01_1133200 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase, putative | transcript_product=protein phosphatase, putative | location=PvP01_11_v2:1416478-1420635(+) | protein_length=1385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133200.1-p1   -           1385 2198at5820           -            663    4e-239  794.0  75.2  10  10   4.9e-65   1.1e-61  207.7   3.1   537   663  1239  1382  1228  1382 0.85 | transcript=PVP01_1133200.1 | gene=PVP01_1133200 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase, putative | transcript_product=protein phosphatase, putative | location=PvP01_11_v2:1416478-1420635(+) | protein_length=1385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935900.1-p1   -            852 2198at5820           -            663   2.9e-07   27.8   2.4   1   2   4.6e-09   9.9e-06   22.7   0.1   319   351   615   647   515   666 0.75 | transcript=PVP01_0935900.1 | gene=PVP01_0935900 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=PvP01_09_v2:1541539-1544097(-) | protein_length=852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
