#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0215600.1-p1   -           5023 25at5820             -           4225         0 8510.5 198.4   1   9   2.2e-30   2.4e-27   92.3   0.9     1    55     1    55     1    63 0.97 | transcript=PVP01_0215600.1 | gene=PVP01_0215600 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_02_v2:653472-668753(+) | protein_length=5023 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215600.1-p1   -           5023 25at5820             -           4225         0 8510.5 198.4   2   9   5.6e-36   6.1e-33  110.8   0.6    56   124   108   189   105   197 0.90 | transcript=PVP01_0215600.1 | gene=PVP01_0215600 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_02_v2:653472-668753(+) | protein_length=5023 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215600.1-p1   -           5023 25at5820             -           4225         0 8510.5 198.4   3   9         0         0 3538.2 100.4   123  1908   233  2182   229  2187 0.95 | transcript=PVP01_0215600.1 | gene=PVP01_0215600 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_02_v2:653472-668753(+) | protein_length=5023 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215600.1-p1   -           5023 25at5820             -           4225         0 8510.5 198.4   4   9  4.1e-157  4.5e-154  512.9   0.5  1908  2153  2227  2486  2218  2499 0.95 | transcript=PVP01_0215600.1 | gene=PVP01_0215600 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_02_v2:653472-668753(+) | protein_length=5023 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215600.1-p1   -           5023 25at5820             -           4225         0 8510.5 198.4   5   9         0         0 3051.2  38.4  2153  3532  2566  4007  2543  4016 0.97 | transcript=PVP01_0215600.1 | gene=PVP01_0215600 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_02_v2:653472-668753(+) | protein_length=5023 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215600.1-p1   -           5023 25at5820             -           4225         0 8510.5 198.4   6   9   3.9e-35   4.2e-32  108.0   0.2  3530  3626  4033  4168  4027  4175 0.82 | transcript=PVP01_0215600.1 | gene=PVP01_0215600 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_02_v2:653472-668753(+) | protein_length=5023 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215600.1-p1   -           5023 25at5820             -           4225         0 8510.5 198.4   7   9  1.2e-233  1.3e-230  766.9   3.5  3623  3991  4217  4600  4194  4623 0.97 | transcript=PVP01_0215600.1 | gene=PVP01_0215600 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_02_v2:653472-668753(+) | protein_length=5023 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215600.1-p1   -           5023 25at5820             -           4225         0 8510.5 198.4   8   9   1.6e-54   1.7e-51  172.4   1.7  3974  4098  4671  4804  4663  4816 0.91 | transcript=PVP01_0215600.1 | gene=PVP01_0215600 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_02_v2:653472-668753(+) | protein_length=5023 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215600.1-p1   -           5023 25at5820             -           4225         0 8510.5 198.4   9   9   5.9e-61   6.4e-58  193.7   0.1  4094  4225  4854  5023  4846  5023 0.83 | transcript=PVP01_0215600.1 | gene=PVP01_0215600 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_02_v2:653472-668753(+) | protein_length=5023 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703700.1-p1   -           5866 25at5820             -           4225  2.6e-276  918.6 146.2   1   9         6   6.5e+03  -11.6  14.4   582   806   984  1195   980  1210 0.70 | transcript=PVP01_0703700.1 | gene=PVP01_0703700 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_07_v2:213691-231291(-) | protein_length=5866 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703700.1-p1   -           5866 25at5820             -           4225  2.6e-276  918.6 146.2   2   9         6   6.5e+03   -8.9  13.9  1192  1318  1151  1283  1130  1293 0.65 | transcript=PVP01_0703700.1 | gene=PVP01_0703700 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_07_v2:213691-231291(-) | protein_length=5866 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
