#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1310200.1-p1   -           1681 1387at5820           -           1102         0 2115.6 115.6   1   5         0         0 1333.3  33.3     1   637    12   685    12   710 0.95 | transcript=PVP01_1310200.1 | gene=PVP01_1310200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=PvP01_13_v2:469481-474911(+) | protein_length=1681 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310200.1-p1   -           1681 1387at5820           -           1102         0 2115.6 115.6   2   5   4.9e-50   3.2e-47  159.4   4.9   628   718   848   938   782   947 0.91 | transcript=PVP01_1310200.1 | gene=PVP01_1310200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=PvP01_13_v2:469481-474911(+) | protein_length=1681 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310200.1-p1   -           1681 1387at5820           -           1102         0 2115.6 115.6   3   5  1.7e-192  1.1e-189  631.2  43.3   711  1061   993  1363   980  1385 0.94 | transcript=PVP01_1310200.1 | gene=PVP01_1310200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=PvP01_13_v2:469481-474911(+) | protein_length=1681 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310200.1-p1   -           1681 1387at5820           -           1102         0 2115.6 115.6   4   5    0.0091       5.9    2.9   0.2  1052  1087  1475  1512  1461  1519 0.79 | transcript=PVP01_1310200.1 | gene=PVP01_1310200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=PvP01_13_v2:469481-474911(+) | protein_length=1681 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310200.1-p1   -           1681 1387at5820           -           1102         0 2115.6 115.6   5   5   5.1e-06    0.0033   13.7   0.7  1077  1102  1652  1677  1636  1677 0.89 | transcript=PVP01_1310200.1 | gene=PVP01_1310200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=PvP01_13_v2:469481-474911(+) | protein_length=1681 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204100.1-p1   -           1439 1387at5820           -           1102   1.2e-53  180.7   8.9   1   2   1.9e-56   1.2e-53  180.7   8.9    83   439   796  1118   740  1130 0.89 | transcript=PVP01_0204100.1 | gene=PVP01_0204100 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=PvP01_02_v2:196002-200884(+) | protein_length=1439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204100.1-p1   -           1439 1387at5820           -           1102   1.2e-53  180.7   8.9   2   2        10   6.5e+03  -10.7  18.0   914  1057  1282  1430  1227  1436 0.70 | transcript=PVP01_0204100.1 | gene=PVP01_0204100 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=PvP01_02_v2:196002-200884(+) | protein_length=1439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820800.1-p1   -           1285 1387at5820           -           1102   7.5e-38  128.4   7.6   1   1   1.8e-40   1.2e-37  127.7   7.6    85   417   552   849   507   881 0.86 | transcript=PVP01_0820800.1 | gene=PVP01_0820800 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8X, putative | transcript_product=kinesin-8X, putative | location=PvP01_08_v2:911832-915689(-) | protein_length=1285 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822600.1-p1   -           1383 1387at5820           -           1102   1.2e-36  124.4  41.6   1   4   8.1e-08   5.3e-05   19.6   0.3    79   140    60   121    18   125 0.81 | transcript=PVP01_0822600.1 | gene=PVP01_0822600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=PvP01_08_v2:1003395-1007727(+) | protein_length=1383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822600.1-p1   -           1383 1387at5820           -           1102   1.2e-36  124.4  41.6   2   4   2.6e-37   1.7e-34  117.3  16.4   170   485   231   536   221   565 0.83 | transcript=PVP01_0822600.1 | gene=PVP01_0822600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=PvP01_08_v2:1003395-1007727(+) | protein_length=1383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822600.1-p1   -           1383 1387at5820           -           1102   1.2e-36  124.4  41.6   3   4      0.43   2.8e+02   -2.6   7.0  1009  1093   824   904   799   913 0.66 | transcript=PVP01_0822600.1 | gene=PVP01_0822600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=PvP01_08_v2:1003395-1007727(+) | protein_length=1383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
