#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1263800.1-p1   -            596 6335at5820           -            474  5.9e-258  854.7  59.2   1   2  6.2e-200  4.1e-197  654.1  49.2     1   364     1   395     1   413 0.96 | transcript=PVP01_1263800.1 | gene=PVP01_1263800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_12_v2:2634322-2636348(-) | protein_length=596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263800.1-p1   -            596 6335at5820           -            474  5.9e-258  854.7  59.2   2   2   5.3e-64   3.4e-61  205.9   2.3   367   473   489   595   473   596 0.94 | transcript=PVP01_1263800.1 | gene=PVP01_1263800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_12_v2:2634322-2636348(-) | protein_length=596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 6335at5820           -            474   1.8e-11   41.9  15.1   1   2   3.5e-11   2.3e-08   31.7   2.4   227   355   209   337   171   349 0.85 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 6335at5820           -            474   1.8e-11   41.9  15.1   2   2   1.8e-06    0.0012   16.2  10.3   135   323   314   491   310   524 0.79 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0010610.1-p1   -            218 6335at5820           -            474   2.1e-10   38.4   0.7   1   2       0.3     2e+02   -1.1   0.5   197   224    99   124    28   151 0.56 | transcript=PVP01_0010610.1 | gene=PVP01_0010610 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_152.final:352-1308(-) | protein_length=218 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0010610.1-p1   -            218 6335at5820           -            474   2.1e-10   38.4   0.7   2   2   3.2e-13   2.1e-10   38.4   0.7   442   473   185   217   158   218 0.80 | transcript=PVP01_0010610.1 | gene=PVP01_0010610 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_152.final:352-1308(-) | protein_length=218 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_1130700.1-p1   -            978 6335at5820           -            474   8.2e-10   36.5   0.1   1   4      0.15        95   -0.0   0.5   236   261   110   135    75   191 0.82 | transcript=PVP01_1130700.1 | gene=PVP01_1130700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1323128-1326230(+) | protein_length=978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130700.1-p1   -            978 6335at5820           -            474   8.2e-10   36.5   0.1   2   4      0.83   5.4e+02   -2.5   1.8   247   294   225   277   200   285 0.72 | transcript=PVP01_1130700.1 | gene=PVP01_1130700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1323128-1326230(+) | protein_length=978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130700.1-p1   -            978 6335at5820           -            474   8.2e-10   36.5   0.1   3   4      0.31     2e+02   -1.1   2.4   193   239   413   455   384   475 0.66 | transcript=PVP01_1130700.1 | gene=PVP01_1130700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1323128-1326230(+) | protein_length=978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130700.1-p1   -            978 6335at5820           -            474   8.2e-10   36.5   0.1   4   4   1.3e-12   8.2e-10   36.5   0.1   265   339   520   594   515   602 0.94 | transcript=PVP01_1130700.1 | gene=PVP01_1130700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1323128-1326230(+) | protein_length=978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618100.1-p1   -            512 6335at5820           -            474   2.7e-09   34.8  10.9   1   1   6.3e-12   4.1e-09   34.2  10.9   189   391    94   289    55   305 0.83 | transcript=PVP01_0618100.1 | gene=PVP01_0618100 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein HPR1, putative | transcript_product=heptatricopeptide repeat-containing protein HPR1, putative | location=PvP01_06_v2:740995-742533(+) | protein_length=512 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
