#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0828000.1-p1   -           1123 2874at5820           -            780  2.5e-278  924.1  24.5   1   6     3e-67   3.3e-64  216.0  12.4     1   143    25   168    25   173 0.98 | transcript=PVP01_0828000.1 | gene=PVP01_0828000 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_08_v2:1212096-1215467(+) | protein_length=1123 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828000.1-p1   -           1123 2874at5820           -            780  2.5e-278  924.1  24.5   2   6   3.5e-94   3.8e-91  305.1   4.5   142   319   192   373   188   375 0.97 | transcript=PVP01_0828000.1 | gene=PVP01_0828000 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_08_v2:1212096-1215467(+) | protein_length=1123 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828000.1-p1   -           1123 2874at5820           -            780  2.5e-278  924.1  24.5   3   6   1.7e-41   1.8e-38  130.8   0.0   318   488   419   627   412   635 0.80 | transcript=PVP01_0828000.1 | gene=PVP01_0828000 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_08_v2:1212096-1215467(+) | protein_length=1123 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828000.1-p1   -           1123 2874at5820           -            780  2.5e-278  924.1  24.5   4   6   3.2e-30   3.4e-27   93.6   0.0   491   574   688   777   684   780 0.94 | transcript=PVP01_0828000.1 | gene=PVP01_0828000 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_08_v2:1212096-1215467(+) | protein_length=1123 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828000.1-p1   -           1123 2874at5820           -            780  2.5e-278  924.1  24.5   5   6   7.5e-18   8.1e-15   52.6   0.0   575   635   808   883   802   889 0.84 | transcript=PVP01_0828000.1 | gene=PVP01_0828000 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_08_v2:1212096-1215467(+) | protein_length=1123 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828000.1-p1   -           1123 2874at5820           -            780  2.5e-278  924.1  24.5   6   6   1.7e-39   1.8e-36  124.2   0.0   634   778   932  1112   928  1114 0.85 | transcript=PVP01_0828000.1 | gene=PVP01_0828000 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_08_v2:1212096-1215467(+) | protein_length=1123 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315200.1-p1   -            559 2874at5820           -            780   3.3e-14   50.6  47.3   1   4   3.6e-05     0.039   10.7   2.5   189   342     3   147     1   184 0.77 | transcript=PVP01_1315200.1 | gene=PVP01_1315200 | organism=Plasmodium_vivax_P01 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=PvP01_13_v2:700803-702482(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315200.1-p1   -            559 2874at5820           -            780   3.3e-14   50.6  47.3   2   4      0.18   1.9e+02   -1.5   4.1   525   598   130   204   114   220 0.82 | transcript=PVP01_1315200.1 | gene=PVP01_1315200 | organism=Plasmodium_vivax_P01 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=PvP01_13_v2:700803-702482(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315200.1-p1   -            559 2874at5820           -            780   3.3e-14   50.6  47.3   3   4   1.2e-10   1.3e-07   28.8  21.9   169   306   210   347   195   359 0.76 | transcript=PVP01_1315200.1 | gene=PVP01_1315200 | organism=Plasmodium_vivax_P01 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=PvP01_13_v2:700803-702482(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315200.1-p1   -            559 2874at5820           -            780   3.3e-14   50.6  47.3   4   4   5.9e-08   6.5e-05   19.9   9.1   174   331   354   500   342   522 0.79 | transcript=PVP01_1315200.1 | gene=PVP01_1315200 | organism=Plasmodium_vivax_P01 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=PvP01_13_v2:700803-702482(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1459000.1-p1   -            571 2874at5820           -            780   2.5e-11   41.1   7.0   1   1   3.4e-14   3.7e-11   40.5   7.0   193   339   399   531   380   539 0.83 | transcript=PVP01_1459000.1 | gene=PVP01_1459000 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_14_v2:2579586-2581301(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116400.1-p1   -            682 2874at5820           -            780   2.5e-06   24.5  14.2   1   2   1.3e-06    0.0014   15.5   0.8   191   230   156   195   144   207 0.88 | transcript=PVP01_1116400.1 | gene=PVP01_1116400 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=PvP01_11_v2:707209-709257(-) | protein_length=682 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116400.1-p1   -            682 2874at5820           -            780   2.5e-06   24.5  14.2   2   2   5.4e-06    0.0058   13.4   6.6   230   334   252   344   236   414 0.74 | transcript=PVP01_1116400.1 | gene=PVP01_1116400 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=PvP01_11_v2:707209-709257(-) | protein_length=682 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1464500.1-p1   -            302 2874at5820           -            780   0.00044   17.1   2.6   1   1   7.7e-07   0.00084   16.2   2.6   187   255   137   220   127   234 0.74 | transcript=PVP01_1464500.1 | gene=PVP01_1464500 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase FKBP35, putative | transcript_product=peptidyl-prolyl cis-trans isomerase FKBP35, putative | location=PvP01_14_v2:2761587-2762495(-) | protein_length=302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411400.1-p1   -            477 2874at5820           -            780     0.043   10.6   5.7   1   2   0.00026      0.29    7.8   2.0   193   249    11    67     2   103 0.82 | transcript=PVP01_0411400.1 | gene=PVP01_0411400 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_04_v2:468113-470149(+) | protein_length=477 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411400.1-p1   -            477 2874at5820           -            780     0.043   10.6   5.7   2   2     0.004       4.3    3.9   0.1   194   231   301   338   282   383 0.73 | transcript=PVP01_0411400.1 | gene=PVP01_0411400 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_04_v2:468113-470149(+) | protein_length=477 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2874at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2874at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2874at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:16 2026
# [ok]
