#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0610200.1-p1   -            943 4710at5820           -            709         0 1135.9 156.5   1   4  2.4e-167  2.6e-164  546.8  10.2     5   261    14   273     8   280 0.96 | transcript=PVP01_0610200.1 | gene=PVP01_0610200 | organism=Plasmodium_vivax_P01 | gene_product=Eps15-like protein, putative | transcript_product=Eps15-like protein, putative | location=PvP01_06_v2:447707-451596(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0610200.1-p1   -            943 4710at5820           -            709         0 1135.9 156.5   2   4   5.1e-08   5.5e-05   20.1  41.1   256   383   291   439   287   455 0.54 | transcript=PVP01_0610200.1 | gene=PVP01_0610200 | organism=Plasmodium_vivax_P01 | gene_product=Eps15-like protein, putative | transcript_product=Eps15-like protein, putative | location=PvP01_06_v2:447707-451596(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0610200.1-p1   -            943 4710at5820           -            709         0 1135.9 156.5   3   4         6   6.5e+03   -8.9  24.7   310   381   451   517   434   538 0.34 | transcript=PVP01_0610200.1 | gene=PVP01_0610200 | organism=Plasmodium_vivax_P01 | gene_product=Eps15-like protein, putative | transcript_product=Eps15-like protein, putative | location=PvP01_06_v2:447707-451596(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0610200.1-p1   -            943 4710at5820           -            709         0 1135.9 156.5   4   4  3.9e-181  4.2e-178  592.3  62.9   375   709   568   943   557   943 0.95 | transcript=PVP01_0610200.1 | gene=PVP01_0610200 | organism=Plasmodium_vivax_P01 | gene_product=Eps15-like protein, putative | transcript_product=Eps15-like protein, putative | location=PvP01_06_v2:447707-451596(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836000.1-p1   -            529 4710at5820           -            709   0.00022   18.1   2.3   1   2       0.2   2.1e+02   -1.7   1.9   404   440   358   394   256   408 0.75 | transcript=PVP01_0836000.1 | gene=PVP01_0836000 | organism=Plasmodium_vivax_P01 | gene_product=EH domain-containing protein, putative | transcript_product=EH domain-containing protein, putative | location=PvP01_08_v2:1521701-1523290(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836000.1-p1   -            529 4710at5820           -            709   0.00022   18.1   2.3   2   2   2.7e-07    0.0003   17.6   0.0   142   221   449   526   431   528 0.77 | transcript=PVP01_0836000.1 | gene=PVP01_0836000 | organism=Plasmodium_vivax_P01 | gene_product=EH domain-containing protein, putative | transcript_product=EH domain-containing protein, putative | location=PvP01_08_v2:1521701-1523290(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 4710at5820           -            709      0.15    8.7  30.2   1   1   0.00017      0.18    8.4  30.2   284   401    68   176    52   231 0.35 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 4710at5820           -            709      0.99    6.0  32.7   1   2   2.8e-05     0.031   11.0  25.9   326   419   101   190    89   205 0.58 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 4710at5820           -            709      0.99    6.0  32.7   2   2      0.17   1.8e+02   -1.5   0.5   285   294   284   293   241   309 0.52 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270700.1-p1   -            393 4710at5820           -            709       1.4    5.5  25.7   1   1    0.0016       1.8    5.2  25.7   247   376   225   371   205   382 0.41 | transcript=PVP01_1270700.1 | gene=PVP01_1270700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2986799-2988087(+) | protein_length=393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1427000.1-p1   -            315 4710at5820           -            709       2.8    4.5  42.3   1   1    0.0034       3.7    4.1  42.3   251   434   102   297    65   312 0.48 | transcript=PVP01_1427000.1 | gene=PVP01_1427000 | organism=Plasmodium_vivax_P01 | gene_product=NPL domain-containing protein, putative | transcript_product=NPL domain-containing protein, putative | location=PvP01_14_v2:1151492-1152934(-) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4710at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4710at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4710at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:44 2026
# [ok]
