#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0206000.1-p1   -           1089 1806at5820           -            857         0 1369.3   3.2   1   4    6e-162  1.3e-158  527.7   0.0     1   284    14   304    14   322 0.96 | transcript=PVP01_0206000.1 | gene=PVP01_0206000 | organism=Plasmodium_vivax_P01 | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=PvP01_02_v2:249334-252807(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206000.1-p1   -           1089 1806at5820           -            857         0 1369.3   3.2   2   4  1.1e-195  2.4e-192  639.3   0.1   283   699   360   846   351   861 0.91 | transcript=PVP01_0206000.1 | gene=PVP01_0206000 | organism=Plasmodium_vivax_P01 | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=PvP01_02_v2:249334-252807(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206000.1-p1   -           1089 1806at5820           -            857         0 1369.3   3.2   3   4   5.8e-14   1.3e-10   38.2   0.0   709   753   895   941   870   954 0.87 | transcript=PVP01_0206000.1 | gene=PVP01_0206000 | organism=Plasmodium_vivax_P01 | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=PvP01_02_v2:249334-252807(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206000.1-p1   -           1089 1806at5820           -            857         0 1369.3   3.2   4   4   8.9e-51   1.9e-47  160.0   0.0   749   857   968  1088   960  1088 0.91 | transcript=PVP01_0206000.1 | gene=PVP01_0206000 | organism=Plasmodium_vivax_P01 | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=PvP01_02_v2:249334-252807(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255400.1-p1   -            874 1806at5820           -            857  2.8e-122  407.5  21.2   1   2  3.4e-118  7.4e-115  383.0  18.6    11   593    25   665    17   672 0.82 | transcript=PVP01_1255400.1 | gene=PVP01_1255400 | organism=Plasmodium_vivax_P01 | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=PvP01_12_v2:2269996-2272783(+) | protein_length=874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255400.1-p1   -            874 1806at5820           -            857  2.8e-122  407.5  21.2   2   2   6.4e-07    0.0014   14.9   0.0   717   842   717   859   701   871 0.67 | transcript=PVP01_1255400.1 | gene=PVP01_1255400 | organism=Plasmodium_vivax_P01 | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=PvP01_12_v2:2269996-2272783(+) | protein_length=874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1341700.1-p1   -           1306 1806at5820           -            857   5.3e-12   42.7   7.8   1   4    0.0083        18    1.2   0.1   611   674   284   347   257   410 0.76 | transcript=PVP01_1341700.1 | gene=PVP01_1341700 | organism=Plasmodium_vivax_P01 | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=PvP01_13_v2:1832422-1836342(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1341700.1-p1   -           1306 1806at5820           -            857   5.3e-12   42.7   7.8   2   4   6.2e-08   0.00014   18.2   0.1   649   697   727   783   681   805 0.63 | transcript=PVP01_1341700.1 | gene=PVP01_1341700 | organism=Plasmodium_vivax_P01 | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=PvP01_13_v2:1832422-1836342(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1341700.1-p1   -           1306 1806at5820           -            857   5.3e-12   42.7   7.8   3   4   1.2e-05     0.026   10.7   0.1   652   674  1127  1150  1113  1155 0.83 | transcript=PVP01_1341700.1 | gene=PVP01_1341700 | organism=Plasmodium_vivax_P01 | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=PvP01_13_v2:1832422-1836342(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1341700.1-p1   -           1306 1806at5820           -            857   5.3e-12   42.7   7.8   4   4   1.2e-06    0.0025   14.0   0.0   651   699  1239  1294  1228  1306 0.71 | transcript=PVP01_1341700.1 | gene=PVP01_1341700 | organism=Plasmodium_vivax_P01 | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=PvP01_13_v2:1832422-1836342(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
