#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1257600.1-p1   -           1372 2267at5820           -            910         0 1180.3 102.0   1   7   5.1e-98   6.7e-95  317.6  12.6     1   214     1   218     1   231 0.85 | transcript=PVP01_1257600.1 | gene=PVP01_1257600 | organism=Plasmodium_vivax_P01 | gene_product=crossover junction endonuclease MUS81, putative | transcript_product=crossover junction endonuclease MUS81, putative | location=PvP01_12_v2:2370456-2374771(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1257600.1-p1   -           1372 2267at5820           -            910         0 1180.3 102.0   2   7   8.7e-39   1.1e-35  121.6  22.4   202   330   286   439   236   481 0.75 | transcript=PVP01_1257600.1 | gene=PVP01_1257600 | organism=Plasmodium_vivax_P01 | gene_product=crossover junction endonuclease MUS81, putative | transcript_product=crossover junction endonuclease MUS81, putative | location=PvP01_12_v2:2370456-2374771(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1257600.1-p1   -           1372 2267at5820           -            910         0 1180.3 102.0   3   7   1.1e-06    0.0014   15.3   5.1   322   366   477   523   465   528 0.82 | transcript=PVP01_1257600.1 | gene=PVP01_1257600 | organism=Plasmodium_vivax_P01 | gene_product=crossover junction endonuclease MUS81, putative | transcript_product=crossover junction endonuclease MUS81, putative | location=PvP01_12_v2:2370456-2374771(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1257600.1-p1   -           1372 2267at5820           -            910         0 1180.3 102.0   4   7   2.2e-12   2.8e-09   34.2   6.4   420   490   648   717   582   813 0.79 | transcript=PVP01_1257600.1 | gene=PVP01_1257600 | organism=Plasmodium_vivax_P01 | gene_product=crossover junction endonuclease MUS81, putative | transcript_product=crossover junction endonuclease MUS81, putative | location=PvP01_12_v2:2370456-2374771(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1257600.1-p1   -           1372 2267at5820           -            910         0 1180.3 102.0   5   7   6.3e-06    0.0082   12.8   6.1   500   579   870   960   863   966 0.64 | transcript=PVP01_1257600.1 | gene=PVP01_1257600 | organism=Plasmodium_vivax_P01 | gene_product=crossover junction endonuclease MUS81, putative | transcript_product=crossover junction endonuclease MUS81, putative | location=PvP01_12_v2:2370456-2374771(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1257600.1-p1   -           1372 2267at5820           -            910         0 1180.3 102.0   6   7   4.4e-49   5.8e-46  155.6  11.6   531   663   941  1076   938  1085 0.70 | transcript=PVP01_1257600.1 | gene=PVP01_1257600 | organism=Plasmodium_vivax_P01 | gene_product=crossover junction endonuclease MUS81, putative | transcript_product=crossover junction endonuclease MUS81, putative | location=PvP01_12_v2:2370456-2374771(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1257600.1-p1   -           1372 2267at5820           -            910         0 1180.3 102.0   7   7  3.8e-167    5e-164  546.3   3.1   656   908  1119  1372  1100  1372 0.94 | transcript=PVP01_1257600.1 | gene=PVP01_1257600 | organism=Plasmodium_vivax_P01 | gene_product=crossover junction endonuclease MUS81, putative | transcript_product=crossover junction endonuclease MUS81, putative | location=PvP01_12_v2:2370456-2374771(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1427000.1-p1   -            315 2267at5820           -            910      0.77    6.3  34.8   1   1   0.00074      0.96    6.0  34.8   382   566    81   250    42   273 0.44 | transcript=PVP01_1427000.1 | gene=PVP01_1427000 | organism=Plasmodium_vivax_P01 | gene_product=NPL domain-containing protein, putative | transcript_product=NPL domain-containing protein, putative | location=PvP01_14_v2:1151492-1152934(-) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0305300.1-p1   -            756 2267at5820           -            910       2.2    4.8  15.5   1   1    0.0028       3.6    4.1  15.5   452   572   372   492   345   507 0.53 | transcript=PVP01_0305300.1 | gene=PVP01_0305300 | organism=Plasmodium_vivax_P01 | gene_product=rhoptry neck protein 1 | transcript_product=rhoptry neck protein 1 | location=PvP01_03_v2:282744-285506(-) | protein_length=756 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 2267at5820           -            910       2.4    4.7  29.6   1   1    0.0023         3    4.3  29.6   470   578    66   170    51   208 0.36 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111100.1-p1   -            283 2267at5820           -            910         9    2.8  41.0   1   1    0.0095        12    2.3  41.0   411   568    61   223    42   232 0.51 | transcript=PVP01_0111100.1 | gene=PVP01_0111100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:522872-523723(-) | protein_length=283 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
