#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0211800.1-p1   -            631 4891at5820           -            503         0 1049.0  28.1   1   2   8.7e-30   9.4e-27   92.5   8.5     1    72    73   153    73   159 0.90 | transcript=PVP01_0211800.1 | gene=PVP01_0211800 | organism=Plasmodium_vivax_P01 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=PvP01_02_v2:485309-487204(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211800.1-p1   -            631 4891at5820           -            503         0 1049.0  28.1   2   2  1.5e-293  1.6e-290  962.6  11.7    60   503   177   631   162   631 0.98 | transcript=PVP01_0211800.1 | gene=PVP01_0211800 | organism=Plasmodium_vivax_P01 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=PvP01_02_v2:485309-487204(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1019600.1-p1   -            987 4891at5820           -            503   6.9e-41  139.2   2.3   1   5   0.00077      0.83    6.9   0.0    67   165   227   337   220   341 0.71 | transcript=PVP01_1019600.1 | gene=PVP01_1019600 | organism=Plasmodium_vivax_P01 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=PvP01_10_v2:857498-860461(-) | protein_length=987 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1019600.1-p1   -            987 4891at5820           -            503   6.9e-41  139.2   2.3   2   5   0.00098       1.1    6.6   0.0   190   231   411   452   402   466 0.81 | transcript=PVP01_1019600.1 | gene=PVP01_1019600 | organism=Plasmodium_vivax_P01 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=PvP01_10_v2:857498-860461(-) | protein_length=987 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1019600.1-p1   -            987 4891at5820           -            503   6.9e-41  139.2   2.3   3   5   1.8e-18     2e-15   55.2   0.2   232   310   480   556   468   568 0.89 | transcript=PVP01_1019600.1 | gene=PVP01_1019600 | organism=Plasmodium_vivax_P01 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=PvP01_10_v2:857498-860461(-) | protein_length=987 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1019600.1-p1   -            987 4891at5820           -            503   6.9e-41  139.2   2.3   4   5   8.2e-17     9e-14   49.7   0.0   356   443   812   899   801   908 0.90 | transcript=PVP01_1019600.1 | gene=PVP01_1019600 | organism=Plasmodium_vivax_P01 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=PvP01_10_v2:857498-860461(-) | protein_length=987 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1019600.1-p1   -            987 4891at5820           -            503   6.9e-41  139.2   2.3   5   5   1.9e-06    0.0021   15.5   0.0   453   491   945   983   931   986 0.90 | transcript=PVP01_1019600.1 | gene=PVP01_1019600 | organism=Plasmodium_vivax_P01 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=PvP01_10_v2:857498-860461(-) | protein_length=987 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413100.1-p1   -            580 4891at5820           -            503   1.5e-27   95.2   2.0   1   2    0.0062       6.7    3.9   0.0   194   244   207   257   152   270 0.91 | transcript=PVP01_0413100.1 | gene=PVP01_0413100 | organism=Plasmodium_vivax_P01 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=PvP01_04_v2:534169-535911(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413100.1-p1   -            580 4891at5820           -            503   1.5e-27   95.2   2.0   2   2   8.3e-29   9.1e-26   89.3   1.4   241   498   311   575   299   578 0.79 | transcript=PVP01_0413100.1 | gene=PVP01_0413100 | organism=Plasmodium_vivax_P01 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=PvP01_04_v2:534169-535911(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024400.1-p1   -            751 4891at5820           -            503   3.8e-22   77.3   0.0   1   2     0.018        19    2.4   0.0   194   242   373   421   362   430 0.85 | transcript=PVP01_1024400.1 | gene=PVP01_1024400 | organism=Plasmodium_vivax_P01 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=PvP01_10_v2:1063035-1065290(-) | protein_length=751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024400.1-p1   -            751 4891at5820           -            503   3.8e-22   77.3   0.0   2   2   1.9e-23     2e-20   71.6   0.0   241   501   466   749   457   751 0.78 | transcript=PVP01_1024400.1 | gene=PVP01_1024400 | organism=Plasmodium_vivax_P01 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=PvP01_10_v2:1063035-1065290(-) | protein_length=751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
