#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0420500.1-p1   -            975 3093at5820           -            624  7.9e-266  882.1  26.9   1   7   5.1e-19   1.7e-15   55.2   0.0     6    46    10    50     2    57 0.92 | transcript=PVP01_0420500.1 | gene=PVP01_0420500 | organism=Plasmodium_vivax_P01 | gene_product=5'-3' exonuclease, putative | transcript_product=5'-3' exonuclease, putative | location=PvP01_04_v2:832333-835260(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0420500.1-p1   -            975 3093at5820           -            624  7.9e-266  882.1  26.9   2   7  5.6e-105  1.8e-101  339.2   0.2    46   230    91   293    85   297 0.92 | transcript=PVP01_0420500.1 | gene=PVP01_0420500 | organism=Plasmodium_vivax_P01 | gene_product=5'-3' exonuclease, putative | transcript_product=5'-3' exonuclease, putative | location=PvP01_04_v2:832333-835260(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0420500.1-p1   -            975 3093at5820           -            624  7.9e-266  882.1  26.9   3   7   4.4e-48   1.5e-44  151.2   0.1   232   338   324   440   321   449 0.91 | transcript=PVP01_0420500.1 | gene=PVP01_0420500 | organism=Plasmodium_vivax_P01 | gene_product=5'-3' exonuclease, putative | transcript_product=5'-3' exonuclease, putative | location=PvP01_04_v2:832333-835260(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0420500.1-p1   -            975 3093at5820           -            624  7.9e-266  882.1  26.9   4   7   2.9e-30   9.5e-27   92.4   0.0   337   424   463   562   457   567 0.89 | transcript=PVP01_0420500.1 | gene=PVP01_0420500 | organism=Plasmodium_vivax_P01 | gene_product=5'-3' exonuclease, putative | transcript_product=5'-3' exonuclease, putative | location=PvP01_04_v2:832333-835260(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0420500.1-p1   -            975 3093at5820           -            624  7.9e-266  882.1  26.9   5   7   6.5e-38   2.1e-34  117.6   0.3   423   496   636   709   630   712 0.97 | transcript=PVP01_0420500.1 | gene=PVP01_0420500 | organism=Plasmodium_vivax_P01 | gene_product=5'-3' exonuclease, putative | transcript_product=5'-3' exonuclease, putative | location=PvP01_04_v2:832333-835260(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0420500.1-p1   -            975 3093at5820           -            624  7.9e-266  882.1  26.9   6   7   1.2e-13     4e-10   37.5   1.3   496   526   747   777   744   780 0.94 | transcript=PVP01_0420500.1 | gene=PVP01_0420500 | organism=Plasmodium_vivax_P01 | gene_product=5'-3' exonuclease, putative | transcript_product=5'-3' exonuclease, putative | location=PvP01_04_v2:832333-835260(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0420500.1-p1   -            975 3093at5820           -            624  7.9e-266  882.1  26.9   7   7   3.4e-33   1.1e-29  102.1   1.2   526   600   799   878   795   884 0.92 | transcript=PVP01_0420500.1 | gene=PVP01_0420500 | organism=Plasmodium_vivax_P01 | gene_product=5'-3' exonuclease, putative | transcript_product=5'-3' exonuclease, putative | location=PvP01_04_v2:832333-835260(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707900.1-p1   -           1354 3093at5820           -            624   2.1e-14   51.6  19.8   1   4   8.3e-09   2.7e-05   21.5   0.5    41   137    72   174    57   179 0.77 | transcript=PVP01_0707900.1 | gene=PVP01_0707900 | organism=Plasmodium_vivax_P01 | gene_product=exoribonuclease, putative | transcript_product=exoribonuclease, putative | location=PvP01_07_v2:405024-409088(+) | protein_length=1354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707900.1-p1   -           1354 3093at5820           -            624   2.1e-14   51.6  19.8   2   4   6.5e-11   2.1e-07   28.5   0.0   120   228   189   295   186   306 0.79 | transcript=PVP01_0707900.1 | gene=PVP01_0707900 | organism=Plasmodium_vivax_P01 | gene_product=exoribonuclease, putative | transcript_product=exoribonuclease, putative | location=PvP01_07_v2:405024-409088(+) | protein_length=1354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707900.1-p1   -           1354 3093at5820           -            624   2.1e-14   51.6  19.8   3   4   0.00089       2.9    4.9   2.0   233   337   350   462   283   473 0.65 | transcript=PVP01_0707900.1 | gene=PVP01_0707900 | organism=Plasmodium_vivax_P01 | gene_product=exoribonuclease, putative | transcript_product=exoribonuclease, putative | location=PvP01_07_v2:405024-409088(+) | protein_length=1354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707900.1-p1   -           1354 3093at5820           -            624   2.1e-14   51.6  19.8   4   4   0.00032         1    6.4   2.1   428   486   695   755   661   770 0.66 | transcript=PVP01_0707900.1 | gene=PVP01_0707900 | organism=Plasmodium_vivax_P01 | gene_product=exoribonuclease, putative | transcript_product=exoribonuclease, putative | location=PvP01_07_v2:405024-409088(+) | protein_length=1354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3093at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3093at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3093at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:44 2026
# [ok]
