#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1263600.1-p1   -            834 3489at5820           -            618         0 1069.3 102.6   1   5     2e-88   1.8e-85  286.3  18.3     1   157     1   165     1   171 0.95 | transcript=PVP01_1263600.1 | gene=PVP01_1263600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_12_v2:2629484-2632366(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263600.1-p1   -            834 3489at5820           -            618         0 1069.3 102.6   2   5   1.5e-81   1.4e-78  263.5   2.4   156   306   197   358   190   366 0.93 | transcript=PVP01_1263600.1 | gene=PVP01_1263600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_12_v2:2629484-2632366(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263600.1-p1   -            834 3489at5820           -            618         0 1069.3 102.6   3   5   3.6e-71   3.4e-68  229.2  37.6   300   463   400   594   383   608 0.85 | transcript=PVP01_1263600.1 | gene=PVP01_1263600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_12_v2:2629484-2632366(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263600.1-p1   -            834 3489at5820           -            618         0 1069.3 102.6   4   5   3.6e-35   3.3e-32  110.3   5.4   441   519   608   686   591   698 0.86 | transcript=PVP01_1263600.1 | gene=PVP01_1263600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_12_v2:2629484-2632366(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263600.1-p1   -            834 3489at5820           -            618         0 1069.3 102.6   5   5   5.3e-60   4.9e-57  192.3   8.8   512   618   715   834   700   834 0.87 | transcript=PVP01_1263600.1 | gene=PVP01_1263600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_12_v2:2629484-2632366(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 3489at5820           -            618   9.4e-07   26.3   2.0   1   4   4.9e-05     0.045   10.8   0.0   334   388    87   142    49   153 0.80 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 3489at5820           -            618   9.4e-07   26.3   2.0   2   4     0.031        29    1.5   0.0   217   253   152   189   143   199 0.69 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 3489at5820           -            618   9.4e-07   26.3   2.0   3   4   5.2e-05     0.048   10.7   0.0    64   134   203   271   191   289 0.84 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 3489at5820           -            618   9.4e-07   26.3   2.0   4   4      0.16   1.5e+02   -0.9   0.0    67    90   294   317   284   321 0.84 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 3489at5820           -            618   1.2e-06   25.9   3.8   1   3         7   6.5e+03  -26.1  30.2   304   331    65    94    16   319 0.48 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 3489at5820           -            618   1.2e-06   25.9   3.8   2   3   3.8e-06    0.0035   14.5   0.1   301   393   390   483   358   507 0.77 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 3489at5820           -            618   1.2e-06   25.9   3.8   3   3   4.7e-08   4.3e-05   20.8   0.8    54   142   526   614   508   631 0.88 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 3489at5820           -            618   1.3e-06   25.8   0.4   1   5         7   6.5e+03   -8.2  12.1   324   467    46   187    38   209 0.52 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
