#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0709800.1-p1   -           3264 150at5820            -           2276         0 3448.5 300.4   1   7  5.8e-144  1.3e-140  469.1  62.5    13   536   125   878   122   880 0.77 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 150at5820            -           2276         0 3448.5 300.4   2   7   8.7e-26   1.9e-22   77.1   2.3   536   631   930  1047   920  1051 0.77 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 150at5820            -           2276         0 3448.5 300.4   3   7  1.6e-300  3.6e-297  988.3  83.7   631  1231  1125  1773  1121  1825 0.91 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 150at5820            -           2276         0 3448.5 300.4   4   7   2.7e-46   5.8e-43  145.1   3.5  1222  1325  1827  1940  1815  1945 0.91 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 150at5820            -           2276         0 3448.5 300.4   5   7         0         0 1450.1  64.2  1323  2027  2057  2771  2051  2787 0.98 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 150at5820            -           2276         0 3448.5 300.4   6   7   6.7e-56   1.5e-52  177.0  17.8  2030  2148  2912  3032  2873  3056 0.89 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 150at5820            -           2276         0 3448.5 300.4   7   7     4e-51   8.6e-48  161.2  19.3  2148  2276  3083  3222  3049  3222 0.88 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0314000.1-p1   -           2536 150at5820            -           2276  1.8e-256  853.3 181.9   1   4       1.1   2.5e+03   -6.2   4.4   243   316   249   334   242   362 0.63 | transcript=PVP01_0314000.1 | gene=PVP01_0314000 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=PvP01_03_v2:633899-642589(-) | protein_length=2536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0314000.1-p1   -           2536 150at5820            -           2276  1.8e-256  853.3 181.9   2   4         3   6.5e+03   -9.9   9.6   474   632   540   706   529   778 0.56 | transcript=PVP01_0314000.1 | gene=PVP01_0314000 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=PvP01_03_v2:633899-642589(-) | protein_length=2536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0314000.1-p1   -           2536 150at5820            -           2276  1.8e-256  853.3 181.9   3   4   2.9e-99   6.4e-96  320.8  89.5   634  1296   792  1502   786  1514 0.85 | transcript=PVP01_0314000.1 | gene=PVP01_0314000 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=PvP01_03_v2:633899-642589(-) | protein_length=2536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0314000.1-p1   -           2536 150at5820            -           2276  1.8e-256  853.3 181.9   4   4  4.8e-168    1e-164  548.9  84.4  1353  2236  1517  2414  1503  2460 0.86 | transcript=PVP01_0314000.1 | gene=PVP01_0314000 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=PvP01_03_v2:633899-642589(-) | protein_length=2536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
