#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0314000.1-p1   -           2536 181at5820            -           2145         0 3918.1 182.9   1   1         0         0 3916.0 182.9     1  2145    74  2491    74  2491 0.92 | transcript=PVP01_0314000.1 | gene=PVP01_0314000 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=PvP01_03_v2:633899-642589(-) | protein_length=2536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 181at5820            -           2145  3.3e-223  742.4 143.8   1   5   2.4e-82   5.3e-79  264.2  67.7   538  1114  1149  1765  1132  1779 0.82 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 181at5820            -           2145  3.3e-223  742.4 143.8   2   5   2.5e-08   5.4e-05   18.7   6.7  1117  1184  1831  1899  1817  1904 0.80 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 181at5820            -           2145  3.3e-223  742.4 143.8   3   5  2.3e-151    5e-148  493.1  53.3  1200  1862  2086  2753  2072  2783 0.92 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 181at5820            -           2145  3.3e-223  742.4 143.8   4   5         3   6.5e+03   -9.8   6.3  1873  1941  2934  3005  2930  3027 0.60 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 181at5820            -           2145  3.3e-223  742.4 143.8   5   5         3   6.5e+03  -11.0   9.3  2013  2136  3101  3220  3090  3224 0.73 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 181at5820            -           2145   2.3e-53  179.1 178.2   1   7     7e-33   1.5e-29  100.1  52.1   609  1050   736  1200   669  1207 0.81 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 181at5820            -           2145   2.3e-53  179.1 178.2   2   7   1.9e-12   4.1e-09   32.4  17.7  1013  1169  1550  1694  1439  1740 0.70 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 181at5820            -           2145   2.3e-53  179.1 178.2   3   7   3.5e-06    0.0076   11.6   1.7  1056  1116  1835  1894  1831  1899 0.84 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 181at5820            -           2145   2.3e-53  179.1 178.2   4   7   3.3e-15   7.1e-12   41.5   4.3  1236  1340  1921  2032  1917  2039 0.83 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 181at5820            -           2145   2.3e-53  179.1 178.2   5   7   0.00012      0.27    6.4  17.3  1349  1495  2142  2287  2098  2354 0.62 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 181at5820            -           2145   2.3e-53  179.1 178.2   6   7   5.6e-12   1.2e-08   30.8  31.6  1560  1800  2485  2727  2468  2749 0.78 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 181at5820            -           2145   2.3e-53  179.1 178.2   7   7         3   6.5e+03   -9.9   6.1  2010  2061  3126  3178  3121  3251 0.49 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/181at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/181at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/181at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:52 2026
# [ok]
