#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1334100.1-p1   -            201 12989at5820          -            162   2.1e-94  312.4   7.8   1   2   2.8e-97   2.1e-94  312.4   7.8     1   159     1   163     1   170 0.94 | transcript=PVP01_1334100.1 | gene=PVP01_1334100 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=PvP01_13_v2:1467665-1468515(+) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334100.1-p1   -            201 12989at5820          -            162   2.1e-94  312.4   7.8   2   2     0.029        21    3.6   0.9   147   162   178   194   165   194 0.79 | transcript=PVP01_1334100.1 | gene=PVP01_1334100 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=PvP01_13_v2:1467665-1468515(+) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0514400.1-p1   -             91 12989at5820          -            162   3.9e-07   28.7   0.2   1   1   5.6e-10   4.1e-07   28.6   0.2    23    76    30    86    14    91 0.84 | transcript=PVP01_0514400.1 | gene=PVP01_0514400 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm3, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm3, putative | location=PvP01_05_v2:604006-604844(+) | protein_length=91 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308300.1-p1   -            107 12989at5820          -            162     3e-06   25.8   0.1   1   1     5e-09   3.6e-06   25.5   0.1     7    77    20    90    14    99 0.92 | transcript=PVP01_1308300.1 | gene=PVP01_1308300 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm7, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm7, putative | location=PvP01_13_v2:385227-386003(+) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0512000.1-p1   -             83 12989at5820          -            162   0.00015   20.3   0.8   1   1   4.2e-07   0.00031   19.3   0.8     5    73    12    71     8    80 0.81 | transcript=PVP01_0512000.1 | gene=PVP01_0512000 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein G, putative | transcript_product=small nuclear ribonucleoprotein G, putative | location=PvP01_05_v2:514732-515202(+) | protein_length=83 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0925000.1-p1   -            149 12989at5820          -            162   0.00023   19.7   0.0   1   1     4e-07   0.00029   19.3   0.0    16    78    22    81    11   101 0.81 | transcript=PVP01_0925000.1 | gene=PVP01_0925000 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm1, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm1, putative | location=PvP01_09_v2:1116482-1117289(-) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0505100.1-p1   -             95 12989at5820          -            162   0.00037   19.0   0.1   1   1   6.7e-07   0.00049   18.6   0.1     6    77     5    70     2    87 0.79 | transcript=PVP01_0505100.1 | gene=PVP01_0505100 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm8, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm8, putative | location=PvP01_05_v2:234631-235447(-) | protein_length=95 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0406500.1-p1   -            101 12989at5820          -            162    0.0023   16.4   0.6   1   1   3.8e-06    0.0028   16.2   0.6    17    74    34    94    25    99 0.75 | transcript=PVP01_0406500.1 | gene=PVP01_0406500 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein Sm D2, putative | transcript_product=small nuclear ribonucleoprotein Sm D2, putative | location=PvP01_04_v2:276288-276826(-) | protein_length=101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263700.1-p1   -            101 12989at5820          -            162    0.0041   15.6   0.1   1   1   6.4e-06    0.0046   15.4   0.1    14    85    23    89    15   101 0.74 | transcript=PVP01_1263700.1 | gene=PVP01_1263700 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm5, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm5, putative | location=PvP01_12_v2:2632824-2633500(-) | protein_length=101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0927600.1-p1   -             86 12989at5820          -            162     0.016   13.7   0.0   1   1   3.5e-05     0.025   13.0   0.0    14    73    21    72    11    83 0.71 | transcript=PVP01_0927600.1 | gene=PVP01_0927600 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein F, putative | transcript_product=small nuclear ribonucleoprotein F, putative | location=PvP01_09_v2:1217183-1218081(-) | protein_length=86 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
