#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1221100.1-p1   -           1192 2444at5820           -            765         0 1013.3  77.8   1   8   1.4e-80   4.6e-77  258.6  10.6     1   160    29   199    29   213 0.92 | transcript=PVP01_1221100.1 | gene=PVP01_1221100 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 4, putative | transcript_product=U3 small nucleolar RNA-associated protein 4, putative | location=PvP01_12_v2:841397-844975(+) | protein_length=1192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221100.1-p1   -           1192 2444at5820           -            765         0 1013.3  77.8   2   8   2.7e-17   8.7e-14   49.4   0.5   170   213   321   364   313   371 0.87 | transcript=PVP01_1221100.1 | gene=PVP01_1221100 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 4, putative | transcript_product=U3 small nucleolar RNA-associated protein 4, putative | location=PvP01_12_v2:841397-844975(+) | protein_length=1192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221100.1-p1   -           1192 2444at5820           -            765         0 1013.3  77.8   3   8   1.9e-68   6.1e-65  218.5   4.2   209   328   391   510   387   515 0.98 | transcript=PVP01_1221100.1 | gene=PVP01_1221100 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 4, putative | transcript_product=U3 small nucleolar RNA-associated protein 4, putative | location=PvP01_12_v2:841397-844975(+) | protein_length=1192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221100.1-p1   -           1192 2444at5820           -            765         0 1013.3  77.8   4   8     2e-41   6.4e-38  129.2   1.1   328   421   561   659   556   664 0.94 | transcript=PVP01_1221100.1 | gene=PVP01_1221100 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 4, putative | transcript_product=U3 small nucleolar RNA-associated protein 4, putative | location=PvP01_12_v2:841397-844975(+) | protein_length=1192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221100.1-p1   -           1192 2444at5820           -            765         0 1013.3  77.8   5   8   1.2e-32   3.8e-29  100.1   2.9   421   502   688   771   683   776 0.96 | transcript=PVP01_1221100.1 | gene=PVP01_1221100 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 4, putative | transcript_product=U3 small nucleolar RNA-associated protein 4, putative | location=PvP01_12_v2:841397-844975(+) | protein_length=1192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221100.1-p1   -           1192 2444at5820           -            765         0 1013.3  77.8   6   8   1.5e-45   4.8e-42  142.8   7.6   488   632   812   963   804   965 0.90 | transcript=PVP01_1221100.1 | gene=PVP01_1221100 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 4, putative | transcript_product=U3 small nucleolar RNA-associated protein 4, putative | location=PvP01_12_v2:841397-844975(+) | protein_length=1192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221100.1-p1   -           1192 2444at5820           -            765         0 1013.3  77.8   7   8   5.5e-31   1.8e-27   94.6   0.8   633   713   996  1079   994  1082 0.94 | transcript=PVP01_1221100.1 | gene=PVP01_1221100 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 4, putative | transcript_product=U3 small nucleolar RNA-associated protein 4, putative | location=PvP01_12_v2:841397-844975(+) | protein_length=1192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221100.1-p1   -           1192 2444at5820           -            765         0 1013.3  77.8   8   8   8.6e-20   2.8e-16   57.6   0.4   714   765  1139  1191  1134  1191 0.95 | transcript=PVP01_1221100.1 | gene=PVP01_1221100 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 4, putative | transcript_product=U3 small nucleolar RNA-associated protein 4, putative | location=PvP01_12_v2:841397-844975(+) | protein_length=1192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 2444at5820           -            765      0.03   11.2   0.0   1   1   1.4e-05     0.046   10.6   0.0   228   331   413   518   380   564 0.75 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2444at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2444at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2444at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:03 2026
# [ok]
