#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1323000.1-p1   -            610 4638at5820           -            522         0 1036.3  39.4   1   2  3.5e-172  2.5e-169  562.6  26.4     1   307     1   324     1   335 0.93 | transcript=PVP01_1323000.1 | gene=PVP01_1323000 | organism=Plasmodium_vivax_P01 | gene_product=dynein intermediate chain, putative | transcript_product=dynein intermediate chain, putative | location=PvP01_13_v2:1038070-1039902(+) | protein_length=610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1323000.1-p1   -            610 4638at5820           -            522         0 1036.3  39.4   2   2  4.3e-147  3.1e-144  479.8   5.1   292   522   373   609   369   609 0.97 | transcript=PVP01_1323000.1 | gene=PVP01_1323000 | organism=Plasmodium_vivax_P01 | gene_product=dynein intermediate chain, putative | transcript_product=dynein intermediate chain, putative | location=PvP01_13_v2:1038070-1039902(+) | protein_length=610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 4638at5820           -            522   2.7e-07   27.9   7.9   1   2     0.012       8.9    3.1   0.1   389   463    88   161    78   181 0.81 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 4638at5820           -            522   2.7e-07   27.9   7.9   2   2   7.4e-10   5.3e-07   27.0   3.3   210   292   219   298   210   355 0.87 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207800.1-p1   -            363 4638at5820           -            522   3.5e-05   21.0   3.1   1   2      0.16   1.1e+02   -0.5   0.1   214   249    24    62    16    77 0.75 | transcript=PVP01_1207800.1 | gene=PVP01_1207800 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 92, putative | transcript_product=WD repeat-containing protein 92, putative | location=PvP01_12_v2:317847-320011(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207800.1-p1   -            363 4638at5820           -            522   3.5e-05   21.0   3.1   2   2   6.3e-08   4.6e-05   20.6   0.5   187   245    89   149    57   177 0.59 | transcript=PVP01_1207800.1 | gene=PVP01_1207800 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 92, putative | transcript_product=WD repeat-containing protein 92, putative | location=PvP01_12_v2:317847-320011(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 4638at5820           -            522   6.9e-05   20.0   7.4   1   3   0.00026      0.19    8.7   0.3   223   283    85   143    22   157 0.81 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 4638at5820           -            522   6.9e-05   20.0   7.4   2   3   2.4e-05     0.017   12.1   0.6   209   288   157   235   145   250 0.82 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 4638at5820           -            522   6.9e-05   20.0   7.4   3   3     0.036        26    1.6   0.0   219   241   298   320   266   322 0.84 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 4638at5820           -            522   0.00016   18.8   3.7   1   3     0.072        52    0.6   2.3    74   135    58   124    19   138 0.80 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 4638at5820           -            522   0.00016   18.8   3.7   2   3   2.1e-07   0.00016   18.8   3.7   211   284   291   363   281   387 0.84 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 4638at5820           -            522   0.00016   18.8   3.7   3   3    0.0034       2.5    5.0   0.0   221   283   386   455   377   499 0.77 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605500.1-p1   -            735 4638at5820           -            522   0.00038   17.5   1.8   1   2   2.8e-06     0.002   15.2   0.1   150   242   380   473   352   566 0.77 | transcript=PVP01_0605500.1 | gene=PVP01_0605500 | organism=Plasmodium_vivax_P01 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=PvP01_06_v2:223767-225974(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605500.1-p1   -            735 4638at5820           -            522   0.00038   17.5   1.8   2   2     0.035        25    1.6   0.3   221   319   601   700   595   730 0.59 | transcript=PVP01_0605500.1 | gene=PVP01_0605500 | organism=Plasmodium_vivax_P01 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=PvP01_06_v2:223767-225974(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225200.1-p1   -            533 4638at5820           -            522   0.00045   17.3   2.4   1   3     0.031        22    1.8   0.0   220   243   273   297   270   308 0.78 | transcript=PVP01_1225200.1 | gene=PVP01_1225200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=PvP01_12_v2:980220-981821(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225200.1-p1   -            533 4638at5820           -            522   0.00045   17.3   2.4   2   3   0.00018      0.13    9.2   0.1   216   304   347   440   336   452 0.72 | transcript=PVP01_1225200.1 | gene=PVP01_1225200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=PvP01_12_v2:980220-981821(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225200.1-p1   -            533 4638at5820           -            522   0.00045   17.3   2.4   3   3   4.7e-06    0.0034   14.4   0.4   224   292   402   470   386   523 0.72 | transcript=PVP01_1225200.1 | gene=PVP01_1225200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=PvP01_12_v2:980220-981821(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 4638at5820           -            522   0.00053   17.1   6.0   1   4      0.17   1.3e+02   -0.7   0.0   222   281   176   235   148   241 0.85 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 4638at5820           -            522   0.00053   17.1   6.0   2   4      0.14     1e+02   -0.3   0.1   163   254   294   387   282   397 0.74 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 4638at5820           -            522   0.00053   17.1   6.0   3   4   1.5e-05     0.011   12.7   0.0   222   288   422   486   413   493 0.86 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
