#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0917300.1-p1   -            690 3676at5820           -            548         0 1044.1  33.6   1   3  7.1e-110  2.6e-107  358.2   5.2     9   196    22   212     8   232 0.91 | transcript=PVP01_0917300.1 | gene=PVP01_0917300 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=PvP01_09_v2:769482-771554(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917300.1-p1   -            690 3676at5820           -            548         0 1044.1  33.6   2   3  7.8e-111  2.8e-108  361.4   5.9   187   386   251   477   245   483 0.88 | transcript=PVP01_0917300.1 | gene=PVP01_0917300 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=PvP01_09_v2:769482-771554(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917300.1-p1   -            690 3676at5820           -            548         0 1044.1  33.6   3   3  3.3e-103  1.2e-100  336.2   6.5   390   548   527   690   511   690 0.96 | transcript=PVP01_0917300.1 | gene=PVP01_0917300 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=PvP01_09_v2:769482-771554(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1464900.1-p1   -            621 3676at5820           -            548   1.7e-98  329.1   1.1   1   1  7.6e-101   2.8e-98  328.4   1.1     3   537     9   564     7   570 0.80 | transcript=PVP01_1464900.1 | gene=PVP01_1464900 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 2, putative | transcript_product=dipeptidyl aminopeptidase 2, putative | location=PvP01_14_v2:2775108-2778357(+) | protein_length=621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304100.1-p1   -            762 3676at5820           -            548   4.7e-25   86.7  19.5   1   4      0.48   1.7e+02   -1.0   0.0    11    30    16    35     4    41 0.84 | transcript=PVP01_0304100.1 | gene=PVP01_0304100 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=PvP01_03_v2:220119-222535(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304100.1-p1   -            762 3676at5820           -            548   4.7e-25   86.7  19.5   2   4   1.1e-10   3.9e-08   30.8   1.8   291   372   379   455   367   462 0.82 | transcript=PVP01_0304100.1 | gene=PVP01_0304100 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=PvP01_03_v2:220119-222535(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304100.1-p1   -            762 3676at5820           -            548   4.7e-25   86.7  19.5   3   4   1.1e-11   4.1e-09   34.1   0.7   419   492   621   690   611   710 0.80 | transcript=PVP01_0304100.1 | gene=PVP01_0304100 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=PvP01_03_v2:220119-222535(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304100.1-p1   -            762 3676at5820           -            548   4.7e-25   86.7  19.5   4   4   1.5e-10   5.3e-08   30.4   2.8   486   527   712   753   701   760 0.88 | transcript=PVP01_0304100.1 | gene=PVP01_0304100 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=PvP01_03_v2:220119-222535(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916100.1-p1   -            495 3676at5820           -            548   8.3e-11   39.7   8.4   1   3   6.8e-07   0.00025   18.3   0.1   285   381   274   366   177   380 0.83 | transcript=PVP01_0916100.1 | gene=PVP01_0916100 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-3 | transcript_product=vivapain-3 | location=PvP01_09_v2:726694-728181(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916100.1-p1   -            495 3676at5820           -            548   8.3e-11   39.7   8.4   2   3       1.3   4.6e+02   -2.4   0.0   427   448   395   416   388   420 0.86 | transcript=PVP01_0916100.1 | gene=PVP01_0916100 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-3 | transcript_product=vivapain-3 | location=PvP01_09_v2:726694-728181(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916100.1-p1   -            495 3676at5820           -            548   8.3e-11   39.7   8.4   3   3   1.1e-08   4.2e-06   24.1   2.5   474   514   425   471   419   483 0.81 | transcript=PVP01_0916100.1 | gene=PVP01_0916100 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-3 | transcript_product=vivapain-3 | location=PvP01_09_v2:726694-728181(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
