#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1   1  40  1.4e-113  9.2e-110  365.8  33.3     1   249     1   270     1   274 0.93 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1   2  40   1.6e-97     1e-93  312.5  34.6   245   457   414   637   409   644 0.94 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1   3  40   3.9e-15   2.5e-11   39.0   2.0   464   502   742   780   722   789 0.85 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1   4  40   0.00013      0.83    4.1   0.7   509   540  1015  1047  1011  1058 0.79 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1   5  40     0.018   1.2e+02   -3.0   0.0   538   565  1142  1169  1129  1193 0.77 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1   6  40   9.6e-73   6.2e-69  230.2   0.8   566   714  1252  1400  1214  1408 0.95 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1   7  40     0.002        13    0.1   0.0   707   738  1446  1477  1431  1495 0.71 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1   8  40     2e-08   0.00013   16.7   0.1   714   762  1494  1543  1487  1548 0.89 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1   9  40   1.4e-41   9.2e-38  126.8   5.6   768   869  1640  1745  1636  1764 0.93 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  10  40   4.4e-91   2.9e-87  291.1  13.4   886  1101  1923  2160  1916  2189 0.89 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  11  40   5.3e-20   3.4e-16   55.2   9.2  1094  1175  2349  2453  2303  2462 0.69 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
