#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1249700.1-p1   -            104 14627at5820          -             88   3.3e-59  195.8   0.8   1   1   7.6e-62   3.8e-59  195.6   0.8     1    88    15   103    15   103 0.98 | transcript=PVP01_1249700.1 | gene=PVP01_1249700 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=PvP01_12_v2:2029499-2029947(+) | protein_length=104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506500.1-p1   -            482 14627at5820          -             88   4.8e-18   63.8   3.1   1   3   2.9e-12   1.5e-09   36.6   0.0     1    66    44   113    44   127 0.75 | transcript=PVP01_0506500.1 | gene=PVP01_0506500 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_05_v2:285877-287443(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506500.1-p1   -            482 14627at5820          -             88   4.8e-18   63.8   3.1   2   3      0.49   2.5e+02    0.6   0.2    12    61   175   229   165   234 0.71 | transcript=PVP01_0506500.1 | gene=PVP01_0506500 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_05_v2:285877-287443(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506500.1-p1   -            482 14627at5820          -             88   4.8e-18   63.8   3.1   3   3   1.7e-08   8.7e-06   24.5   0.0     7    43   374   413   368   455 0.72 | transcript=PVP01_0506500.1 | gene=PVP01_0506500 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_05_v2:285877-287443(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724000.1-p1   -            133 14627at5820          -             88   8.4e-14   50.2   0.0   1   1   2.4e-16   1.2e-13   49.7   0.0     4    80    41   118    38   125 0.92 | transcript=PVP01_0724000.1 | gene=PVP01_0724000 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like protein 2, putative | transcript_product=thioredoxin-like protein 2, putative | location=PvP01_07_v2:1027022-1028145(+) | protein_length=133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0714500.1-p1   -            179 14627at5820          -             88   3.2e-11   41.9   0.3   1   1   1.2e-13     6e-11   41.1   0.3     3    87    85   173    83   174 0.83 | transcript=PVP01_0714500.1 | gene=PVP01_0714500 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin 3, putative | transcript_product=thioredoxin 3, putative | location=PvP01_07_v2:663476-664676(+) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1209700.1-p1   -            157 14627at5820          -             88   1.1e-09   37.1   0.1   1   1     3e-12   1.5e-09   36.6   0.1     3    69    69   136    67   156 0.87 | transcript=PVP01_1209700.1 | gene=PVP01_1209700 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=PvP01_12_v2:398246-399338(+) | protein_length=157 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0934900.1-p1   -            424 14627at5820          -             88   9.8e-08   30.8   1.7   1   3   0.00098      0.49    9.3   0.3     2    46    46    91    45   118 0.72 | transcript=PVP01_0934900.1 | gene=PVP01_0934900 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_09_v2:1486738-1488012(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0934900.1-p1   -            424 14627at5820          -             88   9.8e-08   30.8   1.7   2   3   8.6e-07   0.00043   19.1   0.0     4    68   184   251   181   268 0.75 | transcript=PVP01_0934900.1 | gene=PVP01_0934900 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_09_v2:1486738-1488012(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0934900.1-p1   -            424 14627at5820          -             88   9.8e-08   30.8   1.7   3   3       5.9     3e+03   -2.8   0.0    28    47   382   402   376   409 0.58 | transcript=PVP01_0934900.1 | gene=PVP01_0934900 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_09_v2:1486738-1488012(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1244800.1-p1   -            121 14627at5820          -             88   4.4e-05   22.2   1.0   1   1   1.2e-07   5.9e-05   21.9   0.7     5    86    28   113    23   115 0.66 | transcript=PVP01_1244800.1 | gene=PVP01_1244800 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like protein | transcript_product=thioredoxin-like protein | location=PvP01_12_v2:1852999-1853364(+) | protein_length=121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909500.1-p1   -            549 14627at5820          -             88   4.6e-05   22.2   0.6   1   1   2.6e-07   0.00013   20.8   0.6     7    83   203   282   197   287 0.83 | transcript=PVP01_0909500.1 | gene=PVP01_0909500 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=PvP01_09_v2:501995-503644(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202300.1-p1   -            209 14627at5820          -             88   7.6e-05   21.5   0.4   1   1   2.8e-07   0.00014   20.6   0.4     9    69    50   111    43   134 0.88 | transcript=PVP01_1202300.1 | gene=PVP01_1202300 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-related protein, putative | transcript_product=thioredoxin-related protein, putative | location=PvP01_12_v2:97200-98220(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
