#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0939500.1-p1   -            872 4608at5820           -            541         0 1015.2  89.5   1   6  1.6e-135  1.7e-132  441.3  20.5     1   246     1   262     1   286 0.88 | transcript=PVP01_0939500.1 | gene=PVP01_0939500 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=PvP01_09_v2:1702099-1704717(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939500.1-p1   -            872 4608at5820           -            541         0 1015.2  89.5   2   6      0.12   1.3e+02   -0.6   3.5   433   480   288   336   283   347 0.75 | transcript=PVP01_0939500.1 | gene=PVP01_0939500 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=PvP01_09_v2:1702099-1704717(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939500.1-p1   -            872 4608at5820           -            541         0 1015.2  89.5   3   6   0.00028       0.3    8.1   4.8   201   239   355   393   338   411 0.68 | transcript=PVP01_0939500.1 | gene=PVP01_0939500 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=PvP01_09_v2:1702099-1704717(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939500.1-p1   -            872 4608at5820           -            541         0 1015.2  89.5   4   6  5.3e-134  5.8e-131  436.2  16.5   237   470   417   679   391   721 0.85 | transcript=PVP01_0939500.1 | gene=PVP01_0939500 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=PvP01_09_v2:1702099-1704717(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939500.1-p1   -            872 4608at5820           -            541         0 1015.2  89.5   5   6         6   6.5e+03   -6.6   7.4   190   272   686   767   676   795 0.49 | transcript=PVP01_0939500.1 | gene=PVP01_0939500 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=PvP01_09_v2:1702099-1704717(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939500.1-p1   -            872 4608at5820           -            541         0 1015.2  89.5   6   6     1e-47   1.1e-44  151.5  11.8   460   541   791   872   765   872 0.90 | transcript=PVP01_0939500.1 | gene=PVP01_0939500 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=PvP01_09_v2:1702099-1704717(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1252000.1-p1   -            411 4608at5820           -            541   6.7e-22   76.3   0.8   1   2    0.0089       9.7    3.1   0.0    30    81    25    73    15    93 0.82 | transcript=PVP01_1252000.1 | gene=PVP01_1252000 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=PvP01_12_v2:2131654-2134620(+) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1252000.1-p1   -            411 4608at5820           -            541   6.7e-22   76.3   0.8   2   2   2.3e-23   2.5e-20   71.1   0.4   308   446   102   247    92   255 0.83 | transcript=PVP01_1252000.1 | gene=PVP01_1252000 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=PvP01_12_v2:2131654-2134620(+) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0309600.1-p1   -            953 4608at5820           -            541   1.3e-20   72.1   1.0   1   1   2.4e-23   2.6e-20   71.0   1.0   295   449   732   884   697   913 0.87 | transcript=PVP01_0309600.1 | gene=PVP01_0309600 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=PvP01_03_v2:441263-444314(-) | protein_length=953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429800.1-p1   -            303 4608at5820           -            541   2.4e-15   54.7   4.2   1   2    0.0032       3.5    4.6   0.1    33    82    25    78    13    94 0.78 | transcript=PVP01_1429800.1 | gene=PVP01_1429800 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=PvP01_14_v2:1284812-1287310(+) | protein_length=303 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429800.1-p1   -            303 4608at5820           -            541   2.4e-15   54.7   4.2   2   2     3e-17   3.2e-14   50.9   1.2   314   464   127   272   114   296 0.79 | transcript=PVP01_1429800.1 | gene=PVP01_1429800 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=PvP01_14_v2:1284812-1287310(+) | protein_length=303 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
