#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1237200.1-p1   -           2980 165at5820            -           2038         0 3554.5 108.3   1  11   5.3e-24   1.7e-20   70.4   1.6     1    89     1   102     1   117 0.84 | transcript=PVP01_1237200.1 | gene=PVP01_1237200 | organism=Plasmodium_vivax_P01 | gene_product=acetyl-CoA carboxylase, putative | transcript_product=acetyl-CoA carboxylase, putative | location=PvP01_12_v2:1467611-1476905(-) | protein_length=2980 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1237200.1-p1   -           2980 165at5820            -           2038         0 3554.5 108.3   2  11   1.7e-06    0.0055   12.3   0.1    94   121   302   329   256   346 0.89 | transcript=PVP01_1237200.1 | gene=PVP01_1237200 | organism=Plasmodium_vivax_P01 | gene_product=acetyl-CoA carboxylase, putative | transcript_product=acetyl-CoA carboxylase, putative | location=PvP01_12_v2:1467611-1476905(-) | protein_length=2980 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1237200.1-p1   -           2980 165at5820            -           2038         0 3554.5 108.3   3  11  5.4e-275  1.8e-271  902.7   3.0   115   516   407   808   403   812 0.99 | transcript=PVP01_1237200.1 | gene=PVP01_1237200 | organism=Plasmodium_vivax_P01 | gene_product=acetyl-CoA carboxylase, putative | transcript_product=acetyl-CoA carboxylase, putative | location=PvP01_12_v2:1467611-1476905(-) | protein_length=2980 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1237200.1-p1   -           2980 165at5820            -           2038         0 3554.5 108.3   4  11  8.3e-218  2.7e-214  713.1  12.8   514   871   852  1229   848  1241 0.95 | transcript=PVP01_1237200.1 | gene=PVP01_1237200 | organism=Plasmodium_vivax_P01 | gene_product=acetyl-CoA carboxylase, putative | transcript_product=acetyl-CoA carboxylase, putative | location=PvP01_12_v2:1467611-1476905(-) | protein_length=2980 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1237200.1-p1   -           2980 165at5820            -           2038         0 3554.5 108.3   5  11   2.2e-17   7.1e-14   48.4   0.4   867   935  1316  1393  1301  1405 0.76 | transcript=PVP01_1237200.1 | gene=PVP01_1237200 | organism=Plasmodium_vivax_P01 | gene_product=acetyl-CoA carboxylase, putative | transcript_product=acetyl-CoA carboxylase, putative | location=PvP01_12_v2:1467611-1476905(-) | protein_length=2980 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1237200.1-p1   -           2980 165at5820            -           2038         0 3554.5 108.3   6  11     0.031     1e+02   -1.8   0.2   917   941  1463  1487  1452  1492 0.83 | transcript=PVP01_1237200.1 | gene=PVP01_1237200 | organism=Plasmodium_vivax_P01 | gene_product=acetyl-CoA carboxylase, putative | transcript_product=acetyl-CoA carboxylase, putative | location=PvP01_12_v2:1467611-1476905(-) | protein_length=2980 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1237200.1-p1   -           2980 165at5820            -           2038         0 3554.5 108.3   7  11     1e-59   3.3e-56  188.8   9.0   939  1094  1566  1743  1558  1758 0.84 | transcript=PVP01_1237200.1 | gene=PVP01_1237200 | organism=Plasmodium_vivax_P01 | gene_product=acetyl-CoA carboxylase, putative | transcript_product=acetyl-CoA carboxylase, putative | location=PvP01_12_v2:1467611-1476905(-) | protein_length=2980 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1237200.1-p1   -           2980 165at5820            -           2038         0 3554.5 108.3   8  11   3.1e-39     1e-35  120.9   6.7  1082  1243  1776  2010  1771  2013 0.78 | transcript=PVP01_1237200.1 | gene=PVP01_1237200 | organism=Plasmodium_vivax_P01 | gene_product=acetyl-CoA carboxylase, putative | transcript_product=acetyl-CoA carboxylase, putative | location=PvP01_12_v2:1467611-1476905(-) | protein_length=2980 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1237200.1-p1   -           2980 165at5820            -           2038         0 3554.5 108.3   9  11     1e-56   3.3e-53  178.8   0.1  1236  1379  2028  2201  2017  2211 0.87 | transcript=PVP01_1237200.1 | gene=PVP01_1237200 | organism=Plasmodium_vivax_P01 | gene_product=acetyl-CoA carboxylase, putative | transcript_product=acetyl-CoA carboxylase, putative | location=PvP01_12_v2:1467611-1476905(-) | protein_length=2980 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1237200.1-p1   -           2980 165at5820            -           2038         0 3554.5 108.3  10  11  8.2e-186  2.7e-182  607.0  13.0  1378  1665  2266  2553  2262  2570 0.98 | transcript=PVP01_1237200.1 | gene=PVP01_1237200 | organism=Plasmodium_vivax_P01 | gene_product=acetyl-CoA carboxylase, putative | transcript_product=acetyl-CoA carboxylase, putative | location=PvP01_12_v2:1467611-1476905(-) | protein_length=2980 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1237200.1-p1   -           2980 165at5820            -           2038         0 3554.5 108.3  11  11  8.9e-230  2.9e-226  752.8   0.0  1662  2037  2596  2980  2589  2980 0.97 | transcript=PVP01_1237200.1 | gene=PVP01_1237200 | organism=Plasmodium_vivax_P01 | gene_product=acetyl-CoA carboxylase, putative | transcript_product=acetyl-CoA carboxylase, putative | location=PvP01_12_v2:1467611-1476905(-) | protein_length=2980 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606000.1-p1   -            630 165at5820            -           2038   1.9e-05   20.5   0.3   1   3   5.8e-09   1.9e-05   20.5   0.3   778   851    58   132    35   139 0.84 | transcript=PVP01_0606000.1 | gene=PVP01_0606000 | organism=Plasmodium_vivax_P01 | gene_product=dihydrolipoamide acyltransferase component E2, putative | transcript_product=dihydrolipoamide acyltransferase component E2, putative | location=PvP01_06_v2:240670-244018(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606000.1-p1   -            630 165at5820            -           2038   1.9e-05   20.5   0.3   2   3     0.089   2.9e+02   -3.3   0.0   778   830   191   243   187   259 0.81 | transcript=PVP01_0606000.1 | gene=PVP01_0606000 | organism=Plasmodium_vivax_P01 | gene_product=dihydrolipoamide acyltransferase component E2, putative | transcript_product=dihydrolipoamide acyltransferase component E2, putative | location=PvP01_06_v2:240670-244018(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606000.1-p1   -            630 165at5820            -           2038   1.9e-05   20.5   0.3   3   3     0.032   1.1e+02   -1.9   0.3  1256  1332   379   458   365   482 0.66 | transcript=PVP01_0606000.1 | gene=PVP01_0606000 | organism=Plasmodium_vivax_P01 | gene_product=dihydrolipoamide acyltransferase component E2, putative | transcript_product=dihydrolipoamide acyltransferase component E2, putative | location=PvP01_06_v2:240670-244018(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/165at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/165at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/165at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:56 2026
# [ok]
