#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1012600.1-p1   -           1380 2856at5820           -            701         0 1049.0 129.5   1   7     0.038   1.2e+02   -0.6   3.9     2    24     7    29     5    40 0.76 | transcript=PVP01_1012600.1 | gene=PVP01_1012600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:569944-574411(+) | protein_length=1380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1012600.1-p1   -           1380 2856at5820           -            701         0 1049.0 129.5   2   7   1.7e-11   5.7e-08   30.2   1.7    18    75   146   216   118   244 0.76 | transcript=PVP01_1012600.1 | gene=PVP01_1012600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:569944-574411(+) | protein_length=1380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1012600.1-p1   -           1380 2856at5820           -            701         0 1049.0 129.5   3   7   4.3e-31   1.4e-27   95.0   7.1    71   146   288   373   275   378 0.82 | transcript=PVP01_1012600.1 | gene=PVP01_1012600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:569944-574411(+) | protein_length=1380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1012600.1-p1   -           1380 2856at5820           -            701         0 1049.0 129.5   4   7   9.7e-63   3.1e-59  199.6   8.8   143   252   436   546   420   549 0.94 | transcript=PVP01_1012600.1 | gene=PVP01_1012600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:569944-574411(+) | protein_length=1380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1012600.1-p1   -           1380 2856at5820           -            701         0 1049.0 129.5   5   7   2.6e-26   8.5e-23   79.2   0.0   251   299   580   628   572   632 0.94 | transcript=PVP01_1012600.1 | gene=PVP01_1012600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:569944-574411(+) | protein_length=1380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1012600.1-p1   -           1380 2856at5820           -            701         0 1049.0 129.5   6   7   1.9e-80   6.2e-77  258.2  28.5   300   449   738   892   730   907 0.92 | transcript=PVP01_1012600.1 | gene=PVP01_1012600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:569944-574411(+) | protein_length=1380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1012600.1-p1   -           1380 2856at5820           -            701         0 1049.0 129.5   7   7  5.6e-129  1.8e-125  418.6  37.6   445   701  1122  1380  1116  1380 0.96 | transcript=PVP01_1012600.1 | gene=PVP01_1012600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:569944-574411(+) | protein_length=1380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0318000.1-p1   -            895 2856at5820           -            701         5    4.0  17.0   1   3      0.28   9.2e+02   -3.5   0.9   421   433   351   363   339   382 0.51 | transcript=PVP01_0318000.1 | gene=PVP01_0318000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin C-terminal hydrolase, putative | transcript_product=ubiquitin C-terminal hydrolase, putative | location=PvP01_03_v2:764255-766942(-) | protein_length=895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0318000.1-p1   -            895 2856at5820           -            701         5    4.0  17.0   2   3   0.00053       1.7    5.5   2.2   380   434   602   656   600   670 0.77 | transcript=PVP01_0318000.1 | gene=PVP01_0318000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin C-terminal hydrolase, putative | transcript_product=ubiquitin C-terminal hydrolase, putative | location=PvP01_03_v2:764255-766942(-) | protein_length=895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0318000.1-p1   -            895 2856at5820           -            701         5    4.0  17.0   3   3     4e-05      0.13    9.2   0.7   541   631   754   844   746   887 0.86 | transcript=PVP01_0318000.1 | gene=PVP01_0318000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin C-terminal hydrolase, putative | transcript_product=ubiquitin C-terminal hydrolase, putative | location=PvP01_03_v2:764255-766942(-) | protein_length=895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2856at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2856at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2856at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:12 2026
# [ok]
