#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1225500.1-p1   -           1939 558at5820            -           1598         0 3215.5  78.5   1   6  1.8e-274  2.9e-271  901.8  12.5     3   427    29   466    27   471 0.96 | transcript=PVP01_1225500.1 | gene=PVP01_1225500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=PvP01_12_v2:993551-999931(+) | protein_length=1939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225500.1-p1   -           1939 558at5820            -           1598         0 3215.5  78.5   2   6         0         0 1188.2  13.3   427   940   502  1015   499  1017 1.00 | transcript=PVP01_1225500.1 | gene=PVP01_1225500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=PvP01_12_v2:993551-999931(+) | protein_length=1939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225500.1-p1   -           1939 558at5820            -           1598         0 3215.5  78.5   3   6    0.0032       5.2    2.7   0.0   951   970  1080  1099  1051  1104 0.71 | transcript=PVP01_1225500.1 | gene=PVP01_1225500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=PvP01_12_v2:993551-999931(+) | protein_length=1939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225500.1-p1   -           1939 558at5820            -           1598         0 3215.5  78.5   4   6   2.6e-23   4.3e-20   69.2   0.8   968  1036  1151  1227  1139  1231 0.87 | transcript=PVP01_1225500.1 | gene=PVP01_1225500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=PvP01_12_v2:993551-999931(+) | protein_length=1939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225500.1-p1   -           1939 558at5820            -           1598         0 3215.5  78.5   5   6    2e-213  3.3e-210  699.4  14.5  1039  1394  1285  1647  1268  1652 0.96 | transcript=PVP01_1225500.1 | gene=PVP01_1225500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=PvP01_12_v2:993551-999931(+) | protein_length=1939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225500.1-p1   -           1939 558at5820            -           1598         0 3215.5  78.5   6   6  8.4e-116  1.4e-112  375.8   7.0  1391  1598  1713  1937  1695  1937 0.92 | transcript=PVP01_1225500.1 | gene=PVP01_1225500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=PvP01_12_v2:993551-999931(+) | protein_length=1939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821900.1-p1   -           2387 558at5820            -           1598  2.3e-233  776.1  32.9   1   5   1.1e-21   1.8e-18   63.9   6.1    30   146    16   132     9   194 0.83 | transcript=PVP01_0821900.1 | gene=PVP01_0821900 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=PvP01_08_v2:968777-975940(-) | protein_length=2387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821900.1-p1   -           2387 558at5820            -           1598  2.3e-233  776.1  32.9   2   5   4.9e-93     8e-90  300.4   0.0   238   604   267   619   234   626 0.92 | transcript=PVP01_0821900.1 | gene=PVP01_0821900 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=PvP01_08_v2:968777-975940(-) | protein_length=2387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821900.1-p1   -           2387 558at5820            -           1598  2.3e-233  776.1  32.9   3   5   2.2e-77   3.5e-74  248.5   3.0   620   914   715  1008   704  1023 0.95 | transcript=PVP01_0821900.1 | gene=PVP01_0821900 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=PvP01_08_v2:968777-975940(-) | protein_length=2387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821900.1-p1   -           2387 558at5820            -           1598  2.3e-233  776.1  32.9   4   5   4.5e-28   7.3e-25   85.0   0.1  1186  1289  1326  1432  1267  1488 0.86 | transcript=PVP01_0821900.1 | gene=PVP01_0821900 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=PvP01_08_v2:968777-975940(-) | protein_length=2387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821900.1-p1   -           2387 558at5820            -           1598  2.3e-233  776.1  32.9   5   5   3.7e-30     6e-27   92.0   2.8  1395  1585  1778  1967  1759  1980 0.88 | transcript=PVP01_0821900.1 | gene=PVP01_0821900 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=PvP01_08_v2:968777-975940(-) | protein_length=2387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
