#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0713100.1-p1   -            484 7103at5820           -            414  9.9e-224  741.5  47.0   1   1  2.6e-225  3.3e-222  736.5  47.0     1   414     7   480     7   480 0.93 | transcript=PVP01_0713100.1 | gene=PVP01_0713100 | organism=Plasmodium_vivax_P01 | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=PvP01_07_v2:615966-617420(+) | protein_length=484 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0209900.1-p1   -            571 7103at5820           -            414   1.5e-16   59.2  38.1   1   2   1.4e-18   1.8e-15   55.5   8.8    12   210    34   235    28   242 0.84 | transcript=PVP01_0209900.1 | gene=PVP01_0209900 | organism=Plasmodium_vivax_P01 | gene_product=novel putative transporter 1, putative | transcript_product=novel putative transporter 1, putative | location=PvP01_02_v2:400759-402474(-) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0209900.1-p1   -            571 7103at5820           -            414   1.5e-16   59.2  38.1   2   2   5.1e-05     0.067   10.9  19.4   250   362   379   499   335   516 0.70 | transcript=PVP01_0209900.1 | gene=PVP01_0209900 | organism=Plasmodium_vivax_P01 | gene_product=novel putative transporter 1, putative | transcript_product=novel putative transporter 1, putative | location=PvP01_02_v2:400759-402474(-) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0210000.1-p1   -            638 7103at5820           -            414   3.9e-14   51.2  37.4   1   2   4.5e-14   5.9e-11   40.7  10.3    25   212    43   241    19   266 0.73 | transcript=PVP01_0210000.1 | gene=PVP01_0210000 | organism=Plasmodium_vivax_P01 | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=PvP01_02_v2:403939-405855(-) | protein_length=638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0210000.1-p1   -            638 7103at5820           -            414   3.9e-14   51.2  37.4   2   2   1.2e-06    0.0016   16.2  19.1   265   374   477   593   455   621 0.68 | transcript=PVP01_0210000.1 | gene=PVP01_0210000 | organism=Plasmodium_vivax_P01 | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=PvP01_02_v2:403939-405855(-) | protein_length=638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930500.1-p1   -            571 7103at5820           -            414   6.4e-11   40.6  12.6   1   2   4.9e-14   6.4e-11   40.6  12.6     5   210    67   283    62   291 0.83 | transcript=PVP01_0930500.1 | gene=PVP01_0930500 | organism=Plasmodium_vivax_P01 | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=PvP01_09_v2:1325895-1327610(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930500.1-p1   -            571 7103at5820           -            414   6.4e-11   40.6  12.6   2   2       3.5   4.5e+03   -5.1  19.1   270   374   407   518   377   554 0.70 | transcript=PVP01_0930500.1 | gene=PVP01_0930500 | organism=Plasmodium_vivax_P01 | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=PvP01_09_v2:1325895-1327610(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0827700.1-p1   -            541 7103at5820           -            414      0.54    7.9  42.6   1   4      0.35   4.5e+02   -1.8   1.2    23    99    15    91     8   119 0.56 | transcript=PVP01_0827700.1 | gene=PVP01_0827700 | organism=Plasmodium_vivax_P01 | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=PvP01_08_v2:1201783-1203408(-) | protein_length=541 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0827700.1-p1   -            541 7103at5820           -            414      0.54    7.9  42.6   2   4      0.17   2.2e+02   -0.8   0.0   115   139   160   184   151   195 0.77 | transcript=PVP01_0827700.1 | gene=PVP01_0827700 | organism=Plasmodium_vivax_P01 | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=PvP01_08_v2:1201783-1203408(-) | protein_length=541 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0827700.1-p1   -            541 7103at5820           -            414      0.54    7.9  42.6   3   4     0.019        25    2.4   0.0   163   205   233   277   210   304 0.66 | transcript=PVP01_0827700.1 | gene=PVP01_0827700 | organism=Plasmodium_vivax_P01 | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=PvP01_08_v2:1201783-1203408(-) | protein_length=541 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0827700.1-p1   -            541 7103at5820           -            414      0.54    7.9  42.6   4   4   1.1e-05     0.015   13.0  29.2   230   376   329   488   320   519 0.72 | transcript=PVP01_0827700.1 | gene=PVP01_0827700 | organism=Plasmodium_vivax_P01 | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=PvP01_08_v2:1201783-1203408(-) | protein_length=541 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7103at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7103at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7103at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:57 2026
# [ok]
