#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1310500.1-p1   -           1321 1998at5820           -            769         0 1454.4  66.2   1   5   1.8e-54   1.4e-51  173.9   7.9     1   104     1   104     1   111 0.93 | transcript=PVP01_1310500.1 | gene=PVP01_1310500 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=PvP01_13_v2:482705-487343(-) | protein_length=1321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310500.1-p1   -           1321 1998at5820           -            769         0 1454.4  66.2   2   5  1.1e-135  9.2e-133  442.4  18.6    99   346   221   479   217   482 0.95 | transcript=PVP01_1310500.1 | gene=PVP01_1310500 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=PvP01_13_v2:482705-487343(-) | protein_length=1321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310500.1-p1   -           1321 1998at5820           -            769         0 1454.4  66.2   3   5      0.64   5.2e+02   -3.2   0.1   337   351   667   681   665   684 0.78 | transcript=PVP01_1310500.1 | gene=PVP01_1310500 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=PvP01_13_v2:482705-487343(-) | protein_length=1321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310500.1-p1   -           1321 1998at5820           -            769         0 1454.4  66.2   4   5  4.5e-152  3.6e-149  496.7  10.2   350   580   793  1026   786  1034 0.97 | transcript=PVP01_1310500.1 | gene=PVP01_1310500 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=PvP01_13_v2:482705-487343(-) | protein_length=1321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310500.1-p1   -           1321 1998at5820           -            769         0 1454.4  66.2   5   5  1.3e-111  1.1e-108  362.8   2.1   577   769  1124  1321  1108  1321 0.96 | transcript=PVP01_1310500.1 | gene=PVP01_1310500 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=PvP01_13_v2:482705-487343(-) | protein_length=1321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116800.1-p1   -            944 1998at5820           -            769   1.2e-74  250.2   7.4   1   1   1.5e-76   1.2e-73  247.0   7.3   134   691   207   775   184   831 0.83 | transcript=PVP01_1116800.1 | gene=PVP01_1116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=PvP01_11_v2:720577-723411(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1418000.1-p1   -            955 1998at5820           -            769   2.2e-70  236.2  22.6   1   3      0.21   1.7e+02   -1.6   0.2   106   160   175   231   135   248 0.56 | transcript=PVP01_1418000.1 | gene=PVP01_1418000 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=PvP01_14_v2:783485-786352(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1418000.1-p1   -            955 1998at5820           -            769   2.2e-70  236.2  22.6   2   3   9.3e-61   7.6e-58  194.7  14.3   120   573   238   698   192   706 0.80 | transcript=PVP01_1418000.1 | gene=PVP01_1418000 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=PvP01_14_v2:783485-786352(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1418000.1-p1   -            955 1998at5820           -            769   2.2e-70  236.2  22.6   3   3   7.1e-16   5.8e-13   46.3   0.4   570   681   754   862   741   927 0.77 | transcript=PVP01_1418000.1 | gene=PVP01_1418000 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=PvP01_14_v2:783485-786352(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310900.1-p1   -            758 1998at5820           -            769     2e-63  213.2   0.9   1   2      0.45   3.7e+02   -2.7   0.0   156   216   174   236   165   243 0.78 | transcript=PVP01_1310900.1 | gene=PVP01_1310900 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=PvP01_13_v2:508554-511294(+) | protein_length=758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310900.1-p1   -            758 1998at5820           -            769     2e-63  213.2   0.9   2   2     5e-66   4.1e-63  212.1   0.4   383   674   383   674   356   704 0.88 | transcript=PVP01_1310900.1 | gene=PVP01_1310900 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=PvP01_13_v2:508554-511294(+) | protein_length=758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331100.1-p1   -            972 1998at5820           -            769     6e-63  211.6   6.8   1   2   2.1e-07   0.00017   18.3   0.8    95   273   254   435   200   445 0.76 | transcript=PVP01_1331100.1 | gene=PVP01_1331100 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=PvP01_13_v2:1303469-1306564(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331100.1-p1   -            972 1998at5820           -            769     6e-63  211.6   6.8   2   2   6.9e-61   5.6e-58  195.1   0.7   406   745   551   914   536   930 0.75 | transcript=PVP01_1331100.1 | gene=PVP01_1331100 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=PvP01_13_v2:1303469-1306564(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105600.1-p1   -            832 1998at5820           -            769     3e-58  196.0   5.3   1   2    0.0018       1.5    5.2   0.3   111   229   173   298   163   389 0.74 | transcript=PVP01_0105600.1 | gene=PVP01_0105600 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=PvP01_01_v2:296834-299332(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105600.1-p1   -            832 1998at5820           -            769     3e-58  196.0   5.3   2   2   6.1e-60     5e-57  192.0   1.9   352   674   377   714   345   755 0.81 | transcript=PVP01_0105600.1 | gene=PVP01_0105600 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=PvP01_01_v2:296834-299332(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006800.1-p1   -            971 1998at5820           -            769   8.5e-52  174.7   0.3   1   3      0.27   2.2e+02   -2.0   0.0   150   184   199   233   195   239 0.83 | transcript=PVP01_1006800.1 | gene=PVP01_1006800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=PvP01_10_v2:298381-301416(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006800.1-p1   -            971 1998at5820           -            769   8.5e-52  174.7   0.3   2   3   1.1e-48   9.2e-46  154.7   0.0   362   582   389   608   355   620 0.91 | transcript=PVP01_1006800.1 | gene=PVP01_1006800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=PvP01_10_v2:298381-301416(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006800.1-p1   -            971 1998at5820           -            769   8.5e-52  174.7   0.3   3   3   5.2e-07   0.00042   17.0   0.0   605   666   709   772   703   795 0.84 | transcript=PVP01_1006800.1 | gene=PVP01_1006800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=PvP01_10_v2:298381-301416(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525700.1-p1   -           1314 1998at5820           -            769     1e-31  108.3  11.9   1   6      0.72   5.8e+02   -3.3   2.1     4    30    43    69    10   150 0.57 | transcript=PVP01_0525700.1 | gene=PVP01_0525700 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=PvP01_05_v2:1039092-1043036(-) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525700.1-p1   -           1314 1998at5820           -            769     1e-31  108.3  11.9   2   6    0.0067       5.5    3.4   2.7   142   196   332   386   293   405 0.81 | transcript=PVP01_0525700.1 | gene=PVP01_0525700 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=PvP01_05_v2:1039092-1043036(-) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525700.1-p1   -           1314 1998at5820           -            769     1e-31  108.3  11.9   3   6     0.055        45    0.3   0.1   201   233   494   525   486   555 0.81 | transcript=PVP01_0525700.1 | gene=PVP01_0525700 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=PvP01_05_v2:1039092-1043036(-) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525700.1-p1   -           1314 1998at5820           -            769     1e-31  108.3  11.9   4   6     0.059        48    0.2   0.0   369   399   725   757   706   775 0.78 | transcript=PVP01_0525700.1 | gene=PVP01_0525700 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=PvP01_05_v2:1039092-1043036(-) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525700.1-p1   -           1314 1998at5820           -            769     1e-31  108.3  11.9   5   6   2.9e-34   2.3e-31  107.1   8.6   403   576   874  1048   867  1054 0.85 | transcript=PVP01_0525700.1 | gene=PVP01_0525700 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=PvP01_05_v2:1039092-1043036(-) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525700.1-p1   -           1314 1998at5820           -            769     1e-31  108.3  11.9   6   6   1.8e-05     0.015   11.9   0.1   591   664  1155  1224  1140  1246 0.83 | transcript=PVP01_0525700.1 | gene=PVP01_0525700 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=PvP01_05_v2:1039092-1043036(-) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1998at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1998at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1998at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:43 2026
# [ok]
