#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0907600.1-p1   -           1342 2411at5820           -            715         0 1068.4  45.6   1   7   1.9e-42   6.6e-40  135.6   0.7     1   101     1   107     1   121 0.93 | transcript=PVP01_0907600.1 | gene=PVP01_0907600 | organism=Plasmodium_vivax_P01 | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=PvP01_09_v2:403264-408228(+) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907600.1-p1   -           1342 2411at5820           -            715         0 1068.4  45.6   2   7   3.2e-58   1.1e-55  187.8   4.1   112   222   273   383   259   412 0.93 | transcript=PVP01_0907600.1 | gene=PVP01_0907600 | organism=Plasmodium_vivax_P01 | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=PvP01_09_v2:403264-408228(+) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907600.1-p1   -           1342 2411at5820           -            715         0 1068.4  45.6   3   7     0.073        25    1.4   0.4   212   239   550   577   541   596 0.56 | transcript=PVP01_0907600.1 | gene=PVP01_0907600 | organism=Plasmodium_vivax_P01 | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=PvP01_09_v2:403264-408228(+) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907600.1-p1   -           1342 2411at5820           -            715         0 1068.4  45.6   4   7   6.5e-32   2.2e-29  100.8   1.8   235   321   665   754   644   767 0.82 | transcript=PVP01_0907600.1 | gene=PVP01_0907600 | organism=Plasmodium_vivax_P01 | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=PvP01_09_v2:403264-408228(+) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907600.1-p1   -           1342 2411at5820           -            715         0 1068.4  45.6   5   7   6.5e-51   2.2e-48  163.6   0.5   320   412   793   885   787   892 0.95 | transcript=PVP01_0907600.1 | gene=PVP01_0907600 | organism=Plasmodium_vivax_P01 | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=PvP01_09_v2:403264-408228(+) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907600.1-p1   -           1342 2411at5820           -            715         0 1068.4  45.6   6   7       2.7   9.3e+02   -3.7   0.1   415   428   952   965   945   968 0.79 | transcript=PVP01_0907600.1 | gene=PVP01_0907600 | organism=Plasmodium_vivax_P01 | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=PvP01_09_v2:403264-408228(+) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907600.1-p1   -           1342 2411at5820           -            715         0 1068.4  45.6   7   7    1e-154  3.5e-152  506.7   1.1   429   715  1037  1342  1013  1342 0.94 | transcript=PVP01_0907600.1 | gene=PVP01_0907600 | organism=Plasmodium_vivax_P01 | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=PvP01_09_v2:403264-408228(+) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 2411at5820           -            715   2.5e-22   77.5  30.5   1   6      0.01       3.5    4.3   2.2    13    53    15    54     1    62 0.80 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 2411at5820           -            715   2.5e-22   77.5  30.5   2   6    0.0029      0.99    6.1   2.5    10    61    65   116    60   133 0.82 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 2411at5820           -            715   2.5e-22   77.5  30.5   3   6     0.028       9.6    2.8   0.5   111   169   648   707   640   758 0.77 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 2411at5820           -            715   2.5e-22   77.5  30.5   4   6    0.0068       2.3    4.8   1.5   297   404   751   860   748   862 0.78 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 2411at5820           -            715   2.5e-22   77.5  30.5   5   6   8.3e-05     0.029   11.2   0.2   461   529   839   911   833   915 0.81 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 2411at5820           -            715   2.5e-22   77.5  30.5   6   6   1.1e-21   3.8e-19   67.0   0.0   603   686   928  1012   924  1021 0.90 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1205500.1-p1   -           1714 2411at5820           -            715   5.2e-12   43.4  18.3   1   4     0.014       4.6    3.9   1.4     6    64   459   516   455   576 0.62 | transcript=PVP01_1205500.1 | gene=PVP01_1205500 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_12_v2:211272-216416(-) | protein_length=1714 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1205500.1-p1   -           1714 2411at5820           -            715   5.2e-12   43.4  18.3   2   4      0.28        96   -0.5   0.0   327   351  1290  1314  1271  1317 0.87 | transcript=PVP01_1205500.1 | gene=PVP01_1205500 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_12_v2:211272-216416(-) | protein_length=1714 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1205500.1-p1   -           1714 2411at5820           -            715   5.2e-12   43.4  18.3   3   4   0.00013     0.043   10.6   0.1   475   529  1528  1585  1515  1600 0.81 | transcript=PVP01_1205500.1 | gene=PVP01_1205500 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_12_v2:211272-216416(-) | protein_length=1714 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1205500.1-p1   -           1714 2411at5820           -            715   5.2e-12   43.4  18.3   4   4   5.2e-13   1.8e-10   38.3   0.0   601   714  1602  1714  1589  1714 0.90 | transcript=PVP01_1205500.1 | gene=PVP01_1205500 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_12_v2:211272-216416(-) | protein_length=1714 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1252700.1-p1   -            861 2411at5820           -            715   2.2e-11   41.3   9.9   1   3      0.14        49    0.5   2.0    55    89   511   546   482   563 0.77 | transcript=PVP01_1252700.1 | gene=PVP01_1252700 | organism=Plasmodium_vivax_P01 | gene_product=SNF1-related serine/threonine protein kinase KIN, putative | transcript_product=SNF1-related serine/threonine protein kinase KIN, putative | location=PvP01_12_v2:2152503-2155088(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
