#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1220700.1-p1   -            456 9816at5820           -            332  2.9e-155  515.1  74.0   1   3  5.7e-140  4.2e-137  455.4  59.8     1   268     1   291     1   294 0.93 | transcript=PVP01_1220700.1 | gene=PVP01_1220700 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_12_v2:828721-830091(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220700.1-p1   -            456 9816at5820           -            332  2.9e-155  515.1  74.0   2   3   2.4e-18   1.8e-15   55.6   1.0   265   317   332   389   327   400 0.82 | transcript=PVP01_1220700.1 | gene=PVP01_1220700 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_12_v2:828721-830091(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220700.1-p1   -            456 9816at5820           -            332  2.9e-155  515.1  74.0   3   3    0.0004      0.29    8.9   0.4   308   332   431   455   423   455 0.78 | transcript=PVP01_1220700.1 | gene=PVP01_1220700 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_12_v2:828721-830091(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326500.1-p1   -            520 9816at5820           -            332   6.4e-07   27.5   2.9   1   1   1.7e-09   1.2e-06   26.5   2.9     5    52   296   342   292   385 0.79 | transcript=PVP01_1326500.1 | gene=PVP01_1326500 | organism=Plasmodium_vivax_P01 | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=PvP01_13_v2:1148914-1151234(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828100.1-p1   -            736 9816at5820           -            332     3e-06   25.3   4.6   1   1   7.7e-09   5.5e-06   24.4   4.6     4    48   684   730   682   734 0.87 | transcript=PVP01_0828100.1 | gene=PVP01_0828100 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=PvP01_08_v2:1215633-1217843(-) | protein_length=736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804000.1-p1   -           1169 9816at5820           -            332   0.00027   18.8   3.1   1   1   6.4e-07   0.00046   18.1   3.1     6    47   360   406   356   431 0.86 | transcript=PVP01_0804000.1 | gene=PVP01_0804000 | organism=Plasmodium_vivax_P01 | gene_product=RING finger E3 ubiquitin-protein ligase, putative | transcript_product=RING finger E3 ubiquitin-protein ligase, putative | location=PvP01_08_v2:197452-200961(-) | protein_length=1169 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004000.1-p1   -            284 9816at5820           -            332   0.00063   17.6   4.6   1   1   1.4e-06   0.00099   17.0   4.6     7    53   236   283   232   284 0.79 | transcript=PVP01_1004000.1 | gene=PVP01_1004000 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_10_v2:199642-200977(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0613300.1-p1   -            272 9816at5820           -            332    0.0099   13.7   4.2   1   1   1.9e-05     0.014   13.2   4.2     6    50   217   263   212   271 0.87 | transcript=PVP01_0613300.1 | gene=PVP01_0613300 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_06_v2:571562-572380(-) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821100.1-p1   -            108 9816at5820           -            332     0.022   12.6   0.8   1   2         1   7.6e+02   -2.4   2.8     5    22    31    47    27    68 0.79 | transcript=PVP01_0821100.1 | gene=PVP01_0821100 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=PvP01_08_v2:923353-923679(+) | protein_length=108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821100.1-p1   -            108 9816at5820           -            332     0.022   12.6   0.8   2   2     3e-05     0.022   12.6   0.8    23    46    74    97    62   102 0.88 | transcript=PVP01_0821100.1 | gene=PVP01_0821100 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=PvP01_08_v2:923353-923679(+) | protein_length=108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125000.1-p1   -             89 9816at5820           -            332      0.15    9.8  11.6   1   2      0.47   3.4e+02   -1.2   0.4    34    50    15    33     7    39 0.65 | transcript=PVP01_1125000.1 | gene=PVP01_1125000 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 11, putative | transcript_product=anaphase-promoting complex subunit 11, putative | location=PvP01_11_v2:1096658-1096927(-) | protein_length=89 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
