#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0832000.1-p1   -            540 5106at5820           -            489         0 1028.7  15.5   1   1         0         0 1028.5  15.5     1   489     1   527     1   527 0.97 | transcript=PVP01_0832000.1 | gene=PVP01_0832000 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit eta, putative | transcript_product=T-complex protein 1 subunit eta, putative | location=PvP01_08_v2:1369899-1371678(+) | protein_length=540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0933000.1-p1   -            543 5106at5820           -            489   8.7e-80  267.4   9.8   1   1   3.4e-82   2.4e-79  265.9   9.8    18   487    12   532     1   534 0.86 | transcript=PVP01_0933000.1 | gene=PVP01_0933000 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit alpha, putative | transcript_product=T-complex protein 1 subunit alpha, putative | location=PvP01_09_v2:1413429-1415302(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1447600.1-p1   -            544 5106at5820           -            489   1.2e-74  250.4  15.8   1   1   3.1e-77   2.2e-74  249.6  15.8    17   486    19   526     7   528 0.88 | transcript=PVP01_1447600.1 | gene=PVP01_1447600 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit gamma, putative | transcript_product=T-complex protein 1 subunit gamma, putative | location=PvP01_14_v2:2070243-2072059(+) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819900.1-p1   -            535 5106at5820           -            489   4.4e-74  248.6  19.1   1   1   7.9e-77   5.7e-74  248.2  19.1     8   486    11   529     7   532 0.87 | transcript=PVP01_0819900.1 | gene=PVP01_0819900 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit epsilon, putative | transcript_product=T-complex protein 1 subunit epsilon, putative | location=PvP01_08_v2:879599-881206(-) | protein_length=535 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0833400.1-p1   -            532 5106at5820           -            489   3.3e-70  235.8  12.2   1   1     6e-73   4.3e-70  235.4  12.2    10   487     8   523     2   525 0.83 | transcript=PVP01_0833400.1 | gene=PVP01_0833400 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit beta, putative | transcript_product=T-complex protein 1 subunit beta, putative | location=PvP01_08_v2:1424407-1426005(+) | protein_length=532 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114100.1-p1   -            529 5106at5820           -            489   1.7e-61  207.0  17.6   1   1   3.6e-64   2.6e-61  206.5  17.6    24   486    25   526    14   528 0.84 | transcript=PVP01_1114100.1 | gene=PVP01_1114100 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1, delta subunit, putative | transcript_product=T-complex protein 1, delta subunit, putative | location=PvP01_11_v2:606928-609269(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410900.1-p1   -            544 5106at5820           -            489   5.3e-48  162.6  27.5   1   1   1.1e-50   7.7e-48  162.0  27.5    18   486    22   523    10   526 0.81 | transcript=PVP01_0410900.1 | gene=PVP01_0410900 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit theta, putative | transcript_product=T-complex protein 1 subunit theta, putative | location=PvP01_04_v2:447288-449168(-) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140200.1-p1   -            543 5106at5820           -            489   3.5e-38  130.2  18.5   1   1   8.3e-41     6e-38  129.4  18.5    19   487    16   534     1   536 0.79 | transcript=PVP01_1140200.1 | gene=PVP01_1140200 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit zeta, putative | transcript_product=T-complex protein 1 subunit zeta, putative | location=PvP01_11_v2:1716030-1717840(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0815700.1-p1   -            580 5106at5820           -            489   3.6e-14   51.0  11.0   1   2     2e-10   1.5e-07   29.2   2.5    26   216    46   244    32   263 0.75 | transcript=PVP01_0815700.1 | gene=PVP01_0815700 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 60, putative | transcript_product=heat shock protein 60, putative | location=PvP01_08_v2:692390-694405(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0815700.1-p1   -            580 5106at5820           -            489   3.6e-14   51.0  11.0   2   2   1.1e-09   8.1e-07   26.7   1.4   336   483   403   549   357   554 0.84 | transcript=PVP01_0815700.1 | gene=PVP01_0815700 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 60, putative | transcript_product=heat shock protein 60, putative | location=PvP01_08_v2:692390-694405(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
