#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1232400.1-p1   -           3302 174at5820            -           2065         0 3444.8 231.9   1  11   4.2e-12   2.8e-08   29.9   0.1     1    29     1    29     1    37 0.92 | transcript=PVP01_1232400.1 | gene=PVP01_1232400 | organism=Plasmodium_vivax_P01 | gene_product=protein STU2, putative | transcript_product=protein STU2, putative | location=PvP01_12_v2:1280395-1292363(-) | protein_length=3302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232400.1-p1   -           3302 174at5820            -           2065         0 3444.8 231.9   2  11   5.1e-23   3.3e-19   66.1   0.8    24    78    80   134    64   139 0.88 | transcript=PVP01_1232400.1 | gene=PVP01_1232400 | organism=Plasmodium_vivax_P01 | gene_product=protein STU2, putative | transcript_product=protein STU2, putative | location=PvP01_12_v2:1280395-1292363(-) | protein_length=3302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232400.1-p1   -           3302 174at5820            -           2065         0 3444.8 231.9   3  11  1.7e-149  1.1e-145  485.5  22.8    66   344   178   457   173   461 0.98 | transcript=PVP01_1232400.1 | gene=PVP01_1232400 | organism=Plasmodium_vivax_P01 | gene_product=protein STU2, putative | transcript_product=protein STU2, putative | location=PvP01_12_v2:1280395-1292363(-) | protein_length=3302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232400.1-p1   -           3302 174at5820            -           2065         0 3444.8 231.9   4  11    8e-152  5.2e-148  493.2  21.2   344   593   495   750   487   753 0.95 | transcript=PVP01_1232400.1 | gene=PVP01_1232400 | organism=Plasmodium_vivax_P01 | gene_product=protein STU2, putative | transcript_product=protein STU2, putative | location=PvP01_12_v2:1280395-1292363(-) | protein_length=3302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232400.1-p1   -           3302 174at5820            -           2065         0 3444.8 231.9   5  11   4.3e-96   2.8e-92  308.4  22.9   593   814   811  1073   808  1084 0.87 | transcript=PVP01_1232400.1 | gene=PVP01_1232400 | organism=Plasmodium_vivax_P01 | gene_product=protein STU2, putative | transcript_product=protein STU2, putative | location=PvP01_12_v2:1280395-1292363(-) | protein_length=3302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232400.1-p1   -           3302 174at5820            -           2065         0 3444.8 231.9   6  11     2e-05      0.13    7.8   0.1   801   828  1128  1155  1112  1161 0.84 | transcript=PVP01_1232400.1 | gene=PVP01_1232400 | organism=Plasmodium_vivax_P01 | gene_product=protein STU2, putative | transcript_product=protein STU2, putative | location=PvP01_12_v2:1280395-1292363(-) | protein_length=3302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232400.1-p1   -           3302 174at5820            -           2065         0 3444.8 231.9   7  11         0         0 1774.8  95.5   822  1778  1200  2190  1193  2216 0.96 | transcript=PVP01_1232400.1 | gene=PVP01_1232400 | organism=Plasmodium_vivax_P01 | gene_product=protein STU2, putative | transcript_product=protein STU2, putative | location=PvP01_12_v2:1280395-1292363(-) | protein_length=3302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232400.1-p1   -           3302 174at5820            -           2065         0 3444.8 231.9   8  11   8.2e-05      0.53    5.7   0.0  1783  1800  2231  2248  2227  2258 0.89 | transcript=PVP01_1232400.1 | gene=PVP01_1232400 | organism=Plasmodium_vivax_P01 | gene_product=protein STU2, putative | transcript_product=protein STU2, putative | location=PvP01_12_v2:1280395-1292363(-) | protein_length=3302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232400.1-p1   -           3302 174at5820            -           2065         0 3444.8 231.9   9  11   2.2e-85   1.5e-81  272.9  14.4  1800  1995  2380  2591  2372  2593 0.93 | transcript=PVP01_1232400.1 | gene=PVP01_1232400 | organism=Plasmodium_vivax_P01 | gene_product=protein STU2, putative | transcript_product=protein STU2, putative | location=PvP01_12_v2:1280395-1292363(-) | protein_length=3302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232400.1-p1   -           3302 174at5820            -           2065         0 3444.8 231.9  10  11   1.2e-09   8.1e-06   21.7   0.0  1990  2020  2698  2728  2689  2735 0.88 | transcript=PVP01_1232400.1 | gene=PVP01_1232400 | organism=Plasmodium_vivax_P01 | gene_product=protein STU2, putative | transcript_product=protein STU2, putative | location=PvP01_12_v2:1280395-1292363(-) | protein_length=3302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232400.1-p1   -           3302 174at5820            -           2065         0 3444.8 231.9  11  11     4e-06     0.026   10.1   0.2  2021  2061  3032  3070  3028  3074 0.71 | transcript=PVP01_1232400.1 | gene=PVP01_1232400 | organism=Plasmodium_vivax_P01 | gene_product=protein STU2, putative | transcript_product=protein STU2, putative | location=PvP01_12_v2:1280395-1292363(-) | protein_length=3302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/174at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/174at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/174at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:27 2026
# [ok]
