#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1332100.1-p1   -            677 4511at5820           -            508  1.1e-280  930.1  23.1   1   3   2.5e-48   3.3e-45  153.3   0.7    19   121    52   158    43   165 0.89 | transcript=PVP01_1332100.1 | gene=PVP01_1332100 | organism=Plasmodium_vivax_P01 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=PvP01_13_v2:1376110-1378143(-) | protein_length=677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1332100.1-p1   -            677 4511at5820           -            508  1.1e-280  930.1  23.1   2   3  1.2e-207  1.6e-204  678.9  14.3   122   456   229   573   223   583 0.96 | transcript=PVP01_1332100.1 | gene=PVP01_1332100 | organism=Plasmodium_vivax_P01 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=PvP01_13_v2:1376110-1378143(-) | protein_length=677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1332100.1-p1   -            677 4511at5820           -            508  1.1e-280  930.1  23.1   3   3     7e-33   9.1e-30  102.3   0.0   452   508   621   677   603   677 0.92 | transcript=PVP01_1332100.1 | gene=PVP01_1332100 | organism=Plasmodium_vivax_P01 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=PvP01_13_v2:1376110-1378143(-) | protein_length=677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1204700.1-p1   -            585 4511at5820           -            508   5.9e-86  287.7   0.3   1   1   2.3e-88   3.1e-85  285.3   0.3    22   507    69   583    49   584 0.82 | transcript=PVP01_1204700.1 | gene=PVP01_1204700 | organism=Plasmodium_vivax_P01 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=PvP01_12_v2:187450-189480(+) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413100.1-p1   -            580 4511at5820           -            508   2.6e-11   41.5   0.4   1   1   3.9e-14   5.1e-11   40.5   0.4   245   503   317   572   299   576 0.79 | transcript=PVP01_0413100.1 | gene=PVP01_0413100 | organism=Plasmodium_vivax_P01 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=PvP01_04_v2:534169-535911(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024400.1-p1   -            751 4511at5820           -            508   5.1e-11   40.5   0.1   1   3      0.66   8.6e+02   -3.1   0.0    66   119   200   258   197   268 0.68 | transcript=PVP01_1024400.1 | gene=PVP01_1024400 | organism=Plasmodium_vivax_P01 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=PvP01_10_v2:1063035-1065290(-) | protein_length=751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024400.1-p1   -            751 4511at5820           -            508   5.1e-11   40.5   0.1   2   3   2.7e-07   0.00035   17.9   0.1   249   322   476   547   469   585 0.86 | transcript=PVP01_1024400.1 | gene=PVP01_1024400 | organism=Plasmodium_vivax_P01 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=PvP01_10_v2:1063035-1065290(-) | protein_length=751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024400.1-p1   -            751 4511at5820           -            508   5.1e-11   40.5   0.1   3   3   8.8e-08   0.00011   19.5   0.0   450   503   688   743   676   746 0.79 | transcript=PVP01_1024400.1 | gene=PVP01_1024400 | organism=Plasmodium_vivax_P01 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=PvP01_10_v2:1063035-1065290(-) | protein_length=751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1019600.1-p1   -            987 4511at5820           -            508    0.0048   14.2   0.8   1   3     0.039        51    0.9   0.0   203   239   428   464   421   468 0.88 | transcript=PVP01_1019600.1 | gene=PVP01_1019600 | organism=Plasmodium_vivax_P01 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=PvP01_10_v2:857498-860461(-) | protein_length=987 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1019600.1-p1   -            987 4511at5820           -            508    0.0048   14.2   0.8   2   3   8.4e-05      0.11    9.7   1.0   250   316   498   565   490   576 0.79 | transcript=PVP01_1019600.1 | gene=PVP01_1019600 | organism=Plasmodium_vivax_P01 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=PvP01_10_v2:857498-860461(-) | protein_length=987 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1019600.1-p1   -            987 4511at5820           -            508    0.0048   14.2   0.8   3   3       0.4   5.2e+02   -2.4   0.0   464   496   948   980   921   984 0.71 | transcript=PVP01_1019600.1 | gene=PVP01_1019600 | organism=Plasmodium_vivax_P01 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=PvP01_10_v2:857498-860461(-) | protein_length=987 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
