#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1429800.1-p1   -            303 8695at5820           -            275    2e-171  566.9   9.3   1   1  3.5e-174  2.3e-171  566.7   9.3     1   275     1   291     1   291 0.97 | transcript=PVP01_1429800.1 | gene=PVP01_1429800 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=PvP01_14_v2:1284812-1287310(+) | protein_length=303 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1252000.1-p1   -            411 8695at5820           -            275   2.5e-22   77.9   5.5   1   1   2.4e-24   1.6e-21   75.2   5.5    39   247    43   258    16   276 0.77 | transcript=PVP01_1252000.1 | gene=PVP01_1252000 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=PvP01_12_v2:2131654-2134620(+) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0309600.1-p1   -            953 8695at5820           -            275   3.4e-17   61.1   1.3   1   1   9.6e-20   6.3e-17   60.2   1.3    54   235   685   877   680   923 0.73 | transcript=PVP01_0309600.1 | gene=PVP01_0309600 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=PvP01_03_v2:441263-444314(-) | protein_length=953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939500.1-p1   -            872 8695at5820           -            275   1.4e-16   59.1   1.9   1   2   0.00095      0.62    7.7   0.2    24   109    33   125    24   131 0.66 | transcript=PVP01_0939500.1 | gene=PVP01_0939500 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=PvP01_09_v2:1702099-1704717(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939500.1-p1   -            872 8695at5820           -            275   1.4e-16   59.1   1.9   2   2   9.2e-17     6e-14   50.4   0.1   108   233   516   649   477   677 0.83 | transcript=PVP01_0939500.1 | gene=PVP01_0939500 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=PvP01_09_v2:1702099-1704717(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1410200.1-p1   -            782 8695at5820           -            275   1.4e-10   39.4   2.6   1   2       1.7   1.1e+03   -3.0   0.3    56   194   314   328   240   352 0.56 | transcript=PVP01_1410200.1 | gene=PVP01_1410200 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM6, putative | transcript_product=protein phosphatase PPM6, putative | location=PvP01_14_v2:482831-485503(+) | protein_length=782 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1410200.1-p1   -            782 8695at5820           -            275   1.4e-10   39.4   2.6   2   2   2.1e-13   1.4e-10   39.4   2.6   106   247   598   753   573   763 0.72 | transcript=PVP01_1410200.1 | gene=PVP01_1410200 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM6, putative | transcript_product=protein phosphatase PPM6, putative | location=PvP01_14_v2:482831-485503(+) | protein_length=782 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430000.1-p1   -            559 8695at5820           -            275   6.7e-10   37.1   1.4   1   2      0.64   4.2e+02   -1.6   0.1    49    74   156   183   145   223 0.72 | transcript=PVP01_1430000.1 | gene=PVP01_1430000 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=PvP01_14_v2:1294483-1297856(+) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430000.1-p1   -            559 8695at5820           -            275   6.7e-10   37.1   1.4   2   2   2.1e-12   1.4e-09   36.1   0.2   105   236   359   509   310   527 0.76 | transcript=PVP01_1430000.1 | gene=PVP01_1430000 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=PvP01_14_v2:1294483-1297856(+) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466400.1-p1   -           1105 8695at5820           -            275   1.4e-08   32.8  10.2   1   1   2.6e-09   1.7e-06   26.0  10.2    16   234   763  1034   752  1066 0.67 | transcript=PVP01_1466400.1 | gene=PVP01_1466400 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=PvP01_14_v2:2826812-2830377(+) | protein_length=1105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935900.1-p1   -            852 8695at5820           -            275   0.00027   18.7   5.4   1   2   1.2e-06   0.00078   17.2   0.7    50   167   540   673   519   702 0.68 | transcript=PVP01_0935900.1 | gene=PVP01_0935900 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=PvP01_09_v2:1541539-1544097(-) | protein_length=852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935900.1-p1   -            852 8695at5820           -            275   0.00027   18.7   5.4   2   2      0.06        39    1.8   0.3   180   197   721   738   698   822 0.70 | transcript=PVP01_0935900.1 | gene=PVP01_0935900 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=PvP01_09_v2:1541539-1544097(-) | protein_length=852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0825100.1-p1   -            197 8695at5820           -            275    0.0044   14.8   1.7   1   1   1.1e-05     0.007   14.1   1.7    23    90   117   183   110   190 0.87 | transcript=PVP01_0825100.1 | gene=PVP01_0825100 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_08_v2:1118915-1119700(-) | protein_length=197 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133200.1-p1   -           1385 8695at5820           -            275      0.33    8.6   4.6   1   2   0.00035      0.23    9.1   2.0    44   142   781   881   775   889 0.78 | transcript=PVP01_1133200.1 | gene=PVP01_1133200 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase, putative | transcript_product=protein phosphatase, putative | location=PvP01_11_v2:1416478-1420635(+) | protein_length=1385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133200.1-p1   -           1385 8695at5820           -            275      0.33    8.6   4.6   2   2         2   1.3e+03   -3.2   0.0   213   234  1280  1301  1276  1324 0.67 | transcript=PVP01_1133200.1 | gene=PVP01_1133200 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase, putative | transcript_product=protein phosphatase, putative | location=PvP01_11_v2:1416478-1420635(+) | protein_length=1385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8695at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8695at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8695at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:08 2026
# [ok]
