#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1336700.1-p1   -            798 5178at5820           -            464  1.1e-183  609.6  87.7   1   5   3.7e-22   2.4e-19   67.8   6.0     2    51    11    60    10    73 0.88 | transcript=PVP01_1336700.1 | gene=PVP01_1336700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_13_v2:1587292-1590081(+) | protein_length=798 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336700.1-p1   -            798 5178at5820           -            464  1.1e-183  609.6  87.7   2   5  2.4e-101   1.6e-98  328.9  33.6    42   251    71   300    62   315 0.89 | transcript=PVP01_1336700.1 | gene=PVP01_1336700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_13_v2:1587292-1590081(+) | protein_length=798 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336700.1-p1   -            798 5178at5820           -            464  1.1e-183  609.6  87.7   3   5     0.046        30    1.6   2.3   255   281   453   479   438   507 0.81 | transcript=PVP01_1336700.1 | gene=PVP01_1336700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_13_v2:1587292-1590081(+) | protein_length=798 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336700.1-p1   -            798 5178at5820           -            464  1.1e-183  609.6  87.7   4   5   4.8e-12   3.2e-09   34.4   2.3   271   321   508   559   482   566 0.80 | transcript=PVP01_1336700.1 | gene=PVP01_1336700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_13_v2:1587292-1590081(+) | protein_length=798 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336700.1-p1   -            798 5178at5820           -            464  1.1e-183  609.6  87.7   5   5   1.7e-59   1.1e-56  190.9  15.1   306   464   617   798   601   798 0.86 | transcript=PVP01_1336700.1 | gene=PVP01_1336700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_13_v2:1587292-1590081(+) | protein_length=798 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616300.1-p1   -            369 5178at5820           -            464     6e-28   96.2  69.7   1   6   3.5e-07   0.00023   18.4   4.0    90   151    14    74     9    78 0.90 | transcript=PVP01_0616300.1 | gene=PVP01_0616300 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=PvP01_06_v2:675252-676361(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616300.1-p1   -            369 5178at5820           -            464     6e-28   96.2  69.7   2   6   5.5e-07   0.00036   17.8   7.1   107   152    77   121    74   125 0.91 | transcript=PVP01_0616300.1 | gene=PVP01_0616300 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=PvP01_06_v2:675252-676361(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616300.1-p1   -            369 5178at5820           -            464     6e-28   96.2  69.7   3   6   4.5e-07    0.0003   18.1   5.7   109   151   125   171   121   180 0.82 | transcript=PVP01_0616300.1 | gene=PVP01_0616300 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=PvP01_06_v2:675252-676361(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616300.1-p1   -            369 5178at5820           -            464     6e-28   96.2  69.7   4   6   6.6e-05     0.043   10.9   0.5   133   152   176   195   172   199 0.89 | transcript=PVP01_0616300.1 | gene=PVP01_0616300 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=PvP01_06_v2:675252-676361(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616300.1-p1   -            369 5178at5820           -            464     6e-28   96.2  69.7   5   6   7.7e-08     5e-05   20.6  11.4    87   150   200   262   196   267 0.90 | transcript=PVP01_0616300.1 | gene=PVP01_0616300 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=PvP01_06_v2:675252-676361(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616300.1-p1   -            369 5178at5820           -            464     6e-28   96.2  69.7   6   6   2.5e-13   1.7e-10   38.7   5.2    87   151   269   333   265   347 0.94 | transcript=PVP01_0616300.1 | gene=PVP01_0616300 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=PvP01_06_v2:675252-676361(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
