#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0718800.1-p1   -           1628 1513at5820           -            985         0 1242.6 100.2   1   8   3.1e-59     1e-55  188.1  16.3     1   164    45   233    45   236 0.89 | transcript=PVP01_0718800.1 | gene=PVP01_0718800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:827645-832531(+) | protein_length=1628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718800.1-p1   -           1628 1513at5820           -            985         0 1242.6 100.2   2   8   5.3e-82   1.7e-78  263.5  18.1   174   353   318   534   309   540 0.87 | transcript=PVP01_0718800.1 | gene=PVP01_0718800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:827645-832531(+) | protein_length=1628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718800.1-p1   -           1628 1513at5820           -            985         0 1242.6 100.2   3   8   1.5e-26   4.8e-23   79.9   6.9   352   407   569   624   563   627 0.95 | transcript=PVP01_0718800.1 | gene=PVP01_0718800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:827645-832531(+) | protein_length=1628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718800.1-p1   -           1628 1513at5820           -            985         0 1242.6 100.2   4   8   8.1e-38   2.6e-34  117.2   0.0   408   501   664   770   660   771 0.86 | transcript=PVP01_0718800.1 | gene=PVP01_0718800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:827645-832531(+) | protein_length=1628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718800.1-p1   -           1628 1513at5820           -            985         0 1242.6 100.2   5   8  2.2e-100     7e-97  324.3   7.4   500   729   857  1121   840  1125 0.86 | transcript=PVP01_0718800.1 | gene=PVP01_0718800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:827645-832531(+) | protein_length=1628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718800.1-p1   -           1628 1513at5820           -            985         0 1242.6 100.2   6   8   3.3e-72   1.1e-68  231.0   8.2   721   871  1141  1293  1134  1295 0.96 | transcript=PVP01_0718800.1 | gene=PVP01_0718800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:827645-832531(+) | protein_length=1628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718800.1-p1   -           1628 1513at5820           -            985         0 1242.6 100.2   7   8   9.1e-13     3e-09   34.3   0.1   871   904  1405  1438  1401  1441 0.93 | transcript=PVP01_0718800.1 | gene=PVP01_0718800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:827645-832531(+) | protein_length=1628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718800.1-p1   -           1628 1513at5820           -            985         0 1242.6 100.2   8   8   1.5e-11   4.9e-08   30.2   0.1   905   941  1496  1532  1490  1619 0.92 | transcript=PVP01_0718800.1 | gene=PVP01_0718800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:827645-832531(+) | protein_length=1628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1254800.1-p1   -            535 1513at5820           -            985   0.00031   17.7   1.5   1   1   1.7e-07   0.00055   16.8   1.5   818   901   342   423   336   439 0.88 | transcript=PVP01_1254800.1 | gene=PVP01_1254800 | organism=Plasmodium_vivax_P01 | gene_product=aminomethyltransferase, putative | transcript_product=aminomethyltransferase, putative | location=PvP01_12_v2:2240317-2241924(-) | protein_length=535 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1513at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1513at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1513at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:10 2026
# [ok]
