#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0807000.1-p1   -            609 5653at5820           -            431  5.9e-227  752.4  55.1   1   4   7.5e-26   4.5e-23   80.7   2.2     1    66     5    77     5    80 0.92 | transcript=PVP01_0807000.1 | gene=PVP01_0807000 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_08_v2:302200-304231(+) | protein_length=609 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807000.1-p1   -            609 5653at5820           -            431  5.9e-227  752.4  55.1   2   4   1.4e-47   8.6e-45  152.2   7.5    62   157   181   276   175   283 0.94 | transcript=PVP01_0807000.1 | gene=PVP01_0807000 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_08_v2:302200-304231(+) | protein_length=609 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807000.1-p1   -            609 5653at5820           -            431  5.9e-227  752.4  55.1   3   4  2.5e-135  1.5e-132  441.4   9.5   152   378   295   523   284   539 0.97 | transcript=PVP01_0807000.1 | gene=PVP01_0807000 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_08_v2:302200-304231(+) | protein_length=609 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807000.1-p1   -            609 5653at5820           -            431  5.9e-227  752.4  55.1   4   4   9.8e-31   5.8e-28   96.8  12.0   370   431   547   609   536   609 0.91 | transcript=PVP01_0807000.1 | gene=PVP01_0807000 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_08_v2:302200-304231(+) | protein_length=609 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004000.1-p1   -            284 5653at5820           -            431   7.9e-10   37.0   1.5   1   1   2.4e-12   1.4e-09   36.1   1.5   373   429   223   280   208   282 0.90 | transcript=PVP01_1004000.1 | gene=PVP01_1004000 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_10_v2:199642-200977(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0613300.1-p1   -            272 5653at5820           -            431   3.1e-08   31.8   1.7   1   1   7.2e-11   4.3e-08   31.3   1.7   365   427   198   261   146   264 0.78 | transcript=PVP01_0613300.1 | gene=PVP01_0613300 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_06_v2:571562-572380(-) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0825400.1-p1   -           1211 5653at5820           -            431   1.1e-05   23.4   5.0   1   1     3e-08   1.8e-05   22.6   5.0   374   429  1152  1208  1127  1210 0.81 | transcript=PVP01_0825400.1 | gene=PVP01_0825400 | organism=Plasmodium_vivax_P01 | gene_product=RING finger protein RNF1, putative | transcript_product=RING finger protein RNF1, putative | location=PvP01_08_v2:1139526-1143161(+) | protein_length=1211 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828100.1-p1   -            736 5653at5820           -            431   5.9e-05   20.9   1.9   1   1   1.5e-07     9e-05   20.3   1.9   385   428   686   731   661   733 0.73 | transcript=PVP01_0828100.1 | gene=PVP01_0828100 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=PvP01_08_v2:1215633-1217843(-) | protein_length=736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804000.1-p1   -           1169 5653at5820           -            431   0.00025   18.9   0.3   1   1   6.3e-07   0.00037   18.3   0.3   375   429   350   409   312   411 0.78 | transcript=PVP01_0804000.1 | gene=PVP01_0804000 | organism=Plasmodium_vivax_P01 | gene_product=RING finger E3 ubiquitin-protein ligase, putative | transcript_product=RING finger E3 ubiquitin-protein ligase, putative | location=PvP01_08_v2:197452-200961(-) | protein_length=1169 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1343100.1-p1   -            695 5653at5820           -            431    0.0011   16.8   8.6   1   1   3.3e-06     0.002   15.9   8.6   383   427   643   690   607   693 0.71 | transcript=PVP01_1343100.1 | gene=PVP01_1343100 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_13_v2:1899368-1901455(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125000.1-p1   -             89 5653at5820           -            431    0.0075   14.0   8.8   1   1   1.4e-05    0.0081   13.9   8.8   382   428    33    80     7    82 0.73 | transcript=PVP01_1125000.1 | gene=PVP01_1125000 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 11, putative | transcript_product=anaphase-promoting complex subunit 11, putative | location=PvP01_11_v2:1096658-1096927(-) | protein_length=89 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
