#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0512200.1-p1   -            232 12136at5820          -            191   9.4e-93  307.8  21.4   1   2   4.5e-11   7.3e-08   30.9   3.2     1    40     3    52     3    64 0.74 | transcript=PVP01_0512200.1 | gene=PVP01_0512200 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 7, putative | transcript_product=mediator of RNA polymerase II transcription subunit 7, putative | location=PvP01_05_v2:521190-521888(+) | protein_length=232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0512200.1-p1   -            232 12136at5820          -            191   9.4e-93  307.8  21.4   2   2   3.5e-89   5.7e-86  285.6  11.5     4   187    35   218    32   222 0.95 | transcript=PVP01_0512200.1 | gene=PVP01_0512200 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 7, putative | transcript_product=mediator of RNA polymerase II transcription subunit 7, putative | location=PvP01_05_v2:521190-521888(+) | protein_length=232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0006180.1-p1   -            219 12136at5820          -            191     0.024   12.9  11.1   1   1   1.2e-05     0.019   13.2   9.7    50   142    78   175    70   183 0.81 | transcript=PVP01_0006180.1 | gene=PVP01_0006180 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_19.final:24919-25706(-) | protein_length=219 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0840600.1-p1   -            308 12136at5820          -            191      0.11   10.7  11.2   1   3     0.049        80    1.4   0.1    77    92    55    70    48    77 0.85 | transcript=PVP01_0840600.1 | gene=PVP01_0840600 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=PvP01_08_v2:1737930-1739123(-) | protein_length=308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0840600.1-p1   -            308 12136at5820          -            191      0.11   10.7  11.2   2   3   6.2e-06      0.01   14.1   2.9    58   115   109   164    90   170 0.86 | transcript=PVP01_0840600.1 | gene=PVP01_0840600 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=PvP01_08_v2:1737930-1739123(-) | protein_length=308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0840600.1-p1   -            308 12136at5820          -            191      0.11   10.7  11.2   3   3      0.75   1.2e+03   -2.4   0.1    89   103   198   212   177   237 0.57 | transcript=PVP01_0840600.1 | gene=PVP01_0840600 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=PvP01_08_v2:1737930-1739123(-) | protein_length=308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0006230.1-p1   -            278 12136at5820          -            191       2.5    6.3  19.3   1   3      0.26   4.2e+02   -0.9   0.0    49    68    33    52    30    70 0.84 | transcript=PVP01_0006230.1 | gene=PVP01_0006230 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_19.final:43386-44353(-) | protein_length=278 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0006230.1-p1   -            278 12136at5820          -            191       2.5    6.3  19.3   2   3     8e-05      0.13   10.5  12.1    61   142   102   187    78   194 0.77 | transcript=PVP01_0006230.1 | gene=PVP01_0006230 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_19.final:43386-44353(-) | protein_length=278 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0006230.1-p1   -            278 12136at5820          -            191       2.5    6.3  19.3   3   3         1   1.7e+03   -2.9   0.3   157   174   257   274   235   277 0.59 | transcript=PVP01_0006230.1 | gene=PVP01_0006230 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_19.final:43386-44353(-) | protein_length=278 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12136at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12136at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12136at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:51 2026
# [ok]
