#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1108600.1-p1   -            887 3438at5820           -            675         0 1102.3  80.6   1   6   5.6e-13   2.8e-10   37.9   0.0     1    43     1    58     1    61 0.85 | transcript=PVP01_1108600.1 | gene=PVP01_1108600 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=PvP01_11_v2:338285-341141(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1108600.1-p1   -            887 3438at5820           -            675         0 1102.3  80.6   2   6   6.5e-52   3.3e-49  166.6   1.4    42   140    87   190    80   196 0.93 | transcript=PVP01_1108600.1 | gene=PVP01_1108600 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=PvP01_11_v2:338285-341141(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1108600.1-p1   -            887 3438at5820           -            675         0 1102.3  80.6   3   6   4.2e-81   2.1e-78  263.0  12.0   137   274   214   351   210   359 0.98 | transcript=PVP01_1108600.1 | gene=PVP01_1108600 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=PvP01_11_v2:338285-341141(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1108600.1-p1   -            887 3438at5820           -            675         0 1102.3  80.6   4   6   5.4e-22   2.7e-19   67.7   0.3   273   318   372   417   366   433 0.89 | transcript=PVP01_1108600.1 | gene=PVP01_1108600 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=PvP01_11_v2:338285-341141(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1108600.1-p1   -            887 3438at5820           -            675         0 1102.3  80.6   5   6   4.7e-66   2.4e-63  213.3   6.4   314   431   451   569   446   573 0.95 | transcript=PVP01_1108600.1 | gene=PVP01_1108600 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=PvP01_11_v2:338285-341141(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1108600.1-p1   -            887 3438at5820           -            675         0 1102.3  80.6   6   6    2e-115    1e-112  376.5  29.2   431   675   598   885   595   885 0.92 | transcript=PVP01_1108600.1 | gene=PVP01_1108600 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=PvP01_11_v2:338285-341141(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 3438at5820           -            675   6.2e-18   63.2   4.7   1   2   3.4e-19   1.7e-16   58.4   1.9    67   290   210   434   184   460 0.76 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 3438at5820           -            675   6.2e-18   63.2   4.7   2   2    0.0027       1.3    5.9   0.0   214   263   447   498   430   498 0.76 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 3438at5820           -            675   2.9e-11   41.2   8.0   1   2   4.2e-09   2.1e-06   25.1   4.2    79   265    50   234    31   241 0.75 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 3438at5820           -            675   2.9e-11   41.2   8.0   2   2   1.3e-06   0.00065   16.9   0.1   203   259   262   319   253   322 0.89 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 3438at5820           -            675     3e-11   41.1   0.6   1   2   5.9e-14     3e-11   41.1   0.6   191   265    63   139    45   141 0.89 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
