#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0302700.1-p1   -            383 7611at5820           -            340  2.6e-186  617.1  31.8   1   1  2.6e-189  3.3e-186  616.8  31.8     3   340    12   383    10   383 0.92 | transcript=PVP01_0302700.1 | gene=PVP01_0302700 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-specific protease, putative | transcript_product=ubiquitin-specific protease, putative | location=PvP01_03_v2:131592-132743(+) | protein_length=383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017300.1-p1   -           1342 7611at5820           -            340   5.1e-11   40.8  15.9   1   3   8.7e-09   1.1e-05   23.2   0.1    24   181   330   507   316   518 0.74 | transcript=PVP01_1017300.1 | gene=PVP01_1017300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=PvP01_10_v2:771250-776009(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017300.1-p1   -           1342 7611at5820           -            340   5.1e-11   40.8  15.9   2   3      0.45   5.9e+02   -2.2   1.4   123   169   626   671   611   699 0.72 | transcript=PVP01_1017300.1 | gene=PVP01_1017300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=PvP01_10_v2:771250-776009(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017300.1-p1   -           1342 7611at5820           -            340   5.1e-11   40.8  15.9   3   3   1.2e-09   1.6e-06   26.0   3.3   209   335  1176  1307  1111  1312 0.82 | transcript=PVP01_1017300.1 | gene=PVP01_1017300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=PvP01_10_v2:771250-776009(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1417900.1-p1   -            685 7611at5820           -            340   8.3e-05   20.4   5.5   1   2   8.5e-07    0.0011   16.7   0.3    24   111   213   309   206   322 0.74 | transcript=PVP01_1417900.1 | gene=PVP01_1417900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6.U5 tri-snRNP-associated protein 2, putative | transcript_product=U4/U6.U5 tri-snRNP-associated protein 2, putative | location=PvP01_14_v2:780013-782070(+) | protein_length=685 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1417900.1-p1   -            685 7611at5820           -            340   8.3e-05   20.4   5.5   2   2    0.0023         3    5.4   0.9   226   313   566   652   549   659 0.80 | transcript=PVP01_1417900.1 | gene=PVP01_1417900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6.U5 tri-snRNP-associated protein 2, putative | transcript_product=U4/U6.U5 tri-snRNP-associated protein 2, putative | location=PvP01_14_v2:780013-782070(+) | protein_length=685 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520400.1-p1   -            879 7611at5820           -            340   0.00078   17.2  23.2   1   5      0.18   2.4e+02   -0.8   1.0   108   161   137   189   113   211 0.57 | transcript=PVP01_0520400.1 | gene=PVP01_0520400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=PvP01_05_v2:824294-827452(-) | protein_length=879 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520400.1-p1   -            879 7611at5820           -            340   0.00078   17.2  23.2   2   5   5.4e-06     0.007   14.0   0.9    20    53   329   363   319   419 0.73 | transcript=PVP01_0520400.1 | gene=PVP01_0520400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=PvP01_05_v2:824294-827452(-) | protein_length=879 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520400.1-p1   -            879 7611at5820           -            340   0.00078   17.2  23.2   3   5       1.6   2.1e+03   -4.0   0.1    95   109   451   465   442   473 0.71 | transcript=PVP01_0520400.1 | gene=PVP01_0520400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=PvP01_05_v2:824294-827452(-) | protein_length=879 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520400.1-p1   -            879 7611at5820           -            340   0.00078   17.2  23.2   4   5   0.00057      0.74    7.4   0.0   192   254   588   652   569   675 0.84 | transcript=PVP01_0520400.1 | gene=PVP01_0520400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=PvP01_05_v2:824294-827452(-) | protein_length=879 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520400.1-p1   -            879 7611at5820           -            340   0.00078   17.2  23.2   5   5   0.00013      0.17    9.5   1.5   281   320   824   863   782   879 0.73 | transcript=PVP01_0520400.1 | gene=PVP01_0520400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=PvP01_05_v2:824294-827452(-) | protein_length=879 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006600.1-p1   -            590 7611at5820           -            340    0.0051   14.5   0.9   1   2     3e-05     0.039   11.6   0.2    22    77   110   162    95   233 0.84 | transcript=PVP01_1006600.1 | gene=PVP01_1006600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=PvP01_10_v2:291412-293684(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006600.1-p1   -            590 7611at5820           -            340    0.0051   14.5   0.9   2   2      0.12   1.6e+02   -0.3   0.0   281   305   489   514   482   549 0.78 | transcript=PVP01_1006600.1 | gene=PVP01_1006600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=PvP01_10_v2:291412-293684(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7611at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7611at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7611at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:19 2026
# [ok]
