#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1463500.1-p1   -            209 12243at5820          -            188  7.9e-109  360.3   4.2   1   1  1.8e-111  9.2e-109  360.1   4.2     1   188     5   209     5   209 0.95 | transcript=PVP01_1463500.1 | gene=PVP01_1463500 | organism=Plasmodium_vivax_P01 | gene_product=myosin A-tail interacting protein, putative | transcript_product=myosin A-tail interacting protein, putative | location=PvP01_14_v2:2737238-2737867(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315300.1-p1   -            149 12243at5820          -            188   1.4e-12   46.5   1.2   1   2   0.00011     0.054   12.0   0.0   124   175     9    60     3    69 0.87 | transcript=PVP01_1315300.1 | gene=PVP01_1315300 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_13_v2:705695-706693(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315300.1-p1   -            149 12243at5820          -            188   1.4e-12   46.5   1.2   2   2   1.3e-11   6.5e-09   34.5   0.3   106   184    64   144    57   148 0.86 | transcript=PVP01_1315300.1 | gene=PVP01_1315300 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_13_v2:705695-706693(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207800.1-p1   -            168 12243at5820          -            188     6e-11   41.2   1.5   1   1   1.4e-13   7.2e-11   40.9   1.5    51   170    18   144     4   159 0.77 | transcript=PVP01_0207800.1 | gene=PVP01_0207800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=PvP01_02_v2:328638-329949(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122300.1-p1   -            140 12243at5820          -            188     1e-10   40.4   0.7   1   1   2.3e-13   1.2e-10   40.2   0.7    63   187    11   138     1   139 0.74 | transcript=PVP01_1122300.1 | gene=PVP01_1122300 | organism=Plasmodium_vivax_P01 | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=PvP01_11_v2:986263-987871(+) | protein_length=140 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0906300.1-p1   -            167 12243at5820          -            188   4.1e-10   38.5   4.1   1   2    0.0052       2.6    6.5   0.1   121   165    12    56     2    61 0.80 | transcript=PVP01_0906300.1 | gene=PVP01_0906300 | organism=Plasmodium_vivax_P01 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=PvP01_09_v2:359830-360606(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0906300.1-p1   -            167 12243at5820          -            188   4.1e-10   38.5   4.1   2   2   5.4e-11   2.7e-08   32.5   1.9    97   176    61   141    44   154 0.85 | transcript=PVP01_0906300.1 | gene=PVP01_0906300 | organism=Plasmodium_vivax_P01 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=PvP01_09_v2:359830-360606(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612800.1-p1   -            179 12243at5820          -            188   6.3e-10   37.9   1.5   1   1   1.5e-12   7.6e-10   37.6   1.5    52   174    33   159    12   171 0.77 | transcript=PVP01_0612800.1 | gene=PVP01_0612800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=PvP01_06_v2:553783-555183(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615900.1-p1   -            236 12243at5820          -            188   8.9e-08   30.8   7.0   1   3    0.0081         4    5.9   0.1   126   172    11    57     4    68 0.83 | transcript=PVP01_0615900.1 | gene=PVP01_0615900 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_06_v2:665940-666650(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615900.1-p1   -            236 12243at5820          -            188   8.9e-08   30.8   7.0   2   3     0.024        12    4.3   0.0    53    88    44    79    38    97 0.84 | transcript=PVP01_0615900.1 | gene=PVP01_0615900 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_06_v2:665940-666650(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615900.1-p1   -            236 12243at5820          -            188   8.9e-08   30.8   7.0   3   3   2.2e-09   1.1e-06   27.3   1.6   103   183   147   229   104   233 0.87 | transcript=PVP01_0615900.1 | gene=PVP01_0615900 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_06_v2:665940-666650(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
