#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1262100.1-p1   -            188 14515at5820          -            111   6.6e-45  150.8   7.8   1   2   5.3e-12   8.7e-09   34.5   0.1     1    49     1    51     1    80 0.77 | transcript=PVP01_1262100.1 | gene=PVP01_1262100 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2558303-2558869(-) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262100.1-p1   -            188 14515at5820          -            111   6.6e-45  150.8   7.8   2   2   8.2e-38   1.3e-34  117.6   4.2    49   111   126   188   114   188 0.93 | transcript=PVP01_1262100.1 | gene=PVP01_1262100 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2558303-2558869(-) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606300.1-p1   -           1640 14515at5820          -            111      0.13   11.4   5.9   1   2     0.066   1.1e+02    2.1   0.5    40    77   457   494   416   510 0.83 | transcript=PVP01_0606300.1 | gene=PVP01_0606300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:251397-256319(-) | protein_length=1640 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606300.1-p1   -           1640 14515at5820          -            111      0.13   11.4   5.9   2   2    0.0002      0.33   10.1   0.7    13    72  1334  1386  1326  1389 0.81 | transcript=PVP01_0606300.1 | gene=PVP01_0606300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:251397-256319(-) | protein_length=1640 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412800.1-p1   -           1097 14515at5820          -            111      0.25   10.5   4.1   1   3       0.8   1.3e+03   -1.4   0.0    13    61    36    79    29    87 0.59 | transcript=PVP01_1412800.1 | gene=PVP01_1412800 | organism=Plasmodium_vivax_P01 | gene_product=M1-family alanyl aminopeptidase, putative | transcript_product=M1-family alanyl aminopeptidase, putative | location=PvP01_14_v2:563290-566583(+) | protein_length=1097 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412800.1-p1   -           1097 14515at5820          -            111      0.25   10.5   4.1   2   3       1.9   3.1e+03   -2.6   0.1    68    91   598   621   572   641 0.69 | transcript=PVP01_1412800.1 | gene=PVP01_1412800 | organism=Plasmodium_vivax_P01 | gene_product=M1-family alanyl aminopeptidase, putative | transcript_product=M1-family alanyl aminopeptidase, putative | location=PvP01_14_v2:563290-566583(+) | protein_length=1097 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412800.1-p1   -           1097 14515at5820          -            111      0.25   10.5   4.1   3   3   0.00017      0.28   10.4   0.4    42    83   949   994   940  1003 0.75 | transcript=PVP01_1412800.1 | gene=PVP01_1412800 | organism=Plasmodium_vivax_P01 | gene_product=M1-family alanyl aminopeptidase, putative | transcript_product=M1-family alanyl aminopeptidase, putative | location=PvP01_14_v2:563290-566583(+) | protein_length=1097 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466700.1-p1   -            701 14515at5820          -            111       3.5    6.8   9.5   1   2      0.14   2.3e+02    1.0   1.7    11    62   183   234   175   243 0.84 | transcript=PVP01_1466700.1 | gene=PVP01_1466700 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_14_v2:2833922-2836480(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466700.1-p1   -            701 14515at5820          -            111       3.5    6.8   9.5   2   2   0.00039      0.64    9.2   1.1     7    64   339   396   334   403 0.89 | transcript=PVP01_1466700.1 | gene=PVP01_1466700 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_14_v2:2833922-2836480(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14515at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14515at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14515at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:37 2026
# [ok]
