#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0906800.1-p1   -            475 5583at5820           -            436  1.9e-287  951.7  14.3   1   1  2.3e-290  2.1e-287  951.5  14.3     1   434    15   473    15   475 0.97 | transcript=PVP01_0906800.1 | gene=PVP01_0906800 | organism=Plasmodium_vivax_P01 | gene_product=RuvB-like helicase 2, putative | transcript_product=RuvB-like helicase 2, putative | location=PvP01_09_v2:376371-377798(-) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430600.1-p1   -            579 5583at5820           -            436  2.7e-130  433.8  21.1   1   2    0.0012       1.1    6.7   0.0     2    23    50    71    49    86 0.82 | transcript=PVP01_1430600.1 | gene=PVP01_1430600 | organism=Plasmodium_vivax_P01 | gene_product=RuvB-like helicase 1, putative | transcript_product=RuvB-like helicase 1, putative | location=PvP01_14_v2:1323658-1326144(+) | protein_length=579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430600.1-p1   -            579 5583at5820           -            436  2.7e-130  433.8  21.1   2   2  4.9e-131  4.6e-128  426.5  19.7    28   427   163   566   139   573 0.90 | transcript=PVP01_1430600.1 | gene=PVP01_1430600 | organism=Plasmodium_vivax_P01 | gene_product=RuvB-like helicase 1, putative | transcript_product=RuvB-like helicase 1, putative | location=PvP01_14_v2:1323658-1326144(+) | protein_length=579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1109800.1-p1   -            483 5583at5820           -            436  2.8e-101  338.2   6.3   1   1  3.9e-104  3.6e-101  337.9   6.3     1   429    11   438    11   445 0.91 | transcript=PVP01_1109800.1 | gene=PVP01_1109800 | organism=Plasmodium_vivax_P01 | gene_product=RuvB-like helicase 3, putative | transcript_product=RuvB-like helicase 3, putative | location=PvP01_11_v2:391883-393334(+) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 5583at5820           -            436   0.00054   17.6   0.1   1   2     0.022        20    2.5   0.0    59    84   381   406   361   421 0.84 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 5583at5820           -            436   0.00054   17.6   0.1   2   2     2e-05     0.019   12.5   0.0    58   113   804   858   793   873 0.87 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249400.1-p1   -            439 5583at5820           -            436     0.002   15.8   0.0   1   1   3.3e-06    0.0031   15.1   0.0    11   100   104   191    95   213 0.72 | transcript=PVP01_1249400.1 | gene=PVP01_1249400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=PvP01_12_v2:2010911-2012230(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457800.1-p1   -            906 5583at5820           -            436     0.015   12.9   0.0   1   1   2.8e-05     0.026   12.1   0.0    58    96   194   230   167   256 0.79 | transcript=PVP01_1457800.1 | gene=PVP01_1457800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=PvP01_14_v2:2508067-2510787(+) | protein_length=906 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111400.1-p1   -           1089 5583at5820           -            436     0.018   12.6   0.5   1   2    0.0079       7.3    4.0   0.2    57   113   509   564   502   583 0.84 | transcript=PVP01_0111400.1 | gene=PVP01_0111400 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=PvP01_01_v2:527779-531048(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111400.1-p1   -           1089 5583at5820           -            436     0.018   12.6   0.5   2   2    0.0014       1.3    6.5   0.0    58    98   830   868   820   963 0.77 | transcript=PVP01_0111400.1 | gene=PVP01_0111400 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=PvP01_01_v2:527779-531048(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
