#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1431200.1-p1   -           1226 2022at5820           -            968         0 1830.0 148.6   1   5   5.5e-47   5.9e-44  148.9   9.1     1    87     1    87     1   105 0.88 | transcript=PVP01_1431200.1 | gene=PVP01_1431200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:1362318-1367456(+) | protein_length=1226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1431200.1-p1   -           1226 2022at5820           -            968         0 1830.0 148.6   2   5  2.2e-198  2.3e-195  650.1  52.8    79   419   121   474   113   482 0.96 | transcript=PVP01_1431200.1 | gene=PVP01_1431200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:1362318-1367456(+) | protein_length=1226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1431200.1-p1   -           1226 2022at5820           -            968         0 1830.0 148.6   3   5   0.00015      0.16    8.5   2.4   418   448   512   545   503   566 0.78 | transcript=PVP01_1431200.1 | gene=PVP01_1431200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:1362318-1367456(+) | protein_length=1226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1431200.1-p1   -           1226 2022at5820           -            968         0 1830.0 148.6   4   5  3.5e-174  3.9e-171  569.9  33.9   444   758   591   959   579   973 0.96 | transcript=PVP01_1431200.1 | gene=PVP01_1431200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:1362318-1367456(+) | protein_length=1226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1431200.1-p1   -           1226 2022at5820           -            968         0 1830.0 148.6   5   5  3.8e-146  4.1e-143  477.1  18.7   756   968  1014  1226  1006  1226 0.99 | transcript=PVP01_1431200.1 | gene=PVP01_1431200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:1362318-1367456(+) | protein_length=1226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0720500.1-p1   -            846 2022at5820           -            968   1.9e-21   74.5  36.5   1   2     7e-11   7.6e-08   29.4  25.9   478   730   421   659   397   663 0.79 | transcript=PVP01_0720500.1 | gene=PVP01_0720500 | organism=Plasmodium_vivax_P01 | gene_product=dynein intermediate chain, putative | transcript_product=dynein intermediate chain, putative | location=PvP01_07_v2:886504-890140(+) | protein_length=846 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0720500.1-p1   -            846 2022at5820           -            968   1.9e-21   74.5  36.5   2   2   3.9e-17   4.2e-14   50.1   3.4   786   950   664   825   650   835 0.84 | transcript=PVP01_0720500.1 | gene=PVP01_0720500 | organism=Plasmodium_vivax_P01 | gene_product=dynein intermediate chain, putative | transcript_product=dynein intermediate chain, putative | location=PvP01_07_v2:886504-890140(+) | protein_length=846 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225200.1-p1   -            533 2022at5820           -            968   0.00014   18.6   9.7   1   3       0.1   1.1e+02   -0.9   0.0   878   894   279   295   244   327 0.73 | transcript=PVP01_1225200.1 | gene=PVP01_1225200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=PvP01_12_v2:980220-981821(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225200.1-p1   -            533 2022at5820           -            968   0.00014   18.6   9.7   2   3   4.1e-06    0.0044   13.6   0.9   850   898   328   379   310   382 0.83 | transcript=PVP01_1225200.1 | gene=PVP01_1225200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=PvP01_12_v2:980220-981821(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225200.1-p1   -            533 2022at5820           -            968   0.00014   18.6   9.7   3   3   0.00012      0.13    8.8   2.0   812   892   382   461   370   467 0.85 | transcript=PVP01_1225200.1 | gene=PVP01_1225200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=PvP01_12_v2:980220-981821(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605500.1-p1   -            735 2022at5820           -            968   0.00016   18.4   1.4   1   2   3.4e-05     0.037   10.6   0.0   553   647   387   480   367   514 0.86 | transcript=PVP01_0605500.1 | gene=PVP01_0605500 | organism=Plasmodium_vivax_P01 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=PvP01_06_v2:223767-225974(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
