#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1337900.1-p1   -           2170 484at5820            -           1555         0 2492.3 125.2   1   4    7e-122  5.1e-119  397.2   8.5     1   223     1   278     1   283 0.96 | transcript=PVP01_1337900.1 | gene=PVP01_1337900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1633185-1641048(-) | protein_length=2170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1337900.1-p1   -           2170 484at5820            -           1555         0 2492.3 125.2   2   4   1.5e-47   1.1e-44  150.9   0.0   227   345   339   472   319   499 0.65 | transcript=PVP01_1337900.1 | gene=PVP01_1337900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1633185-1641048(-) | protein_length=2170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1337900.1-p1   -           2170 484at5820            -           1555         0 2492.3 125.2   3   4  2.7e-112  1.9e-109  365.5  12.6   381   671   665  1098   519  1124 0.74 | transcript=PVP01_1337900.1 | gene=PVP01_1337900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1633185-1641048(-) | protein_length=2170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1337900.1-p1   -           2170 484at5820            -           1555         0 2492.3 125.2   4   4         0         0 1587.3  85.1   668  1555  1187  2170  1171  2170 0.96 | transcript=PVP01_1337900.1 | gene=PVP01_1337900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1633185-1641048(-) | protein_length=2170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901200.1-p1   -            229 484at5820            -           1555   0.00026   17.0  11.0   1   1   4.5e-07   0.00032   16.7  11.0   284   435    68   216    49   226 0.56 | transcript=PVP01_0901200.1 | gene=PVP01_0901200 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:70737-71545(+) | protein_length=229 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 484at5820            -           1555      0.03   10.2  11.5   1   1   4.7e-05     0.034   10.0  11.5   286   378    73   172    41   306 0.57 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1406800.1-p1   -            543 484at5820            -           1555     0.034   10.0  12.0   1   1   6.3e-05     0.046    9.6  12.0   281   449    91   262    34   294 0.46 | transcript=PVP01_1406800.1 | gene=PVP01_1406800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:325846-327839(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1266300.1-p1   -            763 484at5820            -           1555      0.46    6.3  20.2   1   3     0.092        67   -0.9   0.1   518   627    30   146    27   203 0.71 | transcript=PVP01_1266300.1 | gene=PVP01_1266300 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit mu, putative | transcript_product=AP-3 complex subunit mu, putative | location=PvP01_12_v2:2754420-2756711(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1266300.1-p1   -            763 484at5820            -           1555      0.46    6.3  20.2   2   3      0.03        22    0.7   0.0   172   256   138   222   108   246 0.75 | transcript=PVP01_1266300.1 | gene=PVP01_1266300 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit mu, putative | transcript_product=AP-3 complex subunit mu, putative | location=PvP01_12_v2:2754420-2756711(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1266300.1-p1   -            763 484at5820            -           1555      0.46    6.3  20.2   3   3   0.00015      0.11    8.4  14.1   323   430   364   466   290   525 0.45 | transcript=PVP01_1266300.1 | gene=PVP01_1266300 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit mu, putative | transcript_product=AP-3 complex subunit mu, putative | location=PvP01_12_v2:2754420-2756711(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0723900.1-p1   -            516 484at5820            -           1555       1.5    4.6  24.7   1   1    0.0028         2    4.1  24.7   314   491    53   237    32   249 0.57 | transcript=PVP01_0723900.1 | gene=PVP01_0723900 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase-beta, putative | transcript_product=protein phosphatase-beta, putative | location=PvP01_07_v2:1022564-1024282(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 484at5820            -           1555       5.4    2.7  29.1   1   1     0.009       6.5    2.5  29.1   312   438    69   195    54   235 0.38 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
