#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1414300.1-p1   -            790 4492at5820           -            538  1.9e-247  820.9  44.5   1   6   3.4e-07   0.00012   19.5   0.0     1    42     1    45     1    62 0.88 | transcript=PVP01_1414300.1 | gene=PVP01_1414300 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_14_v2:632410-634782(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414300.1-p1   -            790 4492at5820           -            538  1.9e-247  820.9  44.5   2   6   3.6e-45   1.3e-42  144.9   6.8    42   150    83   199    76   203 0.89 | transcript=PVP01_1414300.1 | gene=PVP01_1414300 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_14_v2:632410-634782(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414300.1-p1   -            790 4492at5820           -            538  1.9e-247  820.9  44.5   3   6   2.1e-37   7.7e-35  119.2   0.8   135   215   207   289   200   310 0.91 | transcript=PVP01_1414300.1 | gene=PVP01_1414300 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_14_v2:632410-634782(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414300.1-p1   -            790 4492at5820           -            538  1.9e-247  820.9  44.5   4   6   1.7e-63   6.1e-61  205.3   5.6   215   328   343   463   340   466 0.93 | transcript=PVP01_1414300.1 | gene=PVP01_1414300 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_14_v2:632410-634782(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414300.1-p1   -            790 4492at5820           -            538  1.9e-247  820.9  44.5   5   6  2.8e-103    1e-100  336.6   7.0   328   521   542   744   527   752 0.93 | transcript=PVP01_1414300.1 | gene=PVP01_1414300 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_14_v2:632410-634782(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414300.1-p1   -            790 4492at5820           -            538  1.9e-247  820.9  44.5   6   6   0.00014     0.049   10.9   0.0   518   536   768   786   764   788 0.91 | transcript=PVP01_1414300.1 | gene=PVP01_1414300 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_14_v2:632410-634782(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029600.1-p1   -            720 4492at5820           -            538   4.2e-12   44.2   2.0   1   2   0.00028       0.1    9.9   0.2   175   277   223   328   216   337 0.73 | transcript=PVP01_1029600.1 | gene=PVP01_1029600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=PvP01_10_v2:1280812-1282974(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029600.1-p1   -            720 4492at5820           -            538   4.2e-12   44.2   2.0   2   2   3.1e-11   1.1e-08   32.9   0.0   437   510   449   522   431   550 0.78 | transcript=PVP01_1029600.1 | gene=PVP01_1029600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=PvP01_10_v2:1280812-1282974(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616600.1-p1   -           1015 4492at5820           -            538   4.6e-09   34.1   6.9   1   3      0.24        87    0.2   0.1    82   114   647   679   635   688 0.83 | transcript=PVP01_0616600.1 | gene=PVP01_0616600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase DDX3X, putative | transcript_product=ATP-dependent DNA helicase DDX3X, putative | location=PvP01_06_v2:688120-692213(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616600.1-p1   -           1015 4492at5820           -            538   4.6e-09   34.1   6.9   2   3   6.4e-05     0.023   12.0   1.3   180   261   710   795   708   909 0.85 | transcript=PVP01_0616600.1 | gene=PVP01_0616600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase DDX3X, putative | transcript_product=ATP-dependent DNA helicase DDX3X, putative | location=PvP01_06_v2:688120-692213(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616600.1-p1   -           1015 4492at5820           -            538   4.6e-09   34.1   6.9   3   3   3.2e-08   1.2e-05   22.9   0.0   436   507   930  1001   907  1007 0.89 | transcript=PVP01_0616600.1 | gene=PVP01_0616600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase DDX3X, putative | transcript_product=ATP-dependent DNA helicase DDX3X, putative | location=PvP01_06_v2:688120-692213(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
