#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1126700.1-p1   -           1356 1286at5820           -           1049         0 2109.9  88.3   1   6   1.4e-64   4.4e-61  205.6   0.1     1   105     1   106     1   121 0.92 | transcript=PVP01_1126700.1 | gene=PVP01_1126700 | organism=Plasmodium_vivax_P01 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=PvP01_11_v2:1181608-1185678(-) | protein_length=1356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1126700.1-p1   -           1356 1286at5820           -           1049         0 2109.9  88.3   2   6   2.4e-88   7.9e-85  284.2   9.2    98   233   147   284   138   297 0.96 | transcript=PVP01_1126700.1 | gene=PVP01_1126700 | organism=Plasmodium_vivax_P01 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=PvP01_11_v2:1181608-1185678(-) | protein_length=1356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1126700.1-p1   -           1356 1286at5820           -           1049         0 2109.9  88.3   3   6   2.4e-48     8e-45  151.7   3.7   232   315   322   406   304   408 0.96 | transcript=PVP01_1126700.1 | gene=PVP01_1126700 | organism=Plasmodium_vivax_P01 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=PvP01_11_v2:1181608-1185678(-) | protein_length=1356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1126700.1-p1   -           1356 1286at5820           -           1049         0 2109.9  88.3   4   6  2.1e-152  6.9e-149  496.3   7.4   312   560   465   714   460   720 0.98 | transcript=PVP01_1126700.1 | gene=PVP01_1126700 | organism=Plasmodium_vivax_P01 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=PvP01_11_v2:1181608-1185678(-) | protein_length=1356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1126700.1-p1   -           1356 1286at5820           -           1049         0 2109.9  88.3   5   6  1.2e-224  3.9e-221  735.5  17.7   556   908   760  1137   752  1142 0.96 | transcript=PVP01_1126700.1 | gene=PVP01_1126700 | organism=Plasmodium_vivax_P01 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=PvP01_11_v2:1181608-1185678(-) | protein_length=1356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1126700.1-p1   -           1356 1286at5820           -           1049         0 2109.9  88.3   6   6     3e-82   9.8e-79  264.0  14.1   906  1049  1206  1352  1200  1352 0.96 | transcript=PVP01_1126700.1 | gene=PVP01_1126700 | organism=Plasmodium_vivax_P01 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=PvP01_11_v2:1181608-1185678(-) | protein_length=1356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506200.1-p1   -           1311 1286at5820           -           1049    0.0016   15.0   7.3   1   4   4.2e-05      0.14    8.6   0.1    38    89   158   208   149   230 0.86 | transcript=PVP01_0506200.1 | gene=PVP01_0506200 | organism=Plasmodium_vivax_P01 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=PvP01_05_v2:274417-278352(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506200.1-p1   -           1311 1286at5820           -           1049    0.0016   15.0   7.3   2   4      0.21   6.8e+02   -3.6   0.2   621   651   746   776   741   780 0.86 | transcript=PVP01_0506200.1 | gene=PVP01_0506200 | organism=Plasmodium_vivax_P01 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=PvP01_05_v2:274417-278352(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506200.1-p1   -           1311 1286at5820           -           1049    0.0016   15.0   7.3   3   4   2.2e-05      0.07    9.6   0.0   691   725   913   947   897   981 0.83 | transcript=PVP01_0506200.1 | gene=PVP01_0506200 | organism=Plasmodium_vivax_P01 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=PvP01_05_v2:274417-278352(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506200.1-p1   -           1311 1286at5820           -           1049    0.0016   15.0   7.3   4   4     0.062     2e+02   -1.9   0.1   840   860  1153  1173  1144  1180 0.84 | transcript=PVP01_0506200.1 | gene=PVP01_0506200 | organism=Plasmodium_vivax_P01 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=PvP01_05_v2:274417-278352(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1286at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1286at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1286at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:06 2026
# [ok]
