#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0105600.1-p1   -            832 2617at5820           -            738         0 1652.5   9.9   1   1         0         0 1652.3   9.9     1   738    13   806    13   806 0.98 | transcript=PVP01_0105600.1 | gene=PVP01_0105600 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=PvP01_01_v2:296834-299332(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116800.1-p1   -            944 2617at5820           -            738   4.7e-90  301.1   8.2   1   2   1.5e-13   1.2e-10   38.5   0.1   161   294   218   349   209   361 0.86 | transcript=PVP01_1116800.1 | gene=PVP01_1116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=PvP01_11_v2:720577-723411(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116800.1-p1   -            944 2617at5820           -            738   4.7e-90  301.1   8.2   2   2   6.3e-82   5.1e-79  264.6   5.1   251   666   349   764   347   829 0.81 | transcript=PVP01_1116800.1 | gene=PVP01_1116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=PvP01_11_v2:720577-723411(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1418000.1-p1   -            955 2617at5820           -            738   5.3e-85  284.4   7.7   1   3   2.4e-06    0.0019   14.7   0.5   175   292   280   404   268   456 0.69 | transcript=PVP01_1418000.1 | gene=PVP01_1418000 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=PvP01_14_v2:783485-786352(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1418000.1-p1   -            955 2617at5820           -            738   5.3e-85  284.4   7.7   2   3   3.9e-82   3.2e-79  265.3   0.5   317   553   459   697   455   720 0.93 | transcript=PVP01_1418000.1 | gene=PVP01_1418000 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=PvP01_14_v2:783485-786352(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1418000.1-p1   -            955 2617at5820           -            738   5.3e-85  284.4   7.7   3   3   0.00052      0.42    7.0   0.0   621   656   816   854   757   867 0.68 | transcript=PVP01_1418000.1 | gene=PVP01_1418000 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=PvP01_14_v2:783485-786352(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310900.1-p1   -            758 2617at5820           -            738   9.7e-75  250.5   0.3   1   1   1.7e-77   1.4e-74  249.9   0.3   241   650   260   664   240   706 0.88 | transcript=PVP01_1310900.1 | gene=PVP01_1310900 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=PvP01_13_v2:508554-511294(+) | protein_length=758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331100.1-p1   -            972 2617at5820           -            738   1.2e-72  243.5   0.4   1   2   2.6e-14   2.1e-11   41.1   0.0   220   379   367   519   305   530 0.73 | transcript=PVP01_1331100.1 | gene=PVP01_1331100 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=PvP01_13_v2:1303469-1306564(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331100.1-p1   -            972 2617at5820           -            738   1.2e-72  243.5   0.4   2   2   1.6e-62   1.3e-59  200.4   0.1   382   655   546   840   537   864 0.87 | transcript=PVP01_1331100.1 | gene=PVP01_1331100 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=PvP01_13_v2:1303469-1306564(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006800.1-p1   -            971 2617at5820           -            738   9.5e-65  217.4   7.9   1   3   1.9e-67   1.6e-64  216.7   0.2   239   556   285   600   275   623 0.90 | transcript=PVP01_1006800.1 | gene=PVP01_1006800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=PvP01_10_v2:298381-301416(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006800.1-p1   -            971 2617at5820           -            738   9.5e-65  217.4   7.9   2   3    0.0014       1.1    5.6   0.0   587   642   709   762   686   778 0.80 | transcript=PVP01_1006800.1 | gene=PVP01_1006800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=PvP01_10_v2:298381-301416(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006800.1-p1   -            971 2617at5820           -            738   9.5e-65  217.4   7.9   3   3       1.9   1.6e+03   -4.8   1.0   643   676   825   858   824   881 0.72 | transcript=PVP01_1006800.1 | gene=PVP01_1006800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=PvP01_10_v2:298381-301416(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310500.1-p1   -           1321 2617at5820           -            738   1.2e-51  174.1   2.0   1   3    0.0023       1.9    4.9   1.9   128   344   237   460   229   481 0.71 | transcript=PVP01_1310500.1 | gene=PVP01_1310500 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=PvP01_13_v2:482705-487343(-) | protein_length=1321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310500.1-p1   -           1321 2617at5820           -            738   1.2e-51  174.1   2.0   2   3   1.5e-54   1.2e-51  174.1   2.0   319   567   782  1032   779  1042 0.92 | transcript=PVP01_1310500.1 | gene=PVP01_1310500 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=PvP01_13_v2:482705-487343(-) | protein_length=1321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310500.1-p1   -           1321 2617at5820           -            738   1.2e-51  174.1   2.0   3   3     0.024        19    1.5   0.1   563   656  1129  1217  1105  1233 0.77 | transcript=PVP01_1310500.1 | gene=PVP01_1310500 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=PvP01_13_v2:482705-487343(-) | protein_length=1321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525700.1-p1   -           1314 2617at5820           -            738   8.4e-32  108.5   7.5   1   3    0.0015       1.2    5.5   0.0   239   302   507   566   496   577 0.86 | transcript=PVP01_0525700.1 | gene=PVP01_0525700 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=PvP01_05_v2:1039092-1043036(-) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525700.1-p1   -           1314 2617at5820           -            738   8.4e-32  108.5   7.5   2   3   9.2e-33   7.5e-30  102.0   3.9   388   555   878  1046   868  1052 0.91 | transcript=PVP01_0525700.1 | gene=PVP01_0525700 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=PvP01_05_v2:1039092-1043036(-) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525700.1-p1   -           1314 2617at5820           -            738   8.4e-32  108.5   7.5   3   3      0.18   1.5e+02   -1.4   0.1   621   663  1195  1237  1186  1267 0.77 | transcript=PVP01_0525700.1 | gene=PVP01_0525700 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=PvP01_05_v2:1039092-1043036(-) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2617at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2617at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2617at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:55 2026
# [ok]
