#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0705100.1-p1   -            842 7115at5820           -            359  1.1e-170  566.0  81.8   1   6    5e-133  3.3e-130  432.8  21.2     1   220     3   252     3   267 0.91 | transcript=PVP01_0705100.1 | gene=PVP01_0705100 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_07_v2:298316-300844(-) | protein_length=842 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705100.1-p1   -            842 7115at5820           -            359  1.1e-170  566.0  81.8   2   6   1.9e-20   1.3e-17   62.4   5.6   199   285   342   428   311   440 0.76 | transcript=PVP01_0705100.1 | gene=PVP01_0705100 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_07_v2:298316-300844(-) | protein_length=842 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705100.1-p1   -            842 7115at5820           -            359  1.1e-170  566.0  81.8   3   6       3.7   2.4e+03   -4.3   6.3   265   301   454   490   420   494 0.66 | transcript=PVP01_0705100.1 | gene=PVP01_0705100 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_07_v2:298316-300844(-) | protein_length=842 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705100.1-p1   -            842 7115at5820           -            359  1.1e-170  566.0  81.8   4   6     0.014       9.1    3.7   9.1   266   302   472   513   449   530 0.68 | transcript=PVP01_0705100.1 | gene=PVP01_0705100 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_07_v2:298316-300844(-) | protein_length=842 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705100.1-p1   -            842 7115at5820           -            359  1.1e-170  566.0  81.8   5   6       3.1   2.1e+03   -4.0   2.5   244   296   624   649   591   673 0.57 | transcript=PVP01_0705100.1 | gene=PVP01_0705100 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_07_v2:298316-300844(-) | protein_length=842 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705100.1-p1   -            842 7115at5820           -            359  1.1e-170  566.0  81.8   6   6   1.6e-30     1e-27   95.6   9.6   264   359   748   842   677   842 0.82 | transcript=PVP01_0705100.1 | gene=PVP01_0705100 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_07_v2:298316-300844(-) | protein_length=842 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008800.1-p1   -           1006 7115at5820           -            359   2.2e-36  124.2  12.0   1   6   3.4e-39   2.2e-36  124.2  12.0    20   273    12   274     1   297 0.66 | transcript=PVP01_1008800.1 | gene=PVP01_1008800 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:392188-395208(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008800.1-p1   -           1006 7115at5820           -            359   2.2e-36  124.2  12.0   2   6        10   6.5e+03   -6.0   6.7   180   282   311   374   274   401 0.40 | transcript=PVP01_1008800.1 | gene=PVP01_1008800 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:392188-395208(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008800.1-p1   -           1006 7115at5820           -            359   2.2e-36  124.2  12.0   3   6       3.7   2.4e+03   -4.3   5.3   256   299   485   529   437   568 0.60 | transcript=PVP01_1008800.1 | gene=PVP01_1008800 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:392188-395208(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008800.1-p1   -           1006 7115at5820           -            359   2.2e-36  124.2  12.0   4   6       5.6   3.6e+03   -4.8   8.9   244   295   624   677   619   704 0.47 | transcript=PVP01_1008800.1 | gene=PVP01_1008800 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:392188-395208(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008800.1-p1   -           1006 7115at5820           -            359   2.2e-36  124.2  12.0   5   6       1.2   7.8e+02   -2.6   9.0   194   281   737   829   707   846 0.64 | transcript=PVP01_1008800.1 | gene=PVP01_1008800 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:392188-395208(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
